"index","initial_index","last_index","model","numMax","numMin","maxPositions","minPositions","angles_max","angles_min"
"1",90,140,"SNHT",1,0,"14","","130.995233868726","NA"
"2",90,140,"Pettitt",0,0,"","","NA","NA"
"3",90,140,"BuishandR",1,0,"16","","171.846117912221","NA"
"4",90,140,"BuishandU",1,0,"16","","171.846117912221","NA"
"5",90,140,"Lanzante",0,0,"","","NA","NA"
"1",900,950,"SNHT",5,4,"22, 26, 30, 42, 45","24, 28, 44, 48","51.5177691281099, 51.6707195191333, 51.433727503812, 66.7150790970061, 65.689009882915","52.6194222856223, 53.22366266558, 67.177492100781, 69.4734363983794"
"2",900,950,"Pettitt",3,2,"22, 26, 30","24, 28","5.02744038585882, 5.02744038585882, 5.02744038585882","5.02744038585882, 5.02744038585882"
"3",900,950,"BuishandR",3,2,"22, 26, 30","24, 28","98.5964398702034, 98.5964398702035, 98.5964398702034","98.5964398702034, 98.5964398702034"
"4",900,950,"BuishandU",3,2,"22, 26, 30","24, 28","98.5964398702034, 98.5964398702035, 98.5964398702034","98.5964398702034, 98.5964398702034"
"5",900,950,"Lanzante",3,2,"22, 26, 30","24, 28","5.02744038585882, 5.02744038585882, 5.02744038585882","5.02744038585882, 5.02744038585882"
"1",1500,1550,"SNHT",1,0,"38","","127.498646309889","NA"
"2",1500,1550,"Pettitt",1,0,"35","","7.62604691683791","NA"
"3",1500,1550,"BuishandR",1,0,"36","","161.455249981738","NA"
"4",1500,1550,"BuishandU",1,0,"36","","161.455249981738","NA"
"5",1500,1550,"Lanzante",1,0,"35","","7.62604691683791","NA"
"1",2000,2050,"SNHT",2,1,"24, 39","32","117.717723055367, 85.4621318545196","109.267656748784"
"2",2000,2050,"Pettitt",0,1,"","23","NA","48.8140748342904"
"3",2000,2050,"BuishandR",2,3,"32, 36","24, 35, 38","153.47449905162, 153.474499051621","153.474499051621, 153.474499051621, 153.474499051621"
"4",2000,2050,"BuishandU",2,3,"32, 36","24, 35, 38","153.47449905162, 153.474499051621","153.474499051621, 153.474499051621, 153.474499051621"
"5",2000,2050,"Lanzante",0,1,"","23","NA","48.8140748342904"
"1",3000,3050,"SNHT",9,8,"7, 12, 18, 22, 27, 34, 39, 44, 48","4, 9, 16, 20, 26, 35, 40, 46","67.5065731290501, 67.5355472321506, 77.6062936386907, 79.1937774500845, 93.8282364445624, 106.706202619032, 96.607746119082, 78.1754676215135, 72.9009617946935","81.7719156076757, 75.6036628987813, 80.4303423856477, 79.4271310802563, 90.0717545423725, 104.615295201283, 96.1720877725961, 87.8301635210143"
"2",3000,3050,"Pettitt",5,5,"7, 12, 18, 22, 27","4, 9, 16, 20, 26","12.8173682327952, 12.8173682327952, 12.8173682327952, 12.8173682327952, 12.8173682327952","12.8173682327952, 12.8173682327952, 12.8173682327952, 12.8173682327952, 12.8173682327952"
"3",3000,3050,"BuishandR",5,5,"7, 12, 18, 22, 27","4, 9, 16, 20, 26","116.674858775452, 116.674858775453, 116.674858775452, 116.674858775453, 116.674858775452","116.674858775453, 116.674858775452, 116.674858775453, 116.674858775452, 116.674858775452"
"4",3000,3050,"BuishandU",5,5,"7, 12, 18, 22, 27","4, 9, 16, 20, 26","116.674858775452, 116.674858775453, 116.674858775452, 116.674858775453, 116.674858775452","116.674858775453, 116.674858775452, 116.674858775453, 116.674858775452, 116.674858775452"
"5",3000,3050,"Lanzante",5,5,"7, 12, 18, 22, 27","4, 9, 16, 20, 26","12.8173682327952, 12.8173682327952, 12.8173682327952, 12.8173682327952, 12.8173682327952","12.8173682327952, 12.8173682327952, 12.8173682327952, 12.8173682327952, 12.8173682327952"
"1",4000,4050,"SNHT",1,0,"35","","104.654680585327","NA"
"2",4000,4050,"Pettitt",3,2,"17, 22, 33","19, 31","15.3684633217961, 16.6388056704263, 15.3684633217961","16.6388056704263, 16.6388056704263"
"3",4000,4050,"BuishandR",1,0,"34","","154.052628347215","NA"
"4",4000,4050,"BuishandU",1,0,"34","","154.052628347215","NA"
"5",4000,4050,"Lanzante",3,2,"17, 22, 33","19, 31","15.3684633217961, 16.6388056704263, 15.3684633217961","16.6388056704263, 16.6388056704263"
"1",4220,4270,"SNHT",2,1,"31, 44","36","43.5019408640109, 175.174676586016","154.989119892201"
"2",4220,4270,"Pettitt",3,3,"3, 8, 13","5, 11, 31","47.4895529219991, 47.4895529219991, 47.4895529219991","47.4895529219991, 47.4895529219991, 3.79150559457801"
"3",4220,4270,"BuishandR",2,3,"36, 42","31, 41, 44","127.004445096084, 170.783108367212","84.4882057146042, 170.783108367212, 170.783108367212"
"4",4220,4270,"BuishandU",2,3,"36, 42","31, 41, 44","127.004445096084, 170.783108367212","84.4882057146042, 170.783108367212, 170.783108367212"
"5",4220,4270,"Lanzante",3,3,"3, 8, 13","5, 11, 31","47.4895529219991, 47.4895529219991, 47.4895529219991","47.4895529219991, 47.4895529219991, 3.79150559457801"
