"index","initial_index","last_index","model","numMax","numMin","maxPositions","minPositions","angles_max","angles_min"
"1",70,120,"SNHT",1,0,"23","","24.7428344810298","NA"
"2",70,120,"Pettitt",0,1,"","23","NA","3.19117132706231"
"3",70,120,"BuishandR",0,1,"","23","NA","77.3003286943727"
"4",70,120,"BuishandU",0,1,"","23","NA","77.3003286943727"
"5",70,120,"Lanzante",0,1,"","23","NA","3.19117132706231"
"1",150,200,"SNHT",1,0,"38","","23.0295423014892","NA"
"2",150,200,"Pettitt",0,1,"","38","NA","5.9061411137705"
"3",150,200,"BuishandR",0,1,"","38","NA","90.4944644336264"
"4",150,200,"BuishandU",0,1,"","38","NA","90.4944644336264"
"5",150,200,"Lanzante",0,1,"","38","NA","5.9061411137705"
"1",1500,1550,"SNHT",5,4,"8, 19, 30, 41, 46","9, 25, 36, 42","142.453933184907, 80.2543906977981, 87.5117650768608, 158.122705579636, 145.915316868649","139.374485539829, 158.160845522059, 174.141953454551, 153.009453055988"
"2",1500,1550,"Pettitt",4,4,"11, 14, 30, 46","6, 13, 17, 38","5.56905882519561, 13.8406954916556, 3.9770843015834, 7.91319129926546","13.8406954916556, 13.8406954916556, 13.8406954916556, 13.8406954916556"
"3",1500,1550,"BuishandR",2,2,"30, 45","19, 41","89.1950907192449, 118.19077584201","93.9487779363511, 97.3492556844296"
"4",1500,1550,"BuishandU",2,2,"30, 45","19, 41","89.1950907192449, 118.19077584201","93.9487779363511, 97.3492556844296"
"5",1500,1550,"Lanzante",4,4,"11, 14, 30, 46","6, 13, 17, 38","5.56905882519561, 13.8406954916556, 3.9770843015834, 7.91319129926546","13.8406954916556, 13.8406954916556, 13.8406954916556, 13.8406954916556"
"1",2200,2250,"SNHT",1,0,"33","","24.5653832737925","NA"
"2",2200,2250,"Pettitt",0,1,"","33","NA","2.2915256763502"
"3",2200,2250,"BuishandR",0,1,"","33","NA","85.0797017101291"
"4",2200,2250,"BuishandU",0,1,"","33","NA","85.0797017101291"
"5",2200,2250,"Lanzante",0,1,"","33","NA","2.2915256763502"
"1",3000,3050,"SNHT",4,4,"6, 14, 30, 39","3, 9, 19, 37","103.133230594458, 99.3081533441464, 46.110767509354, 33.1151935612922","121.314515915596, 126.817212958202, 124.030323503067, 114.954925439953"
"2",3000,3050,"Pettitt",5,5,"7, 14, 17, 30, 39","9, 16, 19, 37, 48","7.89969161426524, 5.54977942321872, 7.89969161426524, 3.32684486012297, 2.86417029125127","7.89969161426524, 7.89969161426524, 7.89969161426524, 7.89969161426524, 5.08710485434705"
"3",3000,3050,"BuishandR",5,5,"7, 14, 17, 30, 39","9, 16, 19, 37, 48","142.22430882418, 114.889541922349, 142.22430882418, 88.4966652596636, 74.2826453559561","142.22430882418, 142.22430882418, 142.22430882418, 142.22430882418, 100.675522018642"
"4",3000,3050,"BuishandU",5,5,"7, 14, 17, 30, 39","9, 16, 19, 37, 48","142.22430882418, 114.889541922349, 142.22430882418, 88.4966652596636, 74.2826453559561","142.22430882418, 142.22430882418, 142.22430882418, 142.22430882418, 100.675522018642"
"5",3000,3050,"Lanzante",5,5,"7, 14, 17, 30, 39","9, 16, 19, 37, 48","7.89969161426524, 5.54977942321872, 7.89969161426524, 3.32684486012297, 2.86417029125127","7.89969161426524, 7.89969161426524, 7.89969161426524, 7.89969161426524, 5.08710485434705"
"1",4000,4050,"SNHT",1,0,"34","","26.6297555871922","NA"
"2",4000,4050,"Pettitt",1,0,"34","","5.05114498132608","NA"
"3",4000,4050,"BuishandR",1,0,"34","","90.5348520566343","NA"
"4",4000,4050,"BuishandU",1,0,"34","","90.5348520566343","NA"
"5",4000,4050,"Lanzante",1,0,"34","","5.05114498132608","NA"
"1",4220,4270,"SNHT",2,1,"8, 29","9","168.999371021921, 58.2049397655439","168.846462174423"
"2",4220,4270,"Pettitt",0,1,"","29","NA","6.36356823564222"
"3",4220,4270,"BuishandR",0,1,"","29","NA","80.3693011840521"
"4",4220,4270,"BuishandU",0,1,"","29","NA","80.3693011840521"
"5",4220,4270,"Lanzante",0,1,"","29","NA","6.36356823564222"
