"initialIndex","finalIndex","cv","shapiro","ad","normality","bestDistFit","runs","ljungBox","IQR"
"1","1003","1289","0.0820544699249076","8.14767870788961e-15","3.7e-24","FALSE","unif","5.34240577459393e-62","0","9"
"2","1005","1290","0.0820442261971715","9.39238796838396e-15","3.7e-24","FALSE","unif","8.83706129730101e-62","0","9"
"3","1007","1291","0.081837675972037","5.68691042082843e-15","3.7e-24","FALSE","unif","1.46341752469764e-61","0","9"
"4","1009","1292","0.0817935035994764","6.46369597766011e-15","3.7e-24","FALSE","unif","2.42621824392724e-61","0","10"
"5","1011","1293","0.0817331012219829","7.28295241905626e-15","3.7e-24","FALSE","unif","4.02722144049737e-61","0","9"
"6","1013","1294","0.0816559806613791","8.13230358441354e-15","3.7e-24","FALSE","unif","6.69281813146581e-61","0","9"
"7","1015","1295","0.0815616290272043","8.9959682500083e-15","3.7e-24","FALSE","unif","1.11366696303098e-60","0","9"
"8","1017","1296","0.0814495071257355","9.85481745554232e-15","3.7e-24","FALSE","unif","1.85549828119801e-60","0","9"
"9","1019","1297","0.0813190477266969","1.06866373588048e-14","3.7e-24","FALSE","unif","3.09558014195562e-60","0","9"
"10","1021","1298","0.0812650123732569","1.38224853234185e-14","3.7e-24","FALSE","unif","9.33160236648305e-52","0","9"
"11","1023","1299","0.08109577482858","1.47096144521087e-14","3.7e-24","FALSE","unif","1.58566763050235e-51","0","9"
"12","1025","1300","0.0809063162847722","1.54725303302753e-14","3.7e-24","FALSE","unif","2.71061993557908e-51","0","9"
"13","1027","1301","0.0806959367914327","1.60769634135447e-14","3.7e-24","FALSE","unif","4.66232958784982e-51","0","9"
"14","1029","1302","0.0804638969531123","1.6490391184113e-14","3.7e-24","FALSE","unif","8.07046557960912e-51","0","9"
"15","1031","1303","0.0802094149204801","1.66839146691552e-14","3.7e-24","FALSE","unif","1.40619446866605e-50","0","9"
"16","1033","1304","0.079931663066693","1.66342020706409e-14","3.7e-24","FALSE","unif","2.46683588185427e-50","0","9"
"17","1035","1305","0.0796297643071529","1.6325375899435e-14","3.7e-24","FALSE","unif","4.35800418871094e-50","0","9"
"18","1037","1306","0.0793027880140039","1.5750705385424e-14","3.7e-24","FALSE","unif","7.75532717085054e-50","0","9"
"19","1039","1307","0.0790426843978615","1.81471266063344e-14","3.7e-24","FALSE","unif","1.39058993637341e-49","0","9"
"20","1041","1308","0.0786623103300188","1.68650623158143e-14","3.7e-24","FALSE","unif","2.51313280468298e-49","0","9"
"21","1043","1309","0.0782537071318521","1.53062258888337e-14","3.7e-24","FALSE","unif","4.57920902584764e-49","0","8"
