"initialIndex","finalIndex","cv","shapiro","ad","normality","bestDistFit","runs","ljungBox","IQR"
"1","3605","3653","0.0085019910913078","1.0399308270371e-09","6.9802727967886e-22","FALSE","weibull","1.86232596682054e-06","0.000448702951393321","0"
"2","3607","3654","0.0105360488620935","1.97202200404403e-10","1.2667493543402e-21","FALSE","weibull","4.95323115110266e-06","0.0172205183320526","0"
"3","3609","3655","0.0148256552528671","1.51979177676439e-11","9.48383377737538e-24","FALSE","weibull","1.43965771947715e-05","0.00108657932954959","0"
"4","3611","3656","0.0207639851208086","6.99376098837129e-12","3.7e-24","FALSE","weibull","2.44995716386692e-07","1.15588586374615e-05","0"
"5","3613","3657","0.0280104928633172","7.58672341277319e-12","3.7e-24","FALSE","weibull","6.82701913189668e-07","1.06229410723468e-06","0"
"6","3615","3658","0.0349594311890094","1.30952315020689e-11","3.7e-24","FALSE","weibull","2.15465149426584e-06","9.45578180200357e-08","0"
"7","3617","3659","0.0407318161624438","2.71214325173593e-11","3.7e-24","FALSE","weibull","7.32375741432001e-10","1.10474978054498e-08","0"
"8","3619","3660","0.0467368021149777","1.13178593789647e-10","3.7e-24","FALSE","weibull","9.20849824959947e-10","7.62084473304725e-09","0"
"9","3621","3661","0.0520268694452599","4.28451753407489e-10","1.20738545024434e-22","FALSE","weibull","1.24733077924798e-09","3.70790798065457e-09","0"
"10","3623","3662","0.0576176205900392","1.80003873441747e-09","1.88969635807274e-20","FALSE","weibull","1.77677980488837e-09","4.2916328268916e-09","1"
"11","3625","3663","0.0626349992592274","6.6268307418695e-09","2.2054642644705e-18","FALSE","unif","2.62378215633155e-09","3.36277905521598e-09","2.5"
"12","3627","3664","0.0671646129069186","2.29010626669347e-08","1.91768576585775e-16","FALSE","unif","3.9810069195651e-09","3.24742177593151e-09","5.5"
"13","3629","3665","0.0712489223957703","7.44284551111279e-08","1.19954923070522e-14","FALSE","unif","6.17100281717534e-09","3.60764706996974e-09","8"
"14","3631","3666","0.0749006022197735","2.24946446384536e-07","5.15403495471856e-13","FALSE","unif","9.73744250055171e-09","4.4308999802567e-09","10.25"
"15","3633","3667","0.0787869722188008","8.48567589108745e-07","2.25932491278139e-11","FALSE","unif","1.60689175298026e-08","7.76674080604778e-09","11"
"16","1134","1182","0.00780056654182219","2.70414215737701e-10","6.14756024664846e-24","FALSE","unif","1.20621695642945e-06","1.90726493121129e-06","1"
"17","1136","1183","0.00793908405338875","5.29445760054674e-10","1.3091284618056e-22","FALSE","unif","1.35597957311458e-06","1.9942529467798e-06","1"
"18","1138","1184","0.00805336274301551","9.64654018625554e-10","1.85394472444134e-21","FALSE","unif","1.64962063225642e-06","2.29214893021634e-06","1"
"19","1140","1185","0.00814106236619142","1.62108373894137e-09","1.69398934302906e-20","FALSE","unif","2.16701565930592e-06","2.89079545134907e-06","1"
"20","1142","1186","0.00819921417837778","2.48754658621073e-09","9.67065378476189e-20","FALSE","unif","3.07578572528772e-06","4.00589202520507e-06","1"
"21","1144","1187","0.0082240738025833","3.44695904436365e-09","3.33141663725573e-19","FALSE","unif","4.73509762539697e-06","6.13009042915724e-06","1"
"22","1146","1188","0.00822562903590452","4.49750433903433e-09","8.54142109911978e-19","FALSE","unif","1.71993735764198e-06","2.11952652295899e-06","1"
"23","1148","1189","0.00822247983631817","5.80215915787611e-09","2.0541793700353e-18","FALSE","unif","5.85981517897691e-07","7.38491673590858e-07","1"
"24","1150","1190","0.00817775199687315","6.57486595868607e-09","2.73558485528756e-18","FALSE","unif","1.05508940833822e-06","1.37635835550931e-06","1"
"25","1152","1191","0.00808043873545332","6.44306848292383e-09","1.92195205029033e-18","FALSE","unif","2.09655784453605e-06","2.92022997061547e-06","1"
"26","1154","1192","0.00792012122199874","5.36580153407231e-09","6.75079664331037e-19","FALSE","unif","4.72820661747147e-06","7.30153870331929e-06","1"
"27","1156","1193","0.00768267235763557","3.72195657331352e-09","1.11814357835405e-19","FALSE","unif","1.26741943395007e-05","2.27327270263533e-05","1"
"28","1158","1194","0.00734818317113263","2.09811480854914e-09","8.23039835598848e-21","FALSE","unif","4.37091788483537e-05","9.64114937125338e-05","1"
"29","1160","1195","0.00688699308929593","9.30277949140503e-10","2.56733418718133e-22","FALSE","unif","0.000223843662918189","0.00064670176782855","0"
"30","1162","1196","0.00625104349140047","3.08962172507796e-10","3.7e-24","FALSE","unif","0.000237978262233116","0.00025993203887309","0"
"31","2477","2525","0.0376878787359593","0.00896613937604397","0.00120268125004802","FALSE","lnorm","1.1625136669054e-11","2.42383668691559e-10","4"
"32","2479","2526","0.0380235469889752","0.00249646887061895","0.000843281545503202","FALSE","unif","1.92886334580783e-11","1.23295929022049e-10","4.25"
"33","2481","2527","0.0387181071359233","0.00857738422811243","0.00505607966187812","FALSE","unif","3.22631186368243e-11","1.18459908549085e-10","5"
"34","2483","2528","0.03815835393476","0.011912934104365","0.00862048763502628","FALSE","unif","5.44714889986708e-11","6.42579323084647e-11","4"
"35","2485","2529","0.037265358125848","0.0394539801144667","0.0324584863372427","FALSE","unif","9.03446440403378e-11","8.75571837255507e-11","4"
"36","2487","2530","0.0361123279255894","0.115521030058102","0.0929457198337052","TRUE","norm","1.07593111885997e-09","1.9350265834106e-10","4"
"37","2489","2531","0.0352092423664823","0.205985846331691","0.147517782305046","TRUE","norm","1.77421235984226e-09","3.36619843110952e-10","3.5"
"38","2491","2532","0.033784893606321","0.408895933629927","0.258992433729596","TRUE","norm","2.93333710687132e-09","1.11825049220471e-09","3"
"39","2493","2533","0.032683526171575","0.522655468156906","0.29361478294264","TRUE","norm","4.86411465643489e-09","2.17225148979594e-09","3"
"40","2495","2534","0.0298906169679099","0.215243751940058","0.127499953377474","TRUE","norm","8.09301594978058e-09","7.47834916214885e-09","3"
"41","2497","2535","0.0282005335192747","0.0545834023731006","0.0463010156378463","FALSE","unif","1.35175410565962e-08","8.45185355036193e-09","2.5"
"42","2499","2536","0.0266545679199972","0.0246685708545174","0.0140175617295128","FALSE","unif","2.26792284289731e-08","2.05981398604393e-08","2"
"43","2501","2537","0.0254493913735798","0.00498328894562962","0.00439309482080372","FALSE","unif","4.49987592584927e-08","2.02406229554697e-08","2"
"44","2503","2538","0.024743502040814","0.00472219013840929","0.0023752440654698","FALSE","unif","7.27305303540347e-08","2.03813881327619e-08","2"
"45","2505","2539","0.0246880400372957","0.0131446421117283","0.0110547707782056","FALSE","unif","1.17814919757379e-07","3.35248077076855e-08","2"
"46","4387","4435","0.0174925675314974","0.000157585267426191","1.73910539189723e-05","FALSE","unif","6.87831554612354e-10","1.92966813639117e-08","2"
"47","4389","4436","0.0156310646206232","4.50282786990996e-05","2.91020480608197e-06","FALSE","unif","1.37326317385991e-09","3.63948474690901e-08","2"
"48","4391","4437","0.0154059484751362","0.000466758359535713","1.14597238002133e-05","FALSE","unif","2.97016749259428e-09","5.10791205998729e-07","2"
"49","4393","4438","0.0148939458573154","0.000966735997783862","1.45341245002973e-05","FALSE","lnorm","0.00114889607591554","2.94569497683028e-07","2"
"50","4395","4439","0.0147789113901128","0.000805719268137898","1.08835976195644e-05","FALSE","lnorm","0.00110522301958411","2.45209075155906e-07","1"
"51","4397","4440","0.0150721482746314","0.00113847847313417","2.28170663525999e-05","FALSE","lnorm","0.00117951970068439","1.44483679109797e-06","1"
"52","4399","4441","0.0144981621581469","0.00114316446478199","1.88885628505919e-05","FALSE","lnorm","0.00139435677154096","1.72743984477863e-05","1"
"53","4401","4442","0.0135722508029833","0.000294924603608543","5.09805829518281e-06","FALSE","unif","0.00182843673447815","1.39026168879397e-05","1"
"54","4403","4443","0.0127324936818807","0.000167650793629002","8.74765769714578e-07","FALSE","unif","0.00267264214613283","5.94537268224782e-05","1"
"55","4405","4444","0.0120676217984964","3.93803859099027e-05","6.63270328930494e-08","FALSE","unif","0.00439374148678058","0.000261158737815737","1"
"56","4407","4445","0.0124149350997808","8.11470610210162e-05","4.02426424308184e-07","FALSE","unif","0.00823558039166492","0.000214981833748573","1"
"57","4409","4446","0.0126695494726052","0.000138681109344622","1.51851330547585e-06","FALSE","unif","0.00650528107085514","8.94368638462151e-05","1"
"58","4411","4447","0.0128338558773514","0.000166213704672367","2.44899780361913e-06","FALSE","unif","0.00284024483850141","7.32546975048542e-05","1"
"59","4413","4448","0.0122056354586558","2.25176335145145e-05","4.21924849273528e-07","FALSE","unif","0.00751383516118727","0.000402993303786126","1.25"
"60","4415","4449","0.0130530198318137","0.000245905963394084","8.20687777798374e-06","FALSE","unif","0.00204462964438443","0.000465132099763177","2"
"61","408","456","0.0510452743022672","2.09648767930884e-07","8.75644891156268e-13","FALSE","unif","1.53641211994492e-11","6.87849777136762e-12","4"
"62","410","457","0.050215821343468","7.57418542625319e-08","1.01914178537999e-13","FALSE","unif","2.69210706375309e-11","1.93892679689611e-11","1.25"
"63","412","458","0.0485111072919674","2.57106618740841e-08","1.62691598361841e-14","FALSE","unif","5.25902420730136e-11","7.70232766456047e-11","1"
"64","414","459","0.0447981495885186","1.05974028131975e-08","1.34197651825194e-14","FALSE","unif","1.1225739360636e-10","1.36492039892744e-10","1"
"65","416","460","0.0395944998111098","4.14865149835963e-09","3.92426826277593e-14","FALSE","lnorm","4.57502180524693e-09","1.61278428389977e-08","2"
"66","418","461","0.0276839697193326","2.05854560155799e-08","4.22511976107002e-10","FALSE","lnorm","8.70887974019528e-09","9.33587872342656e-07","2"
"67","420","462","0.0169600675199428","0.000112219121222845","2.44377386512261e-05","FALSE","lnorm","1.78630790220397e-08","3.77244846239133e-06","2"
"68","422","463","0.0141699250692962","7.4984050102657e-05","1.73979797084503e-06","FALSE","unif","4.52044533042348e-10","2.66362465417558e-09","2"
"69","424","464","0.0150868862770419","0.000102921017059752","4.76445620180993e-06","FALSE","unif","7.25810705200196e-10","2.34286612332824e-09","2"
"70","426","465","0.0159528286454601","0.000108412535200248","7.2280613950707e-06","FALSE","unif","1.17819758135241e-09","2.34428221279614e-09","2"
"71","428","466","0.0167724337028699","9.11645102877572e-05","6.43190222493693e-06","FALSE","unif","1.93339783332154e-09","2.58129806418594e-09","2"
"72","430","467","0.0172378678497675","0.00011283452386107","1.12802726258872e-05","FALSE","unif","3.20912982752858e-09","4.45408210314469e-09","2"
"73","432","468","0.017237940209653","0.000212307353341768","4.0293955068211e-05","FALSE","unif","5.39580360187264e-09","7.4176990105812e-09","2"
"74","434","469","0.0170147813936084","0.000332679810229621","8.91897880713532e-05","FALSE","unif","9.21588720125623e-09","1.383106440489e-08","1"
"75","436","470","0.0165155297737205","0.000425608091382741","0.000121921807978674","FALSE","unif","1.60689175298026e-08","3.01013627357349e-08","1.5"
"76","795","843","0.0460384044790303","2.24768669367168e-05","5.60470881025841e-07","FALSE","unif","6.32087257820968e-10","1.68247638043795e-11","3"
"77","797","844","0.0452193000370277","8.56082478551335e-06","1.04496215967475e-07","FALSE","unif","1.21559630380723e-09","4.00709465608884e-11","3"
"78","799","845","0.0436180129795484","3.38418862441531e-06","3.09737192238073e-08","FALSE","unif","2.50328272364131e-09","9.83889636430035e-11","2.5"
"79","801","846","0.0414094281052389","1.29958201262758e-06","1.63875828183209e-08","FALSE","unif","5.65825680439565e-09","2.78128076125483e-10","2"
"80","803","847","0.037791895033169","5.35397620217449e-07","2.99625792420887e-08","FALSE","lnorm","1.46255799171656e-08","9.56482093528166e-09","2"
"81","805","848","0.02781145609714","2.44176259322133e-05","4.38741610961641e-05","FALSE","lnorm","1.13312943021304e-06","8.98427888307296e-07","1.5"
"82","807","849","0.0205016625138465","0.000432460039481401","0.000202079103297756","FALSE","unif","1.92668444537692e-06","1.66624010922156e-07","1.5"
"83","809","850","0.0197398960589622","0.000565982472225781","0.000232781032859788","FALSE","unif","6.7267709710058e-07","1.83064089442908e-08","1.75"
"84","811","851","0.020287541538314","0.000905950882094877","0.000493733444467242","FALSE","unif","1.85512339850553e-07","4.02630458973263e-08","2"
"85","813","852","0.0205058335027787","0.000835898343186333","0.000451725175052333","FALSE","unif","3.15070193471162e-07","1.96742653169046e-07","2"
"86","815","853","0.0185018216498427","0.000967046096148215","0.000267305208567643","FALSE","unif","5.40986267830665e-07","1.54287947806697e-06","2"
"87","817","854","0.0168373506722863","0.000329263821065825","7.9176514581615e-05","FALSE","unif","9.40881089772016e-07","2.18157033837763e-06","2"
"88","819","855","0.0163967457772609","0.000362648174893997","6.80816828401511e-05","FALSE","unif","1.66143411150066e-06","6.2987627182931e-06","2"
"89","821","856","0.0164898254773505","0.000399220075125588","9.06398408719203e-05","FALSE","unif","2.98768338764882e-06","5.13437430516017e-06","2"
"90","823","857","0.0165793921992516","0.00041690938257206","0.000108605834995753","FALSE","unif","8.95669434741848e-07","4.0585276442906e-06","2"
"91","3656","3704","0.0383490126896493","0.00429637705818918","0.0106065018531238","FALSE","lnorm","8.22551825394728e-11","3.01423108695076e-10","3"
"92","3658","3705","0.0329165888468632","0.00552940888413968","0.00503777583116248","FALSE","unif","1.36711138136289e-10","8.06326116986611e-11","3"
"93","3660","3706","0.0300726753801257","0.00195238379124434","0.00085981692214767","FALSE","unif","2.27835262081411e-10","1.13496545495195e-10","3"
"94","3662","3707","0.028640293908909","0.0003698895722686","0.000165721604665463","FALSE","unif","3.80859774212588e-10","2.48357778787067e-10","3"
"95","3664","3708","0.0278512992142464","0.000387230843789009","0.000104911067623401","FALSE","unif","6.38873816903285e-10","3.55579898858593e-10","3"
"96","3666","3709","0.0274186371585123","0.000399430119326684","9.33888989125509e-05","FALSE","unif","1.07593111885997e-09","1.93458060682161e-09","3"
"97","3668","3710","0.0274283188973504","0.0005796724980058","0.000191615986223042","FALSE","unif","1.82024874643199e-09","1.34378130844937e-09","3"
"98","3670","3711","0.0279398143408525","0.000994009138369469","0.000669918627897448","FALSE","unif","3.09576044142947e-09","1.96674931896013e-09","3"
"99","3672","3712","0.0284645443914426","0.00119559966667212","0.00131981926737904","FALSE","unif","5.297608706529e-09","2.89116575125092e-09","3"
"100","3674","3713","0.0290032935555778","0.00103430987628486","0.00145082965329034","FALSE","unif","9.13162940564227e-09","4.26824409149873e-09","3"
"101","3676","3714","0.0295569049855991","0.000664927763750203","0.000880055392209682","FALSE","unif","1.5877342195867e-08","3.60237495389271e-09","3"
"102","3678","3715","0.0307116947512573","0.000245837213222617","0.00014569248782103","FALSE","unif","2.78960715115699e-08","4.48083448123526e-09","3"
"103","3680","3716","0.0314057829930791","0.000176949909280787","6.84884016021327e-05","FALSE","unif","5.70817267889657e-09","3.10635439593199e-09","3"
"104","3682","3717","0.0326294832974091","9.52301054054072e-05","2.09753188087845e-05","FALSE","unif","9.21588720125623e-09","8.43074954293144e-09","3.5"
"105","3684","3718","0.0335571361057264","6.2003080179282e-05","9.08050613026934e-06","FALSE","unif","1.50815867985926e-08","1.26098111952189e-08","4.5"
"106","4282","4330","0.0245081809758809","0.000133494912534197","1.49275715711537e-05","FALSE","unif","1.32799621060112e-11","5.57558443858852e-11","2"
"107","4284","4331","0.0224729471068402","0.000302108624496302","5.17376778231385e-05","FALSE","unif","2.37985899314949e-11","5.16793274840666e-11","2"
"108","4286","4332","0.0212332979933796","0.000207186736150649","6.94950630761107e-05","FALSE","weibull","3.21459539640133e-11","5.55154922032841e-10","1.5"
"109","4288","4333","0.0178052727116886","0.000842806631058869","0.000200808313663675","FALSE","weibull","5.36382780918944e-11","9.74335057080111e-10","1"
"110","4290","4334","0.0159917826615006","0.000578617960733643","0.000155012455870078","FALSE","unif","9.03446440403378e-11","5.7502558270528e-10","1"
"111","4292","4335","0.01446753331619","0.000557300409897989","7.10870095844403e-05","FALSE","unif","1.53902674924292e-10","3.06891778656393e-09","1.25"
"112","4294","4336","0.0131509365133536","0.000153169190415841","1.22550399892569e-05","FALSE","unif","2.65976012957063e-10","1.00074148967622e-09","2"
"113","4296","4337","0.0122617565767351","8.29126230206001e-05","2.16721984174695e-06","FALSE","unif","4.68669582171141e-10","3.45987205552234e-09","2"
"114","4298","4338","0.0110160871831982","5.62557279971172e-06","4.11753229934742e-08","FALSE","unif","7.71584279421979e-10","9.02957153492423e-10","2"
"115","4300","4339","0.0108112056757893","6.21097469504644e-06","4.09169303226924e-08","FALSE","unif","1.23076938151487e-09","1.73807457315434e-09","1.25"
"116","4302","4340","0.0104783435903822","5.61210751640338e-06","2.3149691096578e-08","FALSE","unif","1.98698222813737e-09","3.7609699798935e-09","1"
"117","4304","4341","0.00998534845456212","4.01913766215019e-06","6.76326107889655e-09","FALSE","unif","3.2452913149901e-09","9.72564995205261e-09","1"
"118","4306","4342","0.00928269359197129","2.16631248700216e-06","7.98604775100302e-10","FALSE","unif","5.36413128655651e-09","3.41373251888655e-08","1"
"119","4308","4343","0.00828609660167046","7.67157168713721e-07","1.6242100751589e-11","FALSE","unif","8.98405047694528e-09","2.212882574959e-07","1"
"120","4310","4344","0.00682461187723114","3.60200799377735e-08","8.3541761731102e-16","FALSE","unif","1.5285551356591e-08","1.82436826756671e-08","1"
"121","285","333","0.00942063376300089","5.43511257200343e-08","1.02584959090052e-15","FALSE","unif","0.00880493555869528","0.00180888310088978","1"
"122","287","334","0.00936636487485299","6.30235552578793e-08","1.30363330930055e-15","FALSE","unif","0.00608710540159499","0.00205443101463476","1"
"123","289","335","0.00975860801810351","1.78106947429074e-07","5.28407466539313e-14","FALSE","unif","0.00412007945393741","0.0021099401192004","1"
"124","291","336","0.0102812740296442","5.19736377940603e-07","2.74896345444073e-12","FALSE","unif","0.00170728232774065","0.000561334234650435","1"
"125","293","337","0.0102161312323526","6.1833346170088e-07","3.45862701456691e-12","FALSE","unif","0.00103615501998358","0.000222243312256731","1"
"126","295","338","0.0103211771648255","8.7921193245159e-07","1.10765558114423e-11","FALSE","unif","0.000370033396791534","0.000193660212546631","1"
"127","297","339","0.0102474995723541","1.03739323028272e-06","1.33837944922921e-11","FALSE","unif","0.000781678408452747","0.000369152676102047","1"
"128","299","340","0.0103598302824187","1.49416395016684e-06","4.33413038181179e-11","FALSE","unif","0.00351318050241653","0.000583733104098427","1"
"129","301","341","0.0104758969975577","2.13355152691014e-06","1.34493266111837e-10","FALSE","unif","0.00132477987361417","0.000517511802120452","1"
"130","303","342","0.0106008204480581","3.6127223994702e-06","4.41022202912634e-10","FALSE","unif","0.00130385613529498","0.000965338021715945","1"
"131","305","343","0.0111347000075284","8.07414585714994e-06","6.67726135673942e-09","FALSE","unif","0.000390291692069152","0.000411383200899174","1"
"132","307","344","0.010735478850717","7.18632250210549e-06","2.32751861253847e-09","FALSE","unif","0.00194824480497253","0.00135716550920295","0"
"133","309","345","0.0102231076141365","4.57790006522706e-06","3.36902734321748e-10","FALSE","unif","0.265838463903265","0.00154779422653184","0"
"134","311","346","0.00998484077968947","3.9704686479061e-06","1.71472694938878e-10","FALSE","unif","0.0716777584180366","0.00417661922771262","0"
"135","313","347","0.00956977653196829","2.35420274766814e-06","3.01703941862483e-11","FALSE","unif","0.0994843237201525","0.0591253834019464","0"
