"initialIndex","finalIndex","cv","shapiro","ad","normality","bestDistFit","runs","ljungBox","IQR"
"1","401","449","0.0071652395314213","9.17070407820167e-10","2.5509616155672e-21","FALSE","unif","1.15863041378039e-11","1.25766064229538e-11","1"
"2","403","450","0.0071465444759909","1.09015138426952e-09","4.43620792929423e-21","FALSE","unif","1.94239966390202e-11","2.15504281086965e-11","1"
"3","405","451","0.00709641326883497","1.16290210398808e-09","4.56496748977092e-21","FALSE","unif","3.28686690754362e-11","3.83338916165599e-11","1"
"4","407","452","0.00755453769579085","1.55938146479782e-08","7.49009248682787e-18","FALSE","unif","5.62595129991312e-11","5.61193347348166e-09","1"
"5","409","453","0.00792004463936724","6.47428552677419e-08","1.018171411667e-15","FALSE","unif","9.7728669184688e-11","4.4192274284427e-09","1"
"6","411","454","0.00819458332830361","1.75614322758791e-07","2.77471362294169e-14","FALSE","unif","1.73214358488576e-10","4.41777847637326e-09","1"
"7","413","455","0.00837495808183148","3.61901239041141e-07","2.36524363135472e-13","FALSE","unif","3.16090316400208e-10","5.34899946558198e-09","1"
"8","415","456","0.0084532770918072","5.7463438060542e-07","7.76907913992314e-13","FALSE","unif","6.03719098781589e-10","7.69959185298319e-09","0"
"9","417","457","0.00841617824879653","6.88257301112679e-07","1.03673614832397e-12","FALSE","unif","1.24733077924798e-09","1.32589142998185e-08","0"
"10","419","458","0.00824287041867369","5.8931668801469e-07","5.07049825821374e-13","FALSE","unif","2.39397405008417e-09","2.83551560009698e-08","0"
"11","421","459","0.00790103291644686","3.23611684317661e-07","6.22045984044516e-14","FALSE","unif","3.27663391619399e-09","8.25188688491352e-08","0"
"12","423","460","0.00733781687862527","8.78739832624443e-08","6.11185788678007e-16","FALSE","unif","4.70803456080934e-09","4.04239223317227e-07","0"
"13","425","461","0.00645671753835569","2.09811480854914e-09","8.23039835598848e-21","FALSE","unif","7.00530806372515e-09","1.75413003011826e-08","1"
"14","427","462","0.00670321136605885","5.81154872427369e-09","5.23086015009195e-19","FALSE","unif","1.07035444156277e-08","2.05751145010424e-08","1"
"15","429","463","0.00691377757146339","1.46295973671413e-08","2.0310633190336e-17","FALSE","unif","1.67047496410477e-08","2.61745389806833e-08","1"
"16","2809","2857","0.00949494089954999","3.04679146303919e-10","9.0845976679723e-22","FALSE","lnorm","0.0160406859014576","0.321605369149237","0"
"17","2811","2858","0.0095815124767163","4.65560960808282e-10","5.103380078684e-21","FALSE","lnorm","0.018699390990299","0.336110405335029","0.25"
"18","2813","2859","0.00967041778867067","7.13427034834269e-10","2.8237890203871e-20","FALSE","lnorm","0.0218152825690839","0.474692957101591","0.5"
