"initialIndex","finalIndex","cv","shapiro","ad","normality","bestDistFit","runs","ljungBox","IQR"
"1","2280","2328","0.00253943859153632","8.70916954596433e-05","1.56343141975304e-06","FALSE","lnorm","0.240167726898276","0.015835828698219","0.179999999999993"
"2","2282","2329","0.00245224950823808","0.000194959001844539","5.27318904855537e-06","FALSE","lnorm","0.344452058639547","0.0227975996437345","0.224999999999994"
"3","2284","2330","0.0024770548146298","0.000247226065457478","9.62700646171114e-06","FALSE","lnorm","0.387246458531265","0.0245601800210946","0.269999999999996"
"4","2286","2331","0.00249240084667641","0.000202020097830269","6.3392237208527e-06","FALSE","lnorm","0.344503721195367","0.0251380855176724","0.314999999999998"
"5","2288","2332","0.00248279998357834","0.000260418686763793","8.53630448921413e-06","FALSE","lnorm","0.232310990423547","0.0254446243014855","0.179999999999993"
"6","2290","2333","0.00242747304056549","0.000201741279433234","3.4208160319456e-06","FALSE","lnorm","0.460649181002017","0.0397716360989882","0.224999999999994"
"7","2292","2334","0.00245486657283542","0.000272149341494608","7.13573655496496e-06","FALSE","lnorm","0.506494183530862","0.0424049845648532","0.269999999999996"
"8","2294","2335","0.00248320741678152","0.000360151456360421","1.41404591166857e-05","FALSE","lnorm","0.814157440842284","0.0487988098447186","0.314999999999998"
"9","2296","2336","0.00254951661532052","0.000421888180289098","2.97826893486077e-05","FALSE","lnorm","0.611777770229557","0.0480247237189327","0.359999999999999"
"10","2298","2337","0.00242785670140367","0.000962701569440722","7.99243450139907e-05","FALSE","lnorm","0.840277741789875","0.10227717417636","0.359999999999999"
"11","2300","2338","0.00250835694607423","0.00124440036044992","0.000159599189192028","FALSE","lnorm","0.737392842624984","0.0882437982169132","0.359999999999999"
"12","2302","2339","0.00245372391631955","0.00171110202887841","0.000209536313660359","FALSE","lnorm","0.969227639065341","0.184737957796938","0.359999999999999"
"13","2304","2340","0.00238953808631618","0.00228645884545184","0.000252800113501568","FALSE","lnorm","0.934179980154065","0.143987210765006","0.359999999999999"
"14","2306","2341","0.00234953332112391","0.00242707506704776","0.000255558171559778","FALSE","lnorm","0.911403660243254","0.326911457488419","0.359999999999999"
"15","2308","2342","0.00229035809331092","0.00367008029392381","0.000350455273697603","FALSE","lnorm","0.972648870143779","0.37765318449438","0.359999999999999"
"16","4232","4280","0.03223179893228","6.36919898630615e-12","3.7e-24","FALSE","lnorm","1.63729645029686e-09","7.20861370595571e-10","0.539999999999992"
"17","4234","4281","0.0325668028234715","9.82014018956239e-12","3.7e-24","FALSE","lnorm","2.46336079166447e-09","1.18707044194366e-09","0.584999999999994"
"18","4236","4282","0.0328890864531812","1.48337894760391e-11","3.7e-24","FALSE","lnorm","3.70748559192724e-09","1.59137669708542e-09","0.629999999999995"
"19","4238","4283","0.0332446048702756","2.28886711778856e-11","3.7e-24","FALSE","lnorm","5.58200349134593e-09","2.46381304247478e-09","0.719999999999999"
"20","4240","4284","0.0335459679209295","3.52444410323493e-11","1.53901783226157e-23","FALSE","lnorm","8.40754294117178e-09","3.30774230228315e-09","0.719999999999999"
"21","4242","4285","0.0338190300511397","5.64011571385814e-11","7.98026569727023e-23","FALSE","lnorm","2.58595152334722e-08","5.24617682629014e-09","0.584999999999994"
"22","4244","4286","0.0340403131699332","7.85729623777712e-11","2.35189394503701e-22","FALSE","lnorm","3.83041834834987e-08","7.12179959450054e-09","0.539999999999992"
"23","4246","4287","0.0344487133620749","1.1913773838853e-10","8.88734209339014e-22","FALSE","lnorm","5.67614262982847e-08","1.17783308661856e-08","0.539999999999992"
"24","4248","4288","0.0347291411880637","1.81207248187128e-10","2.96817934334235e-21","FALSE","lnorm","8.41497542327266e-08","1.59133179966631e-08","0.539999999999992"
"25","4250","4289","0.0351779534670332","2.58206799359396e-10","7.10056919481665e-21","FALSE","lnorm","1.24812229957135e-07","2.3568536455798e-08","0.539999999999992"
"26","4252","4290","0.0346424085164147","1.33595160063831e-10","1.00550427793135e-21","FALSE","lnorm","6.62748238077155e-09","1.2670412619098e-07","0.539999999999992"
"27","4254","4291","0.0252027149087854","2.73375459740383e-11","1.95404652441939e-20","FALSE","lnorm","6.45064923435523e-07","0.00282717015276956","0.539999999999992"
"28","4256","4292","0.00624223284956954","5.22795242135034e-06","5.81488238620199e-05","FALSE","lnorm","0.00855236905607203","0.00233537502720482","0.539999999999992"
