"index","initial_index","last_index","model","numMax","numMin","maxPositions","minPositions","angles_max","angles_min"
"1",600,802,"SNHT",2,1,"77, 183","168","28.1186475691534, 98.1156144742621","176.523289700094"
"2",600,802,"Pettitt",1,1,"183","77","2.97660124503548","0.953283888609178"
"3",600,802,"BuishandR",1,1,"183","77","107.707871076314","83.9060543613353"
"4",600,802,"BuishandU",1,1,"183","77","107.707871076314","83.9060543613353"
"5",600,802,"Lanzante",1,1,"183","77","2.97660124503548","0.953283888609178"
"1",1000,1202,"SNHT",2,1,"58, 178","124","108.437576830954, 174.677753250439","177.114712907679"
"2",1000,1202,"Pettitt",0,1,"","60","NA","14.8862668490175"
"3",1000,1202,"BuishandR",1,1,"160","60","179.423391148787","175.965703407688"
"4",1000,1202,"BuishandU",1,1,"160","60","179.423391148787","175.965703407688"
"5",1000,1202,"Lanzante",0,1,"","60","NA","14.8862668490175"
"1",2500,2702,"SNHT",1,0,"125","","143.977537640266","NA"
"2",2500,2702,"Pettitt",3,2,"80, 93, 109","83, 95","6.03667171078288, 27.3498757800699, 6.03667171078288","7.94347181059041, 28.9509952074668"
"3",2500,2702,"BuishandR",2,2,"115, 118","117, 121","168.695145799907, 170.373207803032","173.586906300269, 172.093644174368"
"4",2500,2702,"BuishandU",2,2,"115, 118","117, 121","168.695145799907, 170.373207803032","173.586906300269, 172.093644174368"
"5",2500,2702,"Lanzante",3,2,"80, 93, 109","83, 95","6.03667171078288, 27.3498757800699, 6.03667171078288","7.94347181059041, 28.9509952074668"
"1",2950,3152,"SNHT",3,2,"55, 150, 183","142, 162","22.4977792128819, 178.014421241719, 179.556278206623","179.703151556043, 178.989048503572"
"2",2950,3152,"Pettitt",3,1,"55, 151, 186","131","0.831272187262897, 7.7764291949095, 28.0724869358529","53.130102354156"
"3",2950,3152,"BuishandR",3,2,"55, 149, 172","145, 163","74.6325353105431, 174.892215819708, 179.163670552842","179.256574071032, 176.843252666728"
"4",2950,3152,"BuishandU",3,2,"55, 149, 172","145, 163","74.6325353105431, 174.892215819708, 179.163670552842","179.256574071032, 176.843252666728"
"5",2950,3152,"Lanzante",3,1,"55, 151, 186","131","0.831272187262897, 7.7764291949095, 28.0724869358529","53.130102354156"
"1",3100,3302,"SNHT",1,0,"83","","178.306603062998","NA"
"2",3100,3302,"Pettitt",0,0,"","","NA","NA"
"3",3100,3302,"BuishandR",1,0,"91","","179.005817184739","NA"
"4",3100,3302,"BuishandU",1,0,"91","","179.005817184739","NA"
"5",3100,3302,"Lanzante",0,0,"","","NA","NA"
"1",3300,3502,"SNHT",2,1,"93, 199","194","39.4493633542453, 52.3825041490929","167.619503934649"
"2",3300,3502,"Pettitt",1,1,"199","93","0.877133724923738","6.3012503521463"
"3",3300,3502,"BuishandR",1,1,"199","93","85.9633678220815","103.442277979665"
"4",3300,3502,"BuishandU",1,1,"199","93","85.9633678220815","103.442277979665"
"5",3300,3502,"Lanzante",1,1,"199","93","0.877133724923738","6.3012503521463"
"1",3610,3812,"SNHT",2,1,"30, 188","122","20.9997251954386, 97.9013412923293","178.952707782028"
"2",3610,3812,"Pettitt",1,1,"137","30","5.047281846484","1.00097215621511"
"3",3610,3812,"BuishandR",1,1,"171","30","178.875982296393","85.8935548372727"
"4",3610,3812,"BuishandU",1,1,"171","30","178.875982296393","85.8935548372727"
"5",3610,3812,"Lanzante",1,1,"137","30","5.047281846484","1.00097215621511"
