"index","initial_index","last_index","model","numMax","numMin","maxPositions","minPositions","angles_max","angles_min"
"1",200,402,"SNHT",2,1,"125, 195","193","33.558526690069, 127.248961195361","154.056569246261"
"2",200,402,"Pettitt",0,1,"","12","NA","31.7594800848128"
"3",200,402,"BuishandR",1,1,"125","195","100.527553404764","104.192521095444"
"4",200,402,"BuishandU",1,1,"125","195","100.527553404764","104.192521095444"
"5",200,402,"Lanzante",0,1,"","12","NA","31.7594800848128"
"1",500,702,"SNHT",1,0,"94","","173.747242446963","NA"
"2",500,702,"Pettitt",0,0,"","","NA","NA"
"3",500,702,"BuishandR",1,0,"95","","177.74664962832","NA"
"4",500,702,"BuishandU",1,0,"95","","177.74664962832","NA"
"5",500,702,"Lanzante",0,0,"","","NA","NA"
"1",1000,1202,"SNHT",2,1,"58, 178","124","108.437576830954, 174.677753250439","177.114712907679"
"2",1000,1202,"Pettitt",0,1,"","60","NA","14.8862668490175"
"3",1000,1202,"BuishandR",1,1,"160","60","179.423391148787","175.965703407688"
"4",1000,1202,"BuishandU",1,1,"160","60","179.423391148787","175.965703407688"
"5",1000,1202,"Lanzante",0,1,"","60","NA","14.8862668490175"
"1",1250,1452,"SNHT",2,1,"62, 133","82","100.053613487424, 37.5505933115675","175.118937496644"
"2",1250,1452,"Pettitt",1,1,"58","133","17.5924245621816","0.794401232007459"
"3",1250,1452,"BuishandR",1,1,"62","133","106.005232334552","82.7454101223394"
"4",1250,1452,"BuishandU",1,1,"62","133","106.005232334552","82.7454101223394"
"5",1250,1452,"Lanzante",1,1,"58","133","17.5924245621816","0.794401232007459"
"1",1700,1902,"SNHT",2,1,"106, 177","159","41.4831982288198, 56.3297872272182","174.443799847858"
"2",1700,1902,"Pettitt",4,3,"21, 38, 41, 177","31, 106, 201","45, 24.7751405688319, 6.3036277562895, 0.819457597278046","5.6693830418634, 1.29013843160098, 4.35973242770606"
"3",1700,1902,"BuishandR",1,1,"177","106","83.604702475091","92.9454526173745"
"4",1700,1902,"BuishandU",1,1,"177","106","83.604702475091","92.9454526173745"
"5",1700,1902,"Lanzante",4,3,"21, 38, 41, 177","31, 106, 201","45, 24.7751405688319, 6.3036277562895, 0.819457597278046","5.6693830418634, 1.29013843160098, 4.35973242770606"
"1",2000,2202,"SNHT",2,1,"53, 124","88","57.609858921112, 61.6931761179476","175.750866283723"
"2",2000,2202,"Pettitt",6,5,"53, 130, 152, 156, 175, 179","125, 154, 171, 177, 184","1.05613592313142, 4.15071990147777, 2.75975861387386, 3.05559345775293, 6.40021873234289, 4.15071990147777","6.40021873234289, 3.3873868054917, 9.95807059846098, 6.74258660671276, 3.01656068689195"
"3",2000,2202,"BuishandR",1,1,"53","124","90.5572671615664","94.9799183412419"
"4",2000,2202,"BuishandU",1,1,"53","124","90.5572671615664","94.9799183412419"
"5",2000,2202,"Lanzante",6,5,"53, 130, 152, 156, 175, 179","125, 154, 171, 177, 184","1.05613592313142, 4.15071990147777, 2.75975861387386, 3.05559345775293, 6.40021873234289, 4.15071990147777","6.40021873234289, 3.3873868054917, 9.95807059846098, 6.74258660671276, 3.01656068689195"
"1",2650,2852,"SNHT",1,0,"118","","157.789191866304","NA"
"2",2650,2852,"Pettitt",3,3,"12, 16, 19","13, 17, 116","14.6567511157604, 54.4623222080256, 50.1944289077348","50.1944289077348, 54.4623222080256, 2.5909939192812"
"3",2650,2852,"BuishandR",0,1,"","117","NA","165.064701126551"
"4",2650,2852,"BuishandU",0,1,"","117","NA","165.064701126551"
"5",2650,2852,"Lanzante",3,3,"12, 16, 19","13, 17, 116","14.6567511157604, 54.4623222080256, 50.1944289077348","50.1944289077348, 54.4623222080256, 2.5909939192812"
