"index","initial_index","last_index","model","numMax","numMin","maxPositions","minPositions","angles_max","angles_min"
"1",450,652,"SNHT",11,8,"12, 16, 23, 28, 31, 45, 59, 65, 68, 76, 143","4, 14, 22, 29, 43, 55, 71, 78","42.6144070051615, 50.9487234598102, 49.3273024362849, 81.9377022974741, 69.6361494172825, 83.4811311867651, 152.884529589326, 137.176216048987, 118.423949401408, 119.486339756497, 178.365411475003","135.378092820232, 153.110826738405, 89.5791783925182, 51.8518524583566, 95.5884837835557, 161.227696753067, 138.526727702484, 157.421812275549"
"2",450,652,"Pettitt",8,6,"4, 21, 29, 43, 59, 65, 76, 137","16, 31, 37, 45, 71, 78","0.716733491013144, 7.55906698104121, 0.6820844147272, 0.734090681137616, 0.670324742705503, 2.26724639231992, 0.904848308629028, 53.130102354156","0.647589075298015, 0.944632433363324, 0.875883103347775, 0.645804189279943, 1.07215494452214, 5.19121419755956"
"3",450,652,"BuishandR",9,7,"4, 21, 29, 43, 59, 65, 68, 76, 136","16, 23, 31, 37, 45, 71, 78","79.5252196745936, 144.169664303007, 75.2301531002992, 76.4541153942214, 84.3409619381131, 115.462802368354, 84.5741516057082, 92.9596358696893, 178.657825095673","76.6386687640634, 75.9204297083629, 103.63437376956, 107.015009419091, 64.3706487700355, 113.04132670683, 142.876172800687"
"4",450,652,"BuishandU",9,7,"4, 21, 29, 43, 59, 65, 68, 76, 136","16, 23, 31, 37, 45, 71, 78","79.5252196745936, 144.169664303007, 75.2301531002992, 76.4541153942214, 84.3409619381131, 115.462802368354, 84.5741516057082, 92.9596358696893, 178.657825095673","76.6386687640634, 75.9204297083629, 103.63437376956, 107.015009419091, 64.3706487700355, 113.04132670683, 142.876172800687"
"5",450,652,"Lanzante",8,6,"4, 21, 29, 43, 59, 65, 76, 137","16, 31, 37, 45, 71, 78","0.716733491013144, 7.55906698104121, 0.6820844147272, 0.734090681137616, 0.670324742705503, 2.26724639231992, 0.904848308629028, 53.130102354156","0.647589075298015, 0.944632433363324, 0.875883103347775, 0.645804189279943, 1.07215494452214, 5.19121419755956"
"1",550,752,"SNHT",9,10,"49, 134, 146, 152, 157, 164, 168, 186, 192","132, 140, 145, 150, 154, 161, 167, 174, 184, 191","156.921895033775, 53.37434912853, 45.9178724212118, 65.4106903378482, 28.3256919509333, 72.089984924385, 48.6977384440579, 72.4600395532164, 101.336267964846","67.1319092593878, 124.464575664995, 56.4852233915267, 73.8520258382099, 91.2172265598872, 93.6871292277304, 40.0952465065807, 77.8766903992737, 152.471130681807, 114.329313247981"
"2",550,752,"Pettitt",5,3,"87, 134, 152, 157, 164","132, 150, 163","33.6900675259798, 0.912125850646902, 1.04015435249622, 0.610145261336129, 1.09220664924035","1.07556331311366, 1.08137951132801, 2.73309947843961"
"3",550,752,"BuishandR",6,4,"86, 134, 146, 152, 157, 164","132, 150, 163, 167","178.58533293815, 96.2943061461847, 85.0512420114225, 112.536294747856, 58.5802488035275, 106.11731329551","111.547038910445, 118.463036730631, 127.907370020573, 78.4204474750259"
"4",550,752,"BuishandU",6,4,"86, 134, 146, 152, 157, 164","132, 150, 163, 167","178.58533293815, 96.2943061461847, 85.0512420114225, 112.536294747856, 58.5802488035275, 106.11731329551","111.547038910445, 118.463036730631, 127.907370020573, 78.4204474750259"
"5",550,752,"Lanzante",5,3,"87, 134, 152, 157, 164","132, 150, 163","33.6900675259798, 0.912125850646902, 1.04015435249622, 0.610145261336129, 1.09220664924035","1.07556331311366, 1.08137951132801, 2.73309947843961"
"1",1000,1202,"SNHT",2,1,"58, 178","124","108.437576830954, 174.677753250439","177.114712907679"
"2",1000,1202,"Pettitt",0,1,"","60","NA","14.8862668490175"
"3",1000,1202,"BuishandR",1,1,"160","60","179.423391148787","175.965703407688"
"4",1000,1202,"BuishandU",1,1,"160","60","179.423391148787","175.965703407688"
"5",1000,1202,"Lanzante",0,1,"","60","NA","14.8862668490175"
"1",1300,1502,"SNHT",12,11,"81, 119, 122, 140, 143, 160, 167, 176, 186, 190, 193, 199","118, 139, 158, 165, 169, 173, 183, 189, 192, 197, 200","177.957276889132, 117.603376462392, 36.0221565618739, 109.823456525869, 102.876687671597, 137.147816837832, 171.234421927326, 143.524281454787, 176.19464848627, 169.390003160434, 168.094402428739, 87.12074659513","88.5211187701774, 79.0553862983686, 127.475586297511, 159.083825223885, 163.820774414035, 154.624564735168, 175.373266652961, 170.902018483731, 173.622313005468, 172.423935060022, 121.825587079322"
"2",1300,1502,"Pettitt",9,8,"118, 139, 158, 173, 180, 187, 192, 195, 201","122, 140, 160, 167, 176, 190, 193, 199","2.5031397795849, 0.801326239477504, 1.53051953383985, 0.624682434616659, 0.753880959194248, 7.91319129926546, 1.97826802534553, 0.965190067625286, 26.947017381807","0.64014966952351, 1.51303844551319, 7.44689936430052, 10.4853523966934, 0.836821114868343, 0.790307740429199, 0.98393720538013, 0.600757203715432"
"3",1300,1502,"BuishandR",11,11,"118, 139, 158, 165, 169, 173, 180, 186, 192, 195, 201","82, 119, 122, 140, 160, 167, 176, 182, 190, 193, 199","119.973063388065, 87.0484673627918, 90.6418741598094, 122.564375326416, 118.240500320531, 71.2404139650954, 83.0750468347465, 158.890563218969, 117.046839560911, 95.030364354512, 121.717208338984","169.148971603905, 137.723357887599, 62.1266976927755, 113.134916243026, 111.657409960646, 148.696220684682, 87.9738304231207, 132.487966993491, 88.0194804420054, 95.7030253052218, 67.6154353798065"
"4",1300,1502,"BuishandU",11,11,"118, 139, 158, 165, 169, 173, 180, 186, 192, 195, 201","82, 119, 122, 140, 160, 167, 176, 182, 190, 193, 199","119.973063388065, 87.0484673627918, 90.6418741598094, 122.564375326416, 118.240500320531, 71.2404139650954, 83.0750468347465, 158.890563218969, 117.046839560911, 95.030364354512, 121.717208338984","169.148971603905, 137.723357887599, 62.1266976927755, 113.134916243026, 111.657409960646, 148.696220684682, 87.9738304231207, 132.487966993491, 88.0194804420054, 95.7030253052218, 67.6154353798065"
"5",1300,1502,"Lanzante",9,8,"118, 139, 158, 173, 180, 187, 192, 195, 201","122, 140, 160, 167, 176, 190, 193, 199","2.5031397795849, 0.801326239477504, 1.53051953383985, 0.624682434616659, 0.753880959194248, 7.91319129926546, 1.97826802534553, 0.965190067625286, 26.947017381807","0.64014966952351, 1.51303844551319, 7.44689936430052, 10.4853523966934, 0.836821114868343, 0.790307740429199, 0.98393720538013, 0.600757203715432"
"1",2000,2202,"SNHT",7,7,"55, 81, 160, 166, 190, 194, 200","65, 159, 162, 165, 176, 187, 197","174.222230527144, 167.974862610707, 61.8911179589584, 46.0559881521748, 56.8173579037038, 111.455519184467, 73.7891937050688","176.029776747318, 77.7370484753751, 108.505816400526, 29.1222213221039, 65.7140656460942, 173.915894234073, 145.624333355764"
"2",2000,2202,"Pettitt",6,7,"85, 91, 160, 166, 191, 198","89, 159, 165, 176, 190, 194, 200","25.5599651718238, 11.2106331288767, 0.637473992392671, 0.620670265615615, 0.60835952567578, 6.05995331700242","18.1218602479014, 0.726373501367959, 0.591679013157659, 0.707761414445685, 0.578799379505625, 0.883426791842737, 0.647464122764148"
"3",2000,2202,"BuishandR",5,5,"85, 91, 160, 166, 198","159, 165, 176, 190, 200","173.141684628007, 169.205782339376, 78.1939957357186, 59.1064420685482, 138.600073906752","88.6495149356801, 41.7255081792886, 57.2943328453521, 44.7391589056762, 82.8723312632856"
"4",2000,2202,"BuishandU",5,5,"85, 91, 160, 166, 198","159, 165, 176, 190, 200","173.141684628007, 169.205782339376, 78.1939957357186, 59.1064420685482, 138.600073906752","88.6495149356801, 41.7255081792886, 57.2943328453521, 44.7391589056762, 82.8723312632856"
"5",2000,2202,"Lanzante",6,7,"85, 91, 160, 166, 191, 198","89, 159, 165, 176, 190, 194, 200","25.5599651718238, 11.2106331288767, 0.637473992392671, 0.620670265615615, 0.60835952567578, 6.05995331700242","18.1218602479014, 0.726373501367959, 0.591679013157659, 0.707761414445685, 0.578799379505625, 0.883426791842737, 0.647464122764148"
"1",2320,2522,"SNHT",14,13,"24, 87, 97, 101, 104, 113, 118, 133, 161, 167, 172, 176, 182, 192","86, 89, 94, 103, 107, 115, 122, 126, 134, 164, 170, 173, 191","176.074472986131, 173.256271089927, 168.850792838785, 152.48495324785, 154.525262612938, 154.956835973283, 114.885496029077, 116.301763561692, 43.1811237017544, 55.5821524510659, 31.7602183203884, 27.7879279502331, 77.5474882211931, 70.9458916964971","170.722296400351, 163.630761725702, 178.80618691789, 164.206992506101, 145.521554378669, 113.928255281172, 163.20806208983, 162.072184827706, 145.158725763486, 79.9926612181699, 89.4422763131148, 36.9162192435752, 52.3525031478857"
"2",2320,2522,"Pettitt",11,14,"47, 52, 87, 103, 107, 115, 122, 126, 135, 164, 173","42, 49, 86, 89, 97, 101, 104, 113, 118, 133, 156, 161, 172, 176","9.00850374202514, 13.3245312618908, 2.45465709692215, 1.34143355888625, 1.24421141731278, 0.618101997141281, 2.1187349500357, 1.45254271605424, 14.483857638787, 0.855665889639653, 1.27423690991688","4.45286013992094, 13.3245312618908, 1.01233980241548, 0.722838854036866, 0.705919819234452, 1.02985748820186, 0.730613638843579, 1.07036985806687, 0.669480999598392, 0.739320894541379, 0.874778704900422, 0.699136238182433, 0.859415207960552, 0.695807604287296"
"3",2320,2522,"BuishandR",13,15,"47, 52, 59, 87, 103, 107, 115, 122, 126, 135, 157, 164, 173","49, 86, 89, 97, 101, 104, 113, 118, 125, 133, 156, 161, 165, 172, 176","176.697116584287, 178.347842356315, 167.73337129334, 137.921400993238, 118.358114566414, 93.973115184624, 58.9364695394343, 139.736846860076, 139.804373909093, 151.129972786005, 121.695214124495, 88.7403206746597, 93.2715830132816","178.347842356315, 118.861363085356, 77.2604457109191, 75.3179890697634, 91.1084904527943, 86.7471353524364, 124.501063466622, 68.6885792424375, 151.021568495877, 90.937945328492, 112.858867310007, 82.0191888760248, 73.7226184844684, 85.009918068895, 77.744721328596"
