"index","initial_index","last_index","model","numMax","numMin","maxPositions","minPositions","angles_max","angles_min"
"1",400,602,"SNHT",5,5,"69, 78, 176, 182, 195","73, 141, 177, 183, 196","178.034746104413, 171.238487962439, 67.902275269308, 68.3102722514365, 32.7212144345213","156.405013648068, 174.363166258132, 86.4239782829656, 80.3492736602605, 73.3323948808882"
"2",400,602,"Pettitt",3,4,"162, 183, 196","82, 163, 195, 201","7.26111058110729, 26.8486913328358, 1.58842918285595","51.3401917459099, 16.8986486940382, 1.71857269444172, 1.21636822200125"
"3",400,602,"BuishandR",3,3,"162, 184, 196","82, 195, 201","172.292174138754, 179.761236757792, 89.5712793065923","178.408340791473, 90.9806385791746, 91.3168625715736"
"4",400,602,"BuishandU",3,3,"162, 184, 196","82, 195, 201","172.292174138754, 179.761236757792, 89.5712793065923","178.408340791473, 90.9806385791746, 91.3168625715736"
"5",400,602,"Lanzante",3,4,"162, 183, 196","82, 163, 195, 201","7.26111058110729, 26.8486913328358, 1.58842918285595","51.3401917459099, 16.8986486940382, 1.71857269444172, 1.21636822200125"
"1",700,902,"SNHT",9,9,"80, 95, 124, 132, 135, 161, 165, 170, 187","84, 122, 129, 133, 136, 162, 166, 169, 186","178.234108794924, 178.635713554497, 106.219824080848, 131.935158769921, 145.488691488638, 124.043938560197, 127.120515101124, 129.99543286782, 104.769818363703","161.653793854704, 177.905254370679, 108.673186402166, 133.22429902297, 146.81606761981, 126.751402627169, 106.017348606755, 131.57681114657, 109.56840025355"
"2",700,902,"Pettitt",1,2,"187","73, 186","0.868275151630513","14.9314171781375, 0.885993668593727"
"3",700,902,"BuishandR",8,9,"84, 129, 133, 136, 162, 167, 170, 187","82, 96, 124, 132, 135, 161, 165, 169, 186","164.755328577578, 92.502069429258, 99.1967771563621, 98.8510179162878, 96.0649661850638, 87.7012770666101, 95.2918580812706, 82.8797781655709","178.35059527686, 178.703818332875, 105.547371876396, 99.4846235500084, 99.1381380335994, 96.3447257276753, 88.1300513903709, 95.5690124070893, 83.1940836918195"
"4",700,902,"BuishandU",8,9,"84, 129, 133, 136, 162, 167, 170, 187","82, 96, 124, 132, 135, 161, 165, 169, 186","164.755328577578, 92.502069429258, 99.1967771563621, 98.8510179162878, 96.0649661850638, 87.7012770666101, 95.2918580812706, 82.8797781655709","178.35059527686, 178.703818332875, 105.547371876396, 99.4846235500084, 99.1381380335994, 96.3447257276753, 88.1300513903709, 95.5690124070893, 83.1940836918195"
"5",700,902,"Lanzante",1,2,"187","73, 186","0.868275151630513","14.9314171781375, 0.885993668593727"
"1",1000,1202,"SNHT",2,1,"58, 178","124","108.437576830954, 174.677753250439","177.114712907679"
"2",1000,1202,"Pettitt",0,1,"","60","NA","14.8862668490175"
"3",1000,1202,"BuishandR",1,1,"160","60","179.423391148787","175.965703407688"
"4",1000,1202,"BuishandU",1,1,"160","60","179.423391148787","175.965703407688"
"5",1000,1202,"Lanzante",0,1,"","60","NA","14.8862668490175"
"1",1400,1602,"SNHT",8,8,"69, 72, 165, 170, 174, 180, 186, 192","71, 150, 166, 171, 175, 181, 187, 196","178.38230118817, 175.69029872676, 82.738743752401, 75.4357694750299, 70.6655069281743, 89.3904896160236, 77.484915932625, 58.9523369962468","177.074390251285, 178.487761760706, 88.6788415244264, 85.5275195013906, 91.5101513791381, 99.7645449271374, 90.7001713190809, 172.499446863612"
"2",1400,1602,"Pettitt",8,6,"81, 96, 101, 166, 175, 181, 187, 194","88, 170, 174, 180, 186, 192","15.2551187030578, 9.72757855140159, 7.09840428415819, 0.592392972218846, 0.574479178108362, 0.642017790488836, 0.683994421475631, 0.744089025133718","7.09840428415819, 0.588402066178872, 0.574479178108362, 0.724439174158107, 0.782412497332814, 0.71989537606197"
"3",1400,1602,"BuishandR",7,6,"75, 166, 171, 175, 181, 187, 194","165, 170, 174, 180, 186, 192","175.481489397773, 65.3786526377523, 66.419243350327, 58.6520043404566, 66.4514459452466, 68.3670296614136, 69.2671231310922","66.7705019841859, 63.0245431362692, 58.6520043404567, 69.3615533983392, 70.3810136348618, 69.0227512551904"
"4",1400,1602,"BuishandU",7,6,"75, 166, 171, 175, 181, 187, 194","165, 170, 174, 180, 186, 192","175.481489397773, 65.3786526377523, 66.419243350327, 58.6520043404566, 66.4514459452466, 68.3670296614136, 69.2671231310922","66.7705019841859, 63.0245431362692, 58.6520043404567, 69.3615533983392, 70.3810136348618, 69.0227512551904"
"5",1400,1602,"Lanzante",8,6,"81, 96, 101, 166, 175, 181, 187, 194","88, 170, 174, 180, 186, 192","15.2551187030578, 9.72757855140159, 7.09840428415819, 0.592392972218846, 0.574479178108362, 0.642017790488836, 0.683994421475631, 0.744089025133718","7.09840428415819, 0.588402066178872, 0.574479178108362, 0.724439174158107, 0.782412497332814, 0.71989537606197"
"1",2000,2202,"SNHT",17,16,"6, 11, 17, 21, 31, 58, 66, 70, 74, 78, 83, 91, 94, 99, 102, 107, 116","4, 8, 13, 26, 42, 64, 69, 72, 76, 82, 90, 93, 96, 101, 105, 115","179.82454257666, 179.695853100758, 179.75099297619, 179.908142983374, 179.763959485461, 166.930592955747, 159.323883235481, 150.247044607952, 111.54733646991, 95.3773372661216, 88.3926000669878, 85.6673119090778, 80.1624459217472, 84.770218678716, 88.3888286129679, 79.2762244933767, 70.8750985039877","179.806710843492, 179.925230374144, 179.827437581702, 179.920577258924, 179.922121671312, 179.853408693717, 151.41242249662, 140.958560931095, 104.528930272468, 92.1480257571762, 89.0672431587382, 83.4853960797972, 90.9715733640567, 85.9541748172899, 82.7057566553064, 72.2128825349711"
"2",2000,2202,"Pettitt",4,5,"94, 99, 102, 107","93, 96, 101, 105, 199","4.11883674471142, 0.698927525693705, 6.04370438142098, 0.654823162505949","9.76708411844669, 9.78420522342435, 0.742359851956309, 0.687951673298386, 54.4623222080256"
"3",2000,2202,"BuishandR",16,15,"6, 11, 22, 31, 59, 66, 70, 74, 78, 83, 91, 94, 99, 102, 107, 116","8, 13, 25, 58, 65, 69, 72, 76, 82, 90, 93, 96, 101, 105, 115","177.195039225997, 175.148412156011, 178.974559274764, 176.169415027876, 89.7929004315238, 92.340931856431, 100.538680002042, 92.0864247537884, 91.6202559183222, 87.8555038016671, 86.1965935778293, 84.3299192740777, 93.7742010861074, 97.9071313446175, 92.3032628476772, 80.5776720809332","178.596849951705, 176.871222698561, 179.298362571671, 90.4574517354669, 90.0193341901615, 99.8638979576781, 100.430611751898, 91.1012920063635, 89.1617465300891, 87.1342871554979, 85.2814082106041, 96.6196424805734, 95.1924735895485, 92.2097797466811, 80.2711145301011"
"4",2000,2202,"BuishandU",16,15,"6, 11, 22, 31, 59, 66, 70, 74, 78, 83, 91, 94, 99, 102, 107, 116","8, 13, 25, 58, 65, 69, 72, 76, 82, 90, 93, 96, 101, 105, 115","177.195039225997, 175.148412156011, 178.974559274764, 176.169415027876, 89.7929004315238, 92.340931856431, 100.538680002042, 92.0864247537884, 91.6202559183222, 87.8555038016671, 86.1965935778293, 84.3299192740777, 93.7742010861074, 97.9071313446175, 92.3032628476772, 80.5776720809332","178.596849951705, 176.871222698561, 179.298362571671, 90.4574517354669, 90.0193341901615, 99.8638979576781, 100.430611751898, 91.1012920063635, 89.1617465300891, 87.1342871554979, 85.2814082106041, 96.6196424805734, 95.1924735895485, 92.2097797466811, 80.2711145301011"
"5",2000,2202,"Lanzante",4,5,"94, 99, 102, 107","93, 96, 101, 105, 199","4.11883674471142, 0.698927525693705, 6.04370438142098, 0.654823162505949","9.76708411844669, 9.78420522342435, 0.742359851956309, 0.687951673298386, 54.4623222080256"
"1",2200,2402,"SNHT",6,5,"7, 47, 59, 123, 129, 137","11, 49, 64, 125, 132","75.5603110478383, 158.3210794023, 155.464988374803, 149.89966580429, 162.682826181511, 139.644729791533","157.856169569122, 155.998546735294, 164.944916865013, 135.604756825628, 133.765901660522"
"2",2200,2402,"Pettitt",2,4,"47, 121","7, 13, 49, 65","5.9061411137705, 4.39870535499551","0.979767563212647, 7.15266874999469, 10.3437262046077, 11.888658039628"
"3",2200,2402,"BuishandR",2,2,"59, 122","7, 64","159.963524667942, 172.897497874063","93.1328796206615, 167.145901618029"
"4",2200,2402,"BuishandU",2,2,"59, 122","7, 64","159.963524667942, 172.897497874063","93.1328796206615, 167.145901618029"
"5",2200,2402,"Lanzante",2,4,"47, 121","7, 13, 49, 65","5.9061411137705, 4.39870535499551","0.979767563212647, 7.15266874999469, 10.3437262046077, 11.888658039628"
"1",3150,3352,"SNHT",2,1,"67, 195","179","173.900074623643, 178.839641934544","178.566045898866"
"2",3150,3352,"Pettitt",1,1,"84","185","63.434948822922","63.434948822922"
"3",3150,3352,"BuishandR",1,1,"76","191","177.743817694685","177.743502133143"
"4",3150,3352,"BuishandU",1,1,"76","191","177.743817694685","177.743502133143"
"5",3150,3352,"Lanzante",1,1,"84","185","63.434948822922","63.434948822922"
