"index","initial_index","last_index","model","numMax","numMin","maxPositions","minPositions","angles_max","angles_min"
"1",2000,2202,"SNHT",1,0,"109","","173.075932587921","NA"
"2",2000,2202,"Pettitt",0,0,"","","NA","NA"
"3",2000,2202,"BuishandR",1,0,"108","","175.077972831307","NA"
"4",2000,2202,"BuishandU",1,0,"108","","175.077972831307","NA"
"5",2000,2202,"Lanzante",0,0,"","","NA","NA"
"1",5800,6002,"SNHT",1,0,"19","","10.3067371400782","NA"
"2",5800,6002,"Pettitt",1,0,"101","","71.565051177078","NA"
"3",5800,6002,"BuishandR",1,0,"19","","92.5873630718336","NA"
"4",5800,6002,"BuishandU",1,0,"19","","92.5873630718336","NA"
"5",5800,6002,"Lanzante",1,0,"101","","71.565051177078","NA"
"1",7300,7502,"SNHT",7,10,"13, 42, 59, 93, 138, 174, 183","5, 29, 33, 36, 44, 79, 107, 167, 181, 198","143.786175766869, 163.593112481432, 155.198134912787, 161.974034429629, 125.121044029667, 155.118747848057, 169.532275707183","94.2733638100291, 178.334319380187, 178.936399366311, 176.476292611596, 156.889266613986, 171.999353399726, 165.796041573774, 165.750812197484, 171.241272449229, 166.911902792427"
"2",7300,7502,"Pettitt",9,10,"31, 35, 44, 63, 78, 99, 106, 168, 198","15, 33, 42, 59, 68, 93, 100, 138, 173, 200","7.92073990164107, 2.43826748064126, 1.62027787469469, 3.52660755527251, 7.92073990164107, 21.0375110254218, 6.59160993503116, 20.1196331408183, 19.6040881508294","20.4803573118092, 2.59210342846123, 2.11106311371523, 6.09586154459581, 23.6293777306568, 3.89301875488181, 5.32887319640608, 5.95832736866481, 4.41099531180254, 3.89301875488181"
"3",7300,7502,"BuishandR",6,8,"35, 44, 79, 107, 168, 198","15, 33, 42, 59, 93, 137, 173, 200","130.819417016075, 123.495179584619, 169.868280432037, 164.956780194876, 164.802461297787, 157.032531135045","169.841795558765, 150.688320089508, 141.304446562015, 158.388121320294, 163.421830235644, 155.757184795593, 159.840386328403, 163.421830235644"
"4",7300,7502,"BuishandU",6,8,"35, 44, 79, 107, 168, 198","15, 33, 42, 59, 93, 137, 173, 200","130.819417016075, 123.495179584619, 169.868280432037, 164.956780194876, 164.802461297787, 157.032531135045","169.841795558765, 150.688320089508, 141.304446562015, 158.388121320294, 163.421830235644, 155.757184795593, 159.840386328403, 163.421830235644"
"5",7300,7502,"Lanzante",9,10,"31, 35, 44, 63, 78, 99, 106, 168, 198","15, 33, 42, 59, 68, 93, 100, 138, 173, 200","7.92073990164107, 2.43826748064126, 1.62027787469469, 3.52660755527251, 7.92073990164107, 21.0375110254218, 6.59160993503116, 20.1196331408183, 19.6040881508294","20.4803573118092, 2.59210342846123, 2.11106311371523, 6.09586154459581, 23.6293777306568, 3.89301875488181, 5.32887319640608, 5.95832736866481, 4.41099531180254, 3.89301875488181"
"1",8100,8302,"SNHT",1,0,"137","","26.4340195911039","NA"
"2",8100,8302,"Pettitt",9,9,"3, 24, 39, 64, 72, 80, 84, 103, 136","5, 30, 42, 48, 73, 82, 87, 105, 130","3.00869971759514, 2.23103544839509, 1.28503434795115, 1.76177070897455, 2.25440111424624, 7.9553318351598, 6.27107744950112, 2.69651506038457, 15.2816077346948","1.7665696135131, 7.42035280284884, 4.96974072811031, 1.48583092485774, 27.6259628673422, 1.72655420556541, 5.08898255286061, 2.23197898134848, 1.65731870476213"
"3",8100,8302,"BuishandR",1,0,"137","","93.9907090730902","NA"
"4",8100,8302,"BuishandU",1,0,"137","","93.9907090730902","NA"
"5",8100,8302,"Lanzante",9,9,"3, 24, 39, 64, 72, 80, 84, 103, 136","5, 30, 42, 48, 73, 82, 87, 105, 130","3.00869971759514, 2.23103544839509, 1.28503434795115, 1.76177070897455, 2.25440111424624, 7.9553318351598, 6.27107744950112, 2.69651506038457, 15.2816077346948","1.7665696135131, 7.42035280284884, 4.96974072811031, 1.48583092485774, 27.6259628673422, 1.72655420556541, 5.08898255286061, 2.23197898134848, 1.65731870476213"
"1",12600,12802,"SNHT",1,0,"129","","24.968350123191","NA"
"2",12600,12802,"Pettitt",1,1,"129","28","0.628791278921938","40.6012946450045"
"3",12600,12802,"BuishandR",1,0,"129","","86.2904070590399","NA"
"4",12600,12802,"BuishandU",1,0,"129","","86.2904070590399","NA"
"5",12600,12802,"Lanzante",1,1,"129","28","0.628791278921938","40.6012946450045"
"1",13900,14102,"SNHT",1,0,"39","","18.1440595409991","NA"
