"index","initial_index","last_index","model","numMax","numMin","maxPositions","minPositions","angles_max","angles_min"
"1",2000,2202,"SNHT",4,2,"81, 85, 106, 115","89, 110","150.082032519994, 165.240281694201, 164.511512360711, 157.348692277146","170.043373612339, 161.540355707813"
"2",2000,2202,"Pettitt",1,0,"104","","53.130102354156","NA"
"3",2000,2202,"BuishandR",1,0,"106","","174.968600492042","NA"
"4",2000,2202,"BuishandU",1,0,"106","","174.968600492042","NA"
"5",2000,2202,"Lanzante",1,0,"104","","53.130102354156","NA"
"1",5300,5502,"SNHT",2,1,"77, 90","80","170.09135607097, 173.619595784774","166.589662350693"
"2",5300,5502,"Pettitt",1,0,"103","","54.4623222080256","NA"
"3",5300,5502,"BuishandR",1,0,"96","","179.334825321536","NA"
"4",5300,5502,"BuishandU",1,0,"96","","179.334825321536","NA"
"5",5300,5502,"Lanzante",1,0,"103","","54.4623222080256","NA"
"1",9500,9702,"SNHT",13,14,"93, 119, 122, 125, 134, 144, 149, 154, 159, 162, 183, 189, 193","112, 121, 124, 128, 142, 145, 148, 152, 160, 172, 180, 186, 190, 200","179.371186095895, 106.52073290703, 41.6572425354909, 38.8796914475986, 55.7287909242915, 98.4238229253764, 24.9275730721699, 40.0773933244782, 27.7768177418253, 74.5262778943152, 34.7652572446906, 41.1196095374338, 84.6063149796495","179.405432822001, 58.8863736436476, 38.216378721298, 42.4051763763728, 75.8287211962317, 120.245286970616, 73.4481302601082, 70.2002794648648, 28.7771647708197, 28.79957945751, 34.3585814940168, 55.5697711901991, 70.7101466287803, 175.706312427866"
"2",9500,9702,"Pettitt",9,9,"121, 124, 128, 142, 148, 152, 160, 172, 180","122, 125, 131, 149, 154, 159, 162, 183, 189","0.780393408895833, 0.683520154597318, 0.69030224632823, 1.33767846943519, 0.795196022344868, 2.45465709692215, 0.606451677394745, 0.587659323175586, 0.59374927394191","0.707761414445685, 0.688681704019217, 3.79373843296037, 0.591679013157659, 0.695807604287296, 0.603174730415958, 0.856890478728559, 0.604783121728417, 0.612940990143102"
"3",9500,9702,"BuishandR",11,12,"121, 124, 128, 142, 148, 152, 160, 180, 186, 190, 200","96, 122, 125, 134, 144, 149, 154, 159, 162, 183, 189, 192","86.223037843747, 70.2307652372494, 75.828809280946, 111.923115982649, 86.5563427533334, 110.707012843265, 60.6608017673567, 56.581557072276, 77.3833083582726, 103.490963923354, 170.881115356632","179.103024861442, 71.5636342872982, 71.1264146728425, 96.1447070959552, 133.190677400587, 47.3093969964539, 68.0253776352978, 58.1388860050846, 108.662497634614, 64.5738471695676, 65.104523774944, 169.819347303328"
"4",9500,9702,"BuishandU",11,12,"121, 124, 128, 142, 148, 152, 160, 180, 186, 190, 200","96, 122, 125, 134, 144, 149, 154, 159, 162, 183, 189, 192","86.223037843747, 70.2307652372494, 75.828809280946, 111.923115982649, 86.5563427533334, 110.707012843265, 60.6608017673567, 56.581557072276, 77.3833083582726, 103.490963923354, 170.881115356632","179.103024861442, 71.5636342872982, 71.1264146728425, 96.1447070959552, 133.190677400587, 47.3093969964539, 68.0253776352978, 58.1388860050846, 108.662497634614, 64.5738471695676, 65.104523774944, 169.819347303328"
"5",9500,9702,"Lanzante",9,9,"121, 124, 128, 142, 148, 152, 160, 172, 180","122, 125, 131, 149, 154, 159, 162, 183, 189","0.780393408895833, 0.683520154597318, 0.69030224632823, 1.33767846943519, 0.795196022344868, 2.45465709692215, 0.606451677394745, 0.587659323175586, 0.59374927394191","0.707761414445685, 0.688681704019217, 3.79373843296037, 0.591679013157659, 0.695807604287296, 0.603174730415958, 0.856890478728559, 0.604783121728417, 0.612940990143102"
"1",12000,12202,"SNHT",27,28,"38, 42, 49, 54, 61, 68, 74, 80, 89, 97, 102, 106, 115, 121, 125, 128, 132, 137, 143, 148, 154, 160, 167, 170, 182, 192, 197","39, 44, 51, 57, 63, 69, 78, 83, 86, 91, 95, 99, 104, 109, 119, 123, 126, 130, 140, 147, 156, 162, 165, 169, 175, 186, 195, 198","177.417896626075, 170.356616717899, 151.027371037174, 141.968732243231, 159.530747521173, 157.040225601076, 155.630716780101, 163.995368636228, 158.338597215315, 165.451019372905, 163.698563198324, 165.308851945375, 155.608370196214, 149.371142914375, 163.24601404323, 163.242024211266, 129.82472520198, 150.546920353773, 158.670645769529, 162.897394325885, 171.737647363722, 170.176655406052, 150.954748147103, 158.987364634652, 171.338670880913, 100.690341367942, 119.707968729656","176.416540736605, 153.145942492522, 144.89246479147, 168.145638189406, 172.442583536403, 159.545118897369, 169.961175358485, 156.987566095514, 179.710541742661, 162.309503447162, 161.615011299611, 168.987231133396, 172.099453389428, 171.460154913993, 158.601511886614, 137.892708838511, 161.120448022132, 162.907762536974, 175.963276241297, 165.402315769672, 178.515812125035, 173.072367163746, 142.879164547202, 156.56692113486, 172.786097589779, 165.981102624417, 125.822362146377, 142.887669987338"
"2",12000,12202,"Pettitt",27,25,"23, 42, 49, 54, 61, 68, 74, 80, 89, 92, 97, 102, 106, 115, 121, 125, 128, 132, 137, 143, 148, 154, 165, 169, 175, 195, 198","39, 44, 51, 57, 63, 69, 78, 83, 87, 91, 95, 99, 104, 109, 116, 119, 123, 126, 130, 141, 167, 170, 190, 197, 200","32.2756443145776, 1.57230379475936, 0.835547736633117, 0.704585061981987, 0.698824282410584, 0.862793712005413, 0.991472781404212, 1.35980568684312, 1.10782562512921, 1.88346314042315, 1.05863067952399, 0.896017560979999, 0.695166611550803, 1.45052474859617, 0.913912984551843, 1.47016029829916, 1.24600899579917, 0.798032376864114, 0.969704819884839, 1.15021057760981, 0.753880959194248, 0.900462628555601, 0.799082831288558, 1.0917884529905, 1.26244931754917, 0.732463452134283, 0.955570133623723","2.04606037733566, 1.16960539961383, 0.598448963146893, 3.87474719499224, 0.924345881382806, 0.892633318454443, 1.3796073163326, 0.752844914561535, 1.90531672060956, 0.610629480679904, 0.835263227094885, 1.0101372068203, 0.740060164052579, 0.759173041354245, 0.654122089923845, 1.16083087219178, 0.651165479245378, 1.14376964228975, 1.19457640583178, 1.96259750083846, 1.09112509232432, 1.23645162550028, 1.00848281469894, 0.840274142659155, 1.06069667520512"
"3",12000,12202,"BuishandR",27,25,"42, 49, 54, 61, 68, 74, 80, 89, 97, 102, 106, 115, 121, 125, 128, 132, 137, 143, 148, 154, 162, 165, 169, 175, 180, 195, 198","39, 44, 51, 57, 63, 78, 83, 86, 91, 95, 99, 104, 109, 119, 123, 126, 130, 140, 147, 160, 167, 170, 190, 197, 200","149.512787734676, 89.5657687534629, 69.5060947462128, 74.9226728790756, 92.2173216277603, 105.812096267501, 118.487416855691, 101.17553436027, 110.146459505792, 90.9364160453945, 71.6340071203791, 111.661512862099, 95.0612465482225, 127.39606368091, 124.283995501565, 76.2360786286171, 97.8331080903328, 113.115145658803, 81.9509770158191, 100.784202211676, 151.996597179207, 81.5688023117835, 114.831231106267, 119.148044936835, 127.933402000493, 74.1076939857994, 90.6628637797582","164.037700472023, 106.984083012241, 49.076184238337, 111.20930921018, 100.048029573009, 134.084775310634, 79.1581206133508, 178.060351115469, 54.1743796829065, 84.5907198538944, 107.425930072953, 79.2430485637537, 84.555626261473, 108.689695705796, 65.1306745545243, 118.350980753544, 119.185093865577, 161.641032413774, 89.7010062589797, 136.347703315094, 110.539787857435, 123.41724489311, 95.480661646392, 81.4432108383076, 91.7993726861259"
"4",12000,12202,"BuishandU",27,25,"42, 49, 54, 61, 68, 74, 80, 89, 97, 102, 106, 115, 121, 125, 128, 132, 137, 143, 148, 154, 162, 165, 169, 175, 180, 195, 198","39, 44, 51, 57, 63, 78, 83, 86, 91, 95, 99, 104, 109, 119, 123, 126, 130, 140, 147, 160, 167, 170, 190, 197, 200","149.512787734676, 89.5657687534629, 69.5060947462128, 74.9226728790756, 92.2173216277603, 105.812096267501, 118.487416855691, 101.17553436027, 110.146459505792, 90.9364160453945, 71.6340071203791, 111.661512862099, 95.0612465482225, 127.39606368091, 124.283995501565, 76.2360786286171, 97.8331080903328, 113.115145658803, 81.9509770158191, 100.784202211676, 151.996597179207, 81.5688023117835, 114.831231106267, 119.148044936835, 127.933402000493, 74.1076939857994, 90.6628637797582","164.037700472023, 106.984083012241, 49.076184238337, 111.20930921018, 100.048029573009, 134.084775310634, 79.1581206133508, 178.060351115469, 54.1743796829065, 84.5907198538944, 107.425930072953, 79.2430485637537, 84.555626261473, 108.689695705796, 65.1306745545243, 118.350980753544, 119.185093865577, 161.641032413774, 89.7010062589797, 136.347703315094, 110.539787857435, 123.41724489311, 95.480661646392, 81.4432108383076, 91.7993726861259"
