"index","initial_index","last_index","model","numMax","numMin","maxPositions","minPositions","angles_max","angles_min"
"1",1000,1202,"SNHT",1,0,"68","","173.739100593611","NA"
"2",1000,1202,"Pettitt",0,1,"","101","NA","71.565051177078"
"3",1000,1202,"BuishandR",0,1,"","80","NA","176.915219315113"
"4",1000,1202,"BuishandU",0,1,"","80","NA","176.915219315113"
"5",1000,1202,"Lanzante",0,1,"","101","NA","71.565051177078"
"1",5350,5552,"SNHT",9,9,"132, 137, 147, 151, 173, 180, 184, 187, 194","134, 138, 148, 152, 175, 182, 185, 190, 195","77.8271645828147, 74.1855587697099, 78.4208793944661, 71.223386467763, 49.1457620833588, 41.7887088242256, 56.9163356541849, 73.4931778720726, 61.6534964756141","82.2330344875164, 77.610553714378, 80.0872213757716, 75.5558034813189, 51.1713273809686, 58.6817248293393, 67.0007108927266, 87.5067402938368, 86.2586979864104"
"2",5350,5552,"Pettitt",10,9,"88, 134, 138, 148, 152, 175, 182, 185, 190, 195","132, 137, 147, 151, 173, 180, 184, 187, 194","54.4623222080256, 0.93930250836911, 0.880449606986986, 0.80035463739722, 0.763930287586646, 0.596841829628602, 0.644512181597008, 0.638081919436303, 0.649283906243113, 0.627376053148282","1.1166333550612, 0.913238764168085, 0.813020420002744, 0.784688122890714, 0.685582218789449, 0.600098364368108, 0.638081919436303, 0.652941589503683, 0.627376053148282"
"3",5350,5552,"BuishandR",9,9,"134, 138, 148, 152, 175, 182, 185, 190, 195","132, 137, 147, 151, 173, 180, 184, 187, 194","96.4339459459516, 87.6558627254023, 96.2103406198612, 87.4010311850633, 86.5534691104726, 86.7274687344415, 86.6941934884442, 95.6144416116625, 86.6579238332864","96.5302200689263, 87.7135854817068, 96.2439208880457, 87.4777701659976, 95.9192594484518, 86.6015361152478, 86.6941934884442, 95.6187769751691, 86.6579238332864"
"4",5350,5552,"BuishandU",9,9,"134, 138, 148, 152, 175, 182, 185, 190, 195","132, 137, 147, 151, 173, 180, 184, 187, 194","96.4339459459516, 87.6558627254023, 96.2103406198612, 87.4010311850633, 86.5534691104726, 86.7274687344415, 86.6941934884442, 95.6144416116625, 86.6579238332864","96.5302200689263, 87.7135854817068, 96.2439208880457, 87.4777701659976, 95.9192594484518, 86.6015361152478, 86.6941934884442, 95.6187769751691, 86.6579238332864"
"5",5350,5552,"Lanzante",10,9,"88, 134, 138, 148, 152, 175, 182, 185, 190, 195","132, 137, 147, 151, 173, 180, 184, 187, 194","54.4623222080256, 0.93930250836911, 0.880449606986986, 0.80035463739722, 0.763930287586646, 0.596841829628602, 0.644512181597008, 0.638081919436303, 0.649283906243113, 0.627376053148282","1.1166333550612, 0.913238764168085, 0.813020420002744, 0.784688122890714, 0.685582218789449, 0.600098364368108, 0.638081919436303, 0.652941589503683, 0.627376053148282"
"1",10250,10452,"SNHT",16,16,"62, 66, 69, 72, 80, 88, 94, 101, 109, 112, 116, 151, 170, 182, 189, 198","63, 67, 70, 76, 81, 90, 95, 100, 106, 111, 115, 128, 158, 173, 184, 196","90.3793104215585, 105.476051907409, 108.281485493042, 111.188188099633, 145.726355804654, 129.644573920052, 163.493991275477, 173.784257228681, 178.781045998051, 172.365598130006, 155.301513902827, 133.661924894831, 150.490027241136, 142.929941484107, 162.079975414658, 147.133058742649","91.7686319387651, 106.311985299514, 109.092106037779, 126.177181287779, 146.964201831352, 152.236744463012, 163.071209390952, 175.066105002802, 179.665150072125, 173.655079230846, 157.883598956481, 179.647565725195, 179.629194502973, 167.573685221796, 179.271805173746, 178.061972374097"
"2",10250,10452,"Pettitt",9,8,"28, 63, 70, 76, 90, 96, 101, 112, 116","62, 66, 72, 88, 94, 100, 109, 115","53.130102354156, 0.631524063916231, 0.680430887168882, 0.611153532691787, 0.62163877364992, 0.755706412811833, 0.794401232007459, 0.854640266110579, 0.803878735815601","0.645655717080643, 0.707588960473004, 0.681749187162126, 0.599860084972903, 0.685097649265089, 0.774958063415056, 0.805137120954299, 0.803878735815601"
"3",10250,10452,"BuishandR",15,15,"63, 67, 70, 76, 81, 90, 96, 101, 112, 116, 157, 173, 183, 189, 198","62, 66, 69, 72, 80, 88, 94, 100, 109, 115, 151, 170, 182, 188, 197","85.402926897158, 97.174018349756, 97.0844995394212, 85.372087492374, 97.0612863649216, 85.393461105613, 97.1282113421553, 97.1898713142597, 97.2127948669737, 85.5607965498725, 98.1916184244687, 98.3893152345623, 87.5677415547345, 87.579931589994, 98.5151279177902","85.4348979039602, 97.145232610773, 97.1772174568137, 97.1395591402363, 97.1187718129835, 85.3011427418949, 85.464116990021, 97.1578463965645, 97.1807423679202, 85.5607965498726, 97.9540901040689, 98.3119632790509, 87.5411671387675, 87.606526175752, 98.4818106659989"
"4",10250,10452,"BuishandU",15,15,"63, 67, 70, 76, 81, 90, 96, 101, 112, 116, 157, 173, 183, 189, 198","62, 66, 69, 72, 80, 88, 94, 100, 109, 115, 151, 170, 182, 188, 197","85.402926897158, 97.174018349756, 97.0844995394212, 85.372087492374, 97.0612863649216, 85.393461105613, 97.1282113421553, 97.1898713142597, 97.2127948669737, 85.5607965498725, 98.1916184244687, 98.3893152345623, 87.5677415547345, 87.579931589994, 98.5151279177902","85.4348979039602, 97.145232610773, 97.1772174568137, 97.1395591402363, 97.1187718129835, 85.3011427418949, 85.464116990021, 97.1578463965645, 97.1807423679202, 85.5607965498726, 97.9540901040689, 98.3119632790509, 87.5411671387675, 87.606526175752, 98.4818106659989"
"5",10250,10452,"Lanzante",9,8,"28, 63, 70, 76, 90, 96, 101, 112, 116","62, 66, 72, 88, 94, 100, 109, 115","53.130102354156, 0.631524063916231, 0.680430887168882, 0.611153532691787, 0.62163877364992, 0.755706412811833, 0.794401232007459, 0.854640266110579, 0.803878735815601","0.645655717080643, 0.707588960473004, 0.681749187162126, 0.599860084972903, 0.685097649265089, 0.774958063415056, 0.805137120954299, 0.803878735815601"
"1",12600,12802,"SNHT",12,11,"129, 132, 141, 145, 149, 155, 162, 167, 173, 183, 191, 198","130, 133, 142, 147, 150, 157, 163, 170, 176, 186, 194","70.9250736464862, 73.4621019955824, 70.6412818882846, 72.2914986158589, 78.3472621372024, 88.0079334888946, 92.1980688793811, 76.7506990645721, 115.150384061164, 100.162421367472, 151.644904294913, 131.879864317219","73.4792357363417, 75.633683159151, 73.4716322828267, 88.1493233437378, 81.4431769384013, 85.2104295062519, 93.638077894325, 117.511348943314, 115.432139182862, 178.690974819933, 177.785283008216"
"2",12600,12802,"Pettitt",10,10,"51, 55, 89, 147, 150, 157, 163, 170, 176, 185","19, 53, 83, 92, 149, 155, 162, 167, 173, 183","9.72757855140159, 8.86072093783019, 9.72757855140159, 1.12126425139857, 0.764963473636698, 0.732463452134283, 0.736595978980091, 0.718996314586832, 0.670665531362374, 0.647920051310479","8.59381706328762, 4.07136291688562, 9.72757855140159, 8.86072093783019, 0.961536424130173, 0.770010536607685, 0.742359851956309, 0.688681704019217, 0.713087566062143, 0.648417150132616"
"3",12600,12802,"BuishandR",12,12,"130, 133, 142, 147, 150, 157, 163, 170, 176, 185, 192, 198","129, 132, 141, 145, 149, 155, 162, 167, 173, 183, 191, 197","89.9077610924906, 89.4110828558167, 89.4875235050169, 98.7630087307745, 88.1093571884217, 87.0867793036242, 97.3866440544967, 97.0629168343175, 85.1023493518464, 84.3472509108947, 83.9437097382814, 83.7565575784441","89.7293031402849, 89.7400241258058, 89.5546119585285, 89.255099151835, 88.6179461838971, 98.272846081248, 97.675628428817, 86.2249263351604, 97.1761515602711, 84.6398398602684, 84.1239624454055, 83.8416309497945"
"4",12600,12802,"BuishandU",12,12,"130, 133, 142, 147, 150, 157, 163, 170, 176, 185, 192, 198","129, 132, 141, 145, 149, 155, 162, 167, 173, 183, 191, 197","89.9077610924906, 89.4110828558167, 89.4875235050169, 98.7630087307745, 88.1093571884217, 87.0867793036242, 97.3866440544967, 97.0629168343175, 85.1023493518464, 84.3472509108947, 83.9437097382814, 83.7565575784441","89.7293031402849, 89.7400241258058, 89.5546119585285, 89.255099151835, 88.6179461838971, 98.272846081248, 97.675628428817, 86.2249263351604, 97.1761515602711, 84.6398398602684, 84.1239624454055, 83.8416309497945"
"5",12600,12802,"Lanzante",10,10,"51, 55, 89, 147, 150, 157, 163, 170, 176, 185","19, 53, 83, 92, 149, 155, 162, 167, 173, 183","9.72757855140159, 8.86072093783019, 9.72757855140159, 1.12126425139857, 0.764963473636698, 0.732463452134283, 0.736595978980091, 0.718996314586832, 0.670665531362374, 0.647920051310479","8.59381706328762, 4.07136291688562, 9.72757855140159, 8.86072093783019, 0.961536424130173, 0.770010536607685, 0.742359851956309, 0.688681704019217, 0.713087566062143, 0.648417150132616"
