"index","initial_index","last_index","model","numMax","numMin","maxPositions","minPositions","angles_max","angles_min"
"1",140000,140144,"SNHT",10,10,"5, 12, 22, 32, 43, 92, 102, 113, 126, 136","3, 6, 18, 29, 35, 47, 95, 110, 121, 133","172.918862841371, 154.610577896, 166.688403581855, 177.799015747521, 163.162709320062, 88.9178460188923, 86.3637535687547, 97.6039530138945, 81.1932859285422, 60.1062974949955","176.641218976082, 173.742476699305, 174.727298503377, 179.594487010208, 179.648544207913, 168.841294589701, 88.2126967660908, 89.8788824717527, 106.864787965426, 60.4974347430603"
"2",140000,140144,"Pettitt",7,8,"12, 22, 32, 47, 95, 110, 121","5, 18, 30, 43, 92, 102, 113, 124","2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817","2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817"
"3",140000,140144,"BuishandR",7,8,"12, 22, 32, 47, 95, 110, 121","5, 18, 30, 43, 92, 102, 113, 124","135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457","135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457"
"4",140000,140144,"BuishandU",7,8,"12, 22, 32, 47, 95, 110, 121","5, 18, 30, 43, 92, 102, 113, 124","135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457","135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457, 135.466104587457"
"5",140000,140144,"Lanzante",7,8,"12, 22, 32, 47, 95, 110, 121","5, 18, 30, 43, 92, 102, 113, 124","2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817","2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817, 2.97619379292817"
"1",162000,162144,"SNHT",6,5,"9, 33, 54, 122, 134, 142","12, 48, 113, 128, 140","132.185449116584, 88.782567348758, 131.96069369577, 171.678414123007, 161.079011500077, 176.381748956171","110.068905195108, 125.689775953885, 176.472576736299, 176.227205796633, 174.179154046732"
"2",162000,162144,"Pettitt",3,3,"43, 56, 130","46, 121, 133","37.8749836510982, 30.9637565320735, 30.9637565320735","37.8749836510982, 9.59313426273033, 7.58037293812362"
"3",162000,162144,"BuishandR",4,3,"34, 42, 55, 129","47, 121, 133","160.734678553041, 166.972062949531, 166.972062949531, 173.44614224334","166.972062949531, 160.760915580704, 154.907109056404"
"4",162000,162144,"BuishandU",4,3,"34, 42, 55, 129","47, 121, 133","160.734678553041, 166.972062949531, 166.972062949531, 173.44614224334","166.972062949531, 160.760915580704, 154.907109056404"
"5",162000,162144,"Lanzante",3,3,"43, 56, 130","46, 121, 133","37.8749836510982, 30.9637565320735, 30.9637565320735","37.8749836510982, 9.59313426273033, 7.58037293812362"
"1",164664,164808,"SNHT",2,3,"48, 121","49, 71, 122","113.072738607465, 94.9839024604063","104.567245691552, 179.906835163015, 105.455154743894"
"2",164664,164808,"Pettitt",8,8,"5, 16, 48, 54, 64, 75, 121, 124","11, 20, 50, 57, 70, 119, 122, 129","8.00120318013816, 15.1729153455253, 0.807009489101176, 15.1729153455253, 8.00120318013816, 3.53597430940687, 1.27439768305459, 6.77150482776386","11.583418604687, 8.00120318013816, 0.861065095002175, 11.583418604687, 10.7076864747939, 4.41170643929999, 1.65171050007737, 11.583418604687"
"3",164664,164808,"BuishandR",2,2,"48, 121","50, 122","89.2738824797328, 89.8463616536682","89.5749351158759, 89.9067391422121"
"4",164664,164808,"BuishandU",2,2,"48, 121","50, 122","89.2738824797328, 89.8463616536682","89.5749351158759, 89.9067391422121"
"5",164664,164808,"Lanzante",8,8,"5, 16, 48, 54, 64, 75, 121, 124","11, 20, 50, 57, 70, 119, 122, 129","8.00120318013816, 15.1729153455253, 0.807009489101176, 15.1729153455253, 8.00120318013816, 3.53597430940687, 1.27439768305459, 6.77150482776386","11.583418604687, 8.00120318013816, 0.861065095002175, 11.583418604687, 10.7076864747939, 4.41170643929999, 1.65171050007737, 11.583418604687"
