"index","initial_index","last_index","model","numMax","numMin","maxPositions","minPositions","angles_max","angles_min"
"1",1055,1205,"SNHT",3,1,"68, 91, 112","88","92.0223649185012, 120.988184463864, 87.7537726267765","91.1726405398453"
"2",1055,1205,"Pettitt",4,3,"69, 73, 80, 91","71, 77, 88","19.6538240580533, 21.4477363271053, 19.6538240580533, 19.6538240580533","19.6538240580533, 21.4477363271053, 5.03295006942164"
"3",1055,1205,"BuishandR",1,0,"68","","147.785508756215","NA"
"4",1055,1205,"BuishandU",1,0,"68","","147.785508756215","NA"
"5",1055,1205,"Lanzante",4,3,"69, 73, 80, 91","71, 77, 88","19.6538240580533, 21.4477363271053, 19.6538240580533, 19.6538240580533","19.6538240580533, 21.4477363271053, 5.03295006942164"
"1",2180,2330,"SNHT",2,1,"23, 46","30","148.384793038584, 84.5725805039867","167.059220231274"
"2",2180,2330,"Pettitt",3,2,"21, 76, 107","48, 81","11.8307888485222, 12.2647737278924, 6.17889657749714","2.12109639666144, 1.96755516972917"
"3",2180,2330,"BuishandR",1,1,"23","46","147.191173331575","135.716104759658"
"4",2180,2330,"BuishandU",1,1,"23","46","147.191173331575","135.716104759658"
"5",2180,2330,"Lanzante",3,2,"21, 76, 107","48, 81","11.8307888485222, 12.2647737278924, 6.17889657749714","2.12109639666144, 1.96755516972917"
"1",2910,3060,"SNHT",1,0,"29","","62.8726745125414","NA"
"2",2910,3060,"Pettitt",2,2,"97, 112","32, 101","3.0664855011259, 20.5560452195835","1.3641207863453, 1.52129736644986"
"3",2910,3060,"BuishandR",0,1,"","30","NA","152.016303468297"
"4",2910,3060,"BuishandU",0,1,"","30","NA","152.016303468297"
"5",2910,3060,"Lanzante",2,2,"97, 112","32, 101","3.0664855011259, 20.5560452195835","1.3641207863453, 1.52129736644986"
"1",3130,3280,"SNHT",6,4,"34, 40, 88, 92, 96, 99","38, 44, 89, 95","88.9298487496376, 146.376325572789, 111.920501078667, 109.654029814445, 109.337961276476, 117.094597922087","121.662122260015, 116.520017773156, 108.267030890389, 106.068421548485"
"2",3130,3280,"Pettitt",1,2,"83","68, 82","4.66841333600868","4.66841333600868, 4.66841333600868"
"3",3130,3280,"BuishandR",1,0,"88","","157.156225115372","NA"
"4",3130,3280,"BuishandU",1,0,"88","","157.156225115372","NA"
"5",3130,3280,"Lanzante",1,2,"83","68, 82","4.66841333600868","4.66841333600868, 4.66841333600868"
"1",4000,4150,"SNHT",2,1,"34, 45","39","171.298873163828, 158.129860061237","99.8833878779474"
"2",4000,4150,"Pettitt",3,2,"34, 73, 99","46, 79","45.440728072761, 46.2453642667683, 47.7263109939063","45.4620527214308, 5.32887319640608"
"3",4000,4150,"BuishandR",1,1,"35","45","145.355707240267","163.352740929284"
"4",4000,4150,"BuishandU",1,1,"35","45","145.355707240267","163.352740929284"
"5",4000,4150,"Lanzante",3,2,"34, 73, 99","46, 79","45.440728072761, 46.2453642667683, 47.7263109939063","45.4620527214308, 5.32887319640608"
"1",5000,5150,"SNHT",4,4,"69, 73, 85, 90","5, 72, 77, 87","116.919851137806, 121.859347086194, 113.551704806323, 141.757895435557","177.446994980239, 117.831721464298, 88.0672588395971, 109.109627858785"
"2",5000,5150,"Pettitt",3,3,"69, 73, 78","5, 72, 77","46.4688007143858, 46.4688007143858, 46.4688007143858","48.0127875041833, 46.4688007143858, 3.75941075702437"
"3",5000,5150,"BuishandR",3,3,"69, 73, 78","5, 72, 77","156.060524589816, 156.060524589816, 156.060524589816","167.492217866721, 156.060524589816, 143.568505042814"
"4",5000,5150,"BuishandU",3,3,"69, 73, 78","5, 72, 77","156.060524589816, 156.060524589816, 156.060524589816","167.492217866721, 156.060524589816, 143.568505042814"
"5",5000,5150,"Lanzante",3,3,"69, 73, 78","5, 72, 77","46.4688007143858, 46.4688007143858, 46.4688007143858","48.0127875041833, 46.4688007143858, 3.75941075702437"
"1",10180,10330,"SNHT",5,4,"18, 71, 94, 114, 132","55, 93, 99, 126","119.132317363394, 178.315634852727, 179.539114969725, 157.071267794497, 160.443644033652","179.354514824352, 179.537371783509, 178.816178634511, 173.376750902491"
"2",10180,10330,"Pettitt",5,4,"20, 81, 96, 114, 132","54, 91, 99, 127","1.76950643199359, 48.0127875041833, 4.60392777537791, 45.7538483330708, 9.11786275379578","4.60392777537791, 53.130102354156, 45.9710219310792, 48.0127875041833"
"3",10180,10330,"BuishandR",4,3,"20, 71, 94, 114","55, 93, 99","143.919943494771, 173.328672359553, 175.549844687096, 155.978474313712","171.133693500257, 175.549844687096, 164.510964837655"
"4",10180,10330,"BuishandU",4,3,"20, 71, 94, 114","55, 93, 99","143.919943494771, 173.328672359553, 175.549844687096, 155.978474313712","171.133693500257, 175.549844687096, 164.510964837655"
"5",10180,10330,"Lanzante",5,4,"20, 81, 96, 114, 132","54, 91, 99, 127","1.76950643199359, 48.0127875041833, 4.60392777537791, 45.7538483330708, 9.11786275379578","4.60392777537791, 53.130102354156, 45.9710219310792, 48.0127875041833"
