"initialIndex","finalIndex","cv","shapiro","ad","normality","bestDistFit","runs","ljungBox","IQR"
"1","12450","13743","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"2","12452","13744","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"3","12454","13745","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"4","12456","13746","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"5","12458","13747","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"6","12460","13748","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"7","12462","13749","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"8","12464","13750","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"9","12466","13751","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"10","12468","13752","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"11","12470","13753","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"12","12472","13754","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"13","12474","13755","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"14","12476","13756","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"15","12478","13757","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"16","12480","13758","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"17","12482","13759","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"18","12484","13760","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"19","12486","13761","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"20","12488","13762","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"21","12490","13763","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"22","12492","13764","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"23","12494","13765","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"24","12496","13766","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"25","12498","13767","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"26","12500","13768","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"27","12502","13769","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"28","12504","13770","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"29","12506","13771","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"30","12508","13772","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"31","12510","13773","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"32","12512","13774","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"33","12514","13775","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"34","12516","13776","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"35","12518","13777","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"36","12520","13778","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"37","12522","13779","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"38","12524","13780","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"39","12526","13781","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"40","12528","13782","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"41","12530","13783","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"42","12532","13784","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"43","12534","13785","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"44","12536","13786","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"45","12538","13787","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"46","12540","13788","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"47","12542","13789","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"48","12544","13790","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"49","12546","13791","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"50","12548","13792","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
