"initialIndex","finalIndex","cv","shapiro","ad","normality","bestDistFit","runs","ljungBox","IQR"
"1","8431","8540","0.00795138098583038","3.67168064477078e-06","1.81026457924032e-09","FALSE","lnorm","4.28654663477094e-17","0","7.75"
"2","8433","8541","0.00782693963325952","5.22477598843282e-06","3.46040616867346e-09","FALSE","lnorm","7.91026213381901e-17","0","6"
"3","8435","8542","0.00764804749968488","6.68177792361847e-06","5.51050555797907e-09","FALSE","lnorm","1.50946827418252e-16","0","4.25"
"4","8437","8543","0.00752685177950987","1.08011016615142e-05","1.81399460023995e-08","FALSE","lnorm","2.62829466030889e-16","0","4"
"5","8439","8544","0.00739469537687254","1.61576514066709e-05","4.50856316040409e-08","FALSE","lnorm","5.28363636517972e-16","0","4"
"6","8441","8545","0.00716131496384175","1.89399925353229e-05","1.16627237097424e-07","FALSE","lnorm","1.10835337276898e-15","0","4"
"7","8443","8546","0.00697791753313296","3.04940054795973e-05","3.1522887744125e-07","FALSE","lnorm","2.43831870599857e-15","0","4"
"8","8445","8547","0.00676618849312232","5.10256859713797e-05","8.78278097025119e-07","FALSE","gamma","5.65997883445057e-15","0","4"
"9","8447","8548","0.00647626696516613","9.49298082481969e-05","2.57498381079551e-06","FALSE","lnorm","5.90690670996061e-20","0","4"
"10","8449","8549","0.00623359102561055","0.000104800527847118","5.98476931966897e-06","FALSE","lnorm","9.36582201896401e-20","0","4"
"11","8451","8550","0.00600645012780966","0.000181161512570027","1.47215596365264e-05","FALSE","lnorm","1.50573373085941e-19","0","4"
"12","8453","8551","0.00574363724080561","0.00033373277539236","3.29195583003054e-05","FALSE","lnorm","2.45588984354162e-19","0","4"
"13","8455","8552","0.00555702234437291","0.000931586251421609","0.000103951538217016","FALSE","lnorm","4.06674726408169e-19","0","3.75"
"14","8457","8553","0.00527285252806205","0.00194085455617481","0.000149700487229199","FALSE","lnorm","6.84340282965719e-19","1.11022302462516e-16","2"
"15","8459","8554","0.0049583036100905","0.00136891813703117","5.34528192762574e-05","FALSE","gamma","3.99983159585645e-17","0","3"
"16","2787","2896","0.13219713723443","6.92059823339599e-17","3.7e-24","FALSE","norm","1.03791639727354e-22","0","84"
"17","2789","2897","0.132851145949513","1.23481855664797e-16","3.7e-24","FALSE","gamma","1.43564200943526e-22","0","105"
"18","2791","2898","0.133746477104473","2.43299657101061e-16","3.7e-24","FALSE","weibull","2.0155301069218e-22","0","115.25"
"19","2793","2899","0.135283690341311","5.83322397274604e-16","3.7e-24","FALSE","norm","2.86864271503007e-22","0","127"
"20","2795","2900","0.138156960627255","1.25409814565829e-15","3.7e-24","FALSE","norm","4.17633204651269e-23","0","129.75"
"21","2797","2901","0.141794231502368","1.8065235167545e-15","3.7e-24","FALSE","norm","7.23544322419219e-23","0","130"
"22","2799","2902","0.145544100630865","2.23773358988603e-15","3.7e-24","FALSE","norm","1.25816359183036e-22","0","129.25"
"23","2801","2903","0.149127794610555","2.53227005445637e-15","3.7e-24","FALSE","norm","2.19671656145612e-22","0","127"
"24","2803","2904","0.152594170359758","2.71795327567829e-15","3.7e-24","FALSE","norm","3.85267220887411e-22","0","121.75"
"25","2805","2905","0.156302371592737","3.32502804433689e-15","3.7e-24","FALSE","norm","5.46102199520066e-23","0","125"
"26","2807","2906","0.160060104136074","7.30359352483242e-15","3.7e-24","FALSE","weibull","8.72540715747166e-23","0","129.25"
"27","2809","2907","0.163556103096855","1.75583280335524e-14","3.7e-24","FALSE","weibull","1.39873601797757e-22","0","130.5"
"28","2811","2908","0.166879012002472","4.17649624506163e-14","3.7e-24","FALSE","weibull","2.24911091062734e-22","0","133.25"
"29","2813","2909","0.170069703280509","9.7935294061932e-14","3.7e-24","FALSE","weibull","3.62673472811318e-22","0","142"
"30","2815","2910","0.173171054846831","2.29112745182219e-13","3.7e-24","FALSE","weibull","5.97272846875177e-22","0","170.75"
"31","1248","1357","0.00255029810162187","0.000446949048635542","0.000381071980942389","FALSE","norm","5.14389252727928e-20","0","6"
"32","1250","1358","0.00255450935652802","0.000956474563292505","0.000629078599685337","FALSE","norm","7.69407090717381e-20","0","6"
"33","1252","1359","0.00251877537695188","0.00027952835851273","0.000286152751645182","FALSE","norm","1.16990433350078e-19","0","5.25"
"34","1254","1360","0.00252158343896217","0.000398724760459093","0.000520482355810269","FALSE","norm","1.80875017207756e-19","0","5.5"
"35","1256","1361","0.00253599600966204","0.0014591403901722","0.00129102791777087","FALSE","norm","2.84451654994213e-19","0","6"
"36","1258","1362","0.00254442357632047","0.00294827570185621","0.00248911395339881","FALSE","norm","4.55278861943443e-19","0","6"
"37","1260","1363","0.00255821805050551","0.00546032894074939","0.00506502307214406","FALSE","norm","2.09850172503399e-20","0","6"
"38","1262","1364","0.00256276879649981","0.00797495523540086","0.00765789226442325","FALSE","norm","3.36332736398536e-20","0","6"
"39","1264","1365","0.00254041387959291","0.00737875741752569","0.00623568663401313","FALSE","norm","5.46387622025837e-20","0","5.75"
"40","1266","1366","0.00252259594869026","0.00579133098274053","0.00496541620719383","FALSE","norm","9.00279250514485e-20","0","5"
"41","1268","1367","0.00252215302693711","0.00650561908984849","0.00560089058309807","FALSE","gamma","1.50573373085941e-19","0","5"
"42","1270","1368","0.00250102009997831","0.00274430863745751","0.00351597595851089","FALSE","norm","2.55890324165239e-19","0","4"
"43","1272","1369","0.00251001298926058","0.00300689054349655","0.00431907925848556","FALSE","norm","4.82117139126688e-19","0","4"
