"initialIndex","finalIndex","cv","shapiro","ad","normality","bestDistFit","runs","ljungBox","IQR"
"1","6070","6285","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"2","6072","6286","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"3","6074","6287","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"4","6076","6288","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"5","6078","6289","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"6","6080","6290","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"7","6082","6291","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"8","6084","6292","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"9","6086","6293","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"10","6088","6294","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"11","6090","6295","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"12","6092","6296","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"13","6094","6297","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"14","6096","6298","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"15","6098","6299","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"16","15124","15339","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"17","15126","15340","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"18","15128","15341","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"19","15130","15342","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"20","15132","15343","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"21","15134","15344","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"22","15136","15345","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"23","15138","15346","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"24","15140","15347","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"25","15142","15348","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"26","15144","15349","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"27","15146","15350","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"28","15148","15351","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"29","15150","15352","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"30","15152","15353","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"31","8604","8819","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"32","8606","8820","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"33","8608","8821","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"34","8610","8822","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"35","8612","8823","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"36","8614","8824","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"37","8616","8825","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"38","8618","8826","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"39","8620","8827","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"40","8622","8828","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"41","8624","8829","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"42","8626","8830","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"43","8628","8831","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"44","8630","8832","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"45","8632","8833","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"46","10032","10247","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"47","10034","10248","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"48","10036","10249","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"49","10038","10250","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"50","10040","10251","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"51","10042","10252","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"52","10044","10253","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"53","10046","10254","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"54","10048","10255","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"55","10050","10256","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"56","10052","10257","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"57","10054","10258","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"58","10056","10259","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"59","10058","10260","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"60","10060","10261","0","NaN","NaN","FALSE","one-point","NaN","NaN","0"
"61","20321","20536","0.325541804668802","1.12941077269429e-26","3.7e-24","FALSE","unif","1.7138315301826e-47","0","1"
"62","20323","20537","0.334529030395414","1.85396428359419e-26","3.7e-24","FALSE","unif","2.52197316060392e-47","0","1"
"63","20325","20538","0.343455896149095","3.02955157313491e-26","3.7e-24","FALSE","unif","3.74790194974316e-47","0","1"
"64","20327","20539","0.352332205952689","4.92884966686394e-26","3.7e-24","FALSE","unif","5.61825123657645e-47","0","1"
"65","20329","20540","0.361166985275822","7.98467153513591e-26","3.7e-24","FALSE","unif","8.48687130269852e-47","0","1"
"66","20331","20541","0.369968596377245","1.28812765286184e-25","3.7e-24","FALSE","unif","1.29080310897897e-46","0","1"
"67","20333","20542","0.378744835001982","2.06961673570762e-25","3.7e-24","FALSE","unif","1.97525574609632e-46","0","1"
"68","20335","20543","0.387503012126211","3.31193787297109e-25","3.7e-24","FALSE","unif","3.0392482790312e-46","0","1"
