"","initialIndex","finalIndex","shapiro","ad","normality","correlation","cortext","kendall","spearman","pearson"
"1","9220","9817","2.89624454075876e-18","7.3843378255257e-22","FALSE","FALSE","NoCorrelated","0.17972246965037","0.261478440942576","NaN"
"2","9222","9818","2.12338182800529e-18","2.55103047037798e-22","FALSE","FALSE","NoCorrelated","0.175677042932785","0.255620428916146","NaN"
"3","9224","9819","2.15111427325247e-18","2.38890763125828e-22","FALSE","FALSE","NoCorrelated","0.171981275731769","0.250277896730848","NaN"
"4","9226","9820","1.53918995091148e-18","1.28825912546883e-22","FALSE","FALSE","NoCorrelated","0.167880485527544","0.244400579023556","NaN"
"5","9228","9821","1.33063610776179e-18","7.88835732443049e-23","FALSE","FALSE","NoCorrelated","0.1651421465924","0.240355887871015","NaN"
"6","9230","9822","1.07746506268141e-18","3.77685751117379e-23","FALSE","FALSE","NoCorrelated","0.161945672485301","0.235720485931279","NaN"
"7","9232","9823","7.41059975197339e-19","3.50311104071024e-23","FALSE","FALSE","NoCorrelated","0.159201079251841","0.231752227998622","NaN"
"8","9234","9824","6.70877941513006e-19","2.2942506935009e-23","FALSE","FALSE","NoCorrelated","0.162648771114744","0.236461838247092","NaN"
"9","9236","9825","8.30731844139506e-19","3.38526104665727e-23","FALSE","FALSE","NoCorrelated","0.162418347673448","0.236031713362666","NaN"
"10","9238","9826","6.78771304385313e-19","1.89494883365262e-23","FALSE","FALSE","NoCorrelated","0.163727290576672","0.237850797422362","NaN"
"11","9240","9827","7.50684754820694e-19","2.54882414884479e-23","FALSE","FALSE","NoCorrelated","0.167205553430912","0.242466697128521","NaN"
"12","9242","9828","9.12791736266032e-19","4.95324536323922e-23","FALSE","FALSE","NoCorrelated","0.167944834322726","0.243532795202027","NaN"
"13","9244","9829","7.49979529546926e-19","3.04265518115969e-23","FALSE","FALSE","NoCorrelated","0.168752370117558","0.244485929421769","NaN"
"14","9246","9830","9.37373786143698e-19","8.11238882391111e-23","FALSE","FALSE","NoCorrelated","0.170741131015104","0.247480192910087","NaN"
"15","9248","9831","9.04427155265196e-19","5.9880447226144e-23","FALSE","FALSE","NoCorrelated","0.170868676425668","0.247461593287388","NaN"
"16","9250","9832","1.02061556939597e-18","4.75080037128238e-23","FALSE","FALSE","NoCorrelated","0.168974318167082","0.244691541614879","NaN"
"17","9252","9833","1.1454299200173e-18","4.3511295383751e-23","FALSE","FALSE","NoCorrelated","0.170064647396656","0.246279179980138","NaN"
"18","9254","9834","1.06494651331018e-18","2.88560831989745e-23","FALSE","FALSE","NoCorrelated","0.17324470294973","0.250525008979088","NaN"
"19","9256","9835","1.21836692058582e-18","3.58204402028071e-23","FALSE","FALSE","NoCorrelated","0.175058066821512","0.253128043453325","NaN"
"20","9258","9836","1.24815634896148e-18","3.03668323513136e-23","FALSE","FALSE","NoCorrelated","0.178932773962984","0.258546997186456","NaN"
"21","9260","9837","1.02789315904422e-18","3.3045785480972e-23","FALSE","FALSE","NoCorrelated","0.181579941590256","0.26204041850363","NaN"
"22","9262","9838","1.17738234689056e-18","5.36306831597683e-23","FALSE","FALSE","NoCorrelated","0.181963701136145","0.262750020489387","NaN"
"23","9264","9839","1.28744208952292e-18","4.98177219778257e-23","FALSE","FALSE","NoCorrelated","0.189565217391304","0.273514806721423","NaN"
"24","9266","9840","9.86027076577683e-19","4.16184365125049e-23","FALSE","FALSE","NoCorrelated","0.193504014543251","0.278766537898298","NaN"
"25","9268","9841","1.34484471331856e-18","1.45020677370949e-22","FALSE","FALSE","NoCorrelated","0.196076642890587","0.282387072877265","NaN"
"26","9270","9842","1.18190067306759e-18","8.63717436175935e-23","FALSE","FALSE","NoCorrelated","0.199990236639451","0.287751005220039","NaN"
"27","9272","9843","1.10688726147567e-18","3.93291332434118e-23","FALSE","FALSE","NoCorrelated","0.201817447001335","0.290331650542908","NaN"
"28","9274","9844","8.37286858202184e-19","3.71180436170432e-23","FALSE","FALSE","NoCorrelated","0.198709558484653","0.286111768220718","NaN"
"29","9276","9845","8.6931726827531e-19","3.09319736494661e-23","FALSE","FALSE","NoCorrelated","0.19712638362162","0.283683074950742","NaN"
"30","9278","9846","1.0358937558727e-18","4.2159817222884e-23","FALSE","FALSE","NoCorrelated","0.197863808510112","0.284426659857396","NaN"
"31","9280","9847","9.9366763267009e-19","2.39662422778672e-23","FALSE","FALSE","NoCorrelated","0.198238815609708","0.284615523643717","NaN"
"32","9282","9848","1.35955135119761e-18","4.00083082044458e-23","FALSE","FALSE","NoCorrelated","0.204317560030163","0.292998469813779","NaN"
