"";"initialIndex";"finalIndex";"shapiro";"ad";"normality";"trend";"outliers";"snht";"grubbs";"pettitt";"lanzante";"buishandU";"buishandRange"
"1";"685";"1283";"1,13491453187331e-08";"1,42211809146725e-14";"FALSE";"none";"TRUE";"0";"0,520899145361835";"9,91362113594708e-22";"5,81999955261656e-27";"NaN";"NaN"
"2";"687";"1284";"8,68553301394894e-09";"7,88299415435915e-15";"FALSE";"none";"TRUE";"0";"0,523801546054282";"4,45592782796867e-21";"2,57932046518021e-26";"NaN";"NaN"
"3";"689";"1285";"7,23946927777456e-09";"5,35281259471692e-15";"FALSE";"none";"TRUE";"0";"0,523270053235122";"2,07268872023772e-20";"1,20417563442397e-25";"NaN";"NaN"
"4";"691";"1286";"5,88384573573314e-09";"3,42392163293607e-15";"FALSE";"none";"TRUE";"0";"0,522899489079053";"8,89661798977312e-20";"5,16253625331967e-25";"NaN";"NaN"
"5";"693";"1287";"7,32542076898687e-09";"6,16889793866892e-15";"FALSE";"none";"TRUE";"0";"0,50529937525112";"3,18928184331211e-19";"1,91011546942151e-32";"NaN";"NaN"
"6";"695";"1288";"7,53955898094759e-09";"6,77130643228382e-15";"FALSE";"none";"TRUE";"0";"0,494810058447191";"8,30499275087962e-20";"3,7857282853565e-33";"NaN";"NaN"
"7";"697";"1289";"6,76689889319048e-09";"5,49494231583944e-15";"FALSE";"none";"TRUE";"0";"0,49034342511032";"2,34961440872887e-20";"8,78325304687186e-34";"NaN";"NaN"
"8";"699";"1290";"4,97014656041166e-09";"2,60492560736331e-15";"FALSE";"none";"TRUE";"0";"0,493711511155507";"7,05878904549413e-21";"2,29094057332278e-34";"NaN";"NaN"
"9";"701";"1291";"4,22896237394628e-09";"1,72669822737534e-15";"FALSE";"none";"TRUE";"0";"0,492220145541994";"1,85224617326854e-21";"4,91495149933129e-35";"NaN";"NaN"
"10";"703";"1292";"4,02496280016361e-09";"1,57388019093269e-15";"FALSE";"none";"TRUE";"0";"0,485062514328697";"4,6700612436146e-22";"1,01208823582881e-35";"NaN";"NaN"
"11";"705";"1293";"2,64923776755065e-09";"5,0564557966501e-16";"FALSE";"none";"TRUE";"0";"0,497099630337422";"1,40190138025995e-22";"2,79734429739577e-36";"NaN";"NaN"
"12";"707";"1294";"2,58920692498921e-09";"4,7928918892703e-16";"FALSE";"none";"TRUE";"0";"0,488017081897886";"3,23246196183639e-23";"5,22842206593374e-37";"NaN";"NaN"
"13";"709";"1295";"2,99494804001738e-09";"6,77849916124836e-16";"FALSE";"none";"TRUE";"0";"0,47178888540235";"5,37439444693609e-24";"6,04913912888957e-38";"NaN";"NaN"
"14";"711";"1296";"3,26071654031883e-09";"8,7979145731322e-16";"FALSE";"none";"TRUE";"0";"0,460161081857599";"1,07270583903338e-24";"9,52733677760961e-39";"NaN";"NaN"
"15";"713";"1297";"1,34968044516964e-20";"7,73498326464522e-22";"FALSE";"decrease";"TRUE";"0,543";"0";"1,58762181129829";"0,335462461732737";"NaN";"NaN"
"16";"715";"1298";"1,05176318338163e-20";"7,00843970343226e-22";"FALSE";"decrease";"TRUE";"0,409666666666667";"0";"1,61852518881756";"0,515144635082819";"NaN";"NaN"
"17";"717";"1299";"6,03163091274664e-21";"6,45432926150106e-22";"FALSE";"decrease";"TRUE";"0,996333333333333";"0";"1,62323968771491";"0,518126445731928";"NaN";"NaN"
"18";"719";"1300";"6,35828241136823e-21";"6,71528759455899e-22";"FALSE";"decrease";"TRUE";"0,997333333333333";"0";"1,64588495952918";"0,362652637012461";"NaN";"NaN"
"19";"721";"1301";"6,01812556027696e-21";"3,42564383737233e-22";"FALSE";"decrease";"TRUE";"0,985333333333333";"0";"1,4636752692764";"0,244414737606026";"NaN";"NaN"
