;initialIndex;finalIndex;cv;shapiro;ad;normality;bestDistFit;runs;IQR;;;
51;5174;5772;0,70983983;2,64E-23;3,70E-24;FALSE;lnorm;6,77E-119;46,24228382;;;
52;5176;5773;0,711981821;2,09E-23;3,70E-24;FALSE;lnorm;1,22E-118;46,19655895;;Mean CV;0,45853151
53;5178;5774;0,714216146;1,80E-23;3,70E-24;FALSE;lnorm;2,21E-118;46,17043877;;Median CV;0,401840985
54;5180;5775;0,716599241;1,49E-23;3,70E-24;FALSE;lnorm;4,01E-118;45,77017546;;;
55;5182;5776;0,718227236;1,33E-23;3,70E-24;FALSE;lnorm;7,30E-118;45,38796329;;Mean IQR;19,87366507
56;5184;5777;0,720693253;1,11E-23;3,70E-24;FALSE;lnorm;1,99E-119;44,80824709;;Median IQR;18,19027615
57;5186;5778;0,723084893;8,82E-24;3,70E-24;FALSE;lnorm;3,40E-119;44,71626091;;;
59;5190;5780;0,72808322;5,66E-24;3,70E-24;FALSE;lnorm;9,91E-119;44,55094242;;;
58;5188;5779;0,72566978;7,00E-24;3,70E-24;FALSE;lnorm;3,68E-117;44,52650738;;;
60;5192;5781;0,728371508;5,09E-24;3,70E-24;FALSE;lnorm;1,79E-118;44,48059702;;;
61;5194;5782;0,725946414;4,89E-24;3,70E-24;FALSE;lnorm;2,00E-116;44,16049957;;;
62;5196;5783;0,726288574;4,17E-24;3,70E-24;FALSE;lnorm;2,17E-114;43,69346333;;;
63;5198;5784;0,727828272;3,48E-24;3,70E-24;FALSE;lnorm;5,92E-116;43,41288853;;;
64;5200;5785;0,73018295;2,73E-24;3,70E-24;FALSE;lnorm;1,09E-115;43,1451025;;;
65;5202;5786;0,732605884;2,17E-24;3,70E-24;FALSE;lnorm;2,03E-115;42,5269804;;;
66;5204;5787;0,734942393;1,70E-24;3,70E-24;FALSE;lnorm;3,77E-115;42,26070595;;;
67;5206;5788;0,736935037;1,34E-24;3,70E-24;FALSE;lnorm;4,37E-113;42,07816696;;;
68;5208;5789;0,737658887;1,16E-24;3,70E-24;FALSE;lnorm;1,13E-114;41,91203427;;;
69;5210;5790;0,736499677;1,09E-24;3,70E-24;FALSE;lnorm;1,33E-112;40,93152905;;;
70;5212;5791;0,737730346;9,04E-25;3,70E-24;FALSE;lnorm;1,52E-110;40,76313257;;;
71;5214;5792;0,73875051;7,53E-25;3,70E-24;FALSE;lnorm;2,96E-110;40,06391382;;;
500;4974;5523;0,418986653;2,87E-07;3,14E-07;FALSE;norm;3,51E-68;39,55672073;;;
72;5216;5793;0,739306212;6,36E-25;3,70E-24;FALSE;lnorm;5,21E-110;39,17717099;;;
496;4966;5519;0,415048648;6,12E-07;1,73E-06;FALSE;norm;4,65E-69;39,11557484;;;
499;4972;5522;0,417506555;4,02E-07;6,88E-07;FALSE;norm;2,12E-68;39,07821083;;;
492;4958;5515;0,41211265;6,03E-07;2,18E-06;FALSE;weibull;6,24E-70;39,06055355;;;
495;4964;5518;0,41386595;7,37E-07;2,59E-06;FALSE;weibull;2,81E-69;39,01375008;;;
450;8033;8582;0,656820514;1,26E-12;4,91E-18;FALSE;norm;7,13E-76;38,97039223;;;
498;4970;5521;0,416694012;4,80E-07;1,02E-06;FALSE;norm;1,28E-68;38,96904278;;;
494;4962;5517;0,413178942;7,50E-07;2,78E-06;FALSE;weibull;1,70E-69;38,91192532;;;
497;4968;5520;0,415416655;6,01E-07;1,70E-06;FALSE;norm;7,70E-69;38,85987473;;;
449;8031;8581;0,654283279;1,58E-12;7,74E-18;FALSE;norm;1,86E-77;38,8554678;;;
493;4960;5516;0,412321916;7,78E-07;3,10E-06;FALSE;weibull;1,03E-69;38,81010056;;;
73;5218;5794;0,738191;5,79E-25;3,70E-24;FALSE;lnorm;1,02E-109;38,73568821;;;
491;4956;5514;0,410514831;7,16E-07;3,44E-06;FALSE;weibull;3,78E-70;38,70157623;;;
448;8029;8580;0,651975626;2,14E-12;1,83E-17;FALSE;norm;1,19E-77;38,66820288;;;
490;4954;5513;0,409091926;8,83E-07;5,72E-06;FALSE;weibull;2,29E-70;38,60284901;;;
489;4952;5512;0,408543279;6,48E-07;3,89E-06;FALSE;weibull;1,39E-70;38,59305191;;;
74;5220;5795;0,738584987;5,05E-25;3,70E-24;FALSE;lnorm;5,98E-106;38,56726098;;;
447;8027;8579;0,649323643;2,45E-12;2,48E-17;FALSE;norm;7,65E-78;38,55438995;;;
446;8025;8578;0,647269715;2,98E-12;4,04E-17;FALSE;norm;1,12E-76;38,55014682;;;
445;8023;8577;0,644033559;3,27E-12;5,53E-17;FALSE;norm;7,05E-77;38,52142906;;;
75;5222;5796;0,731767133;7,22E-25;3,70E-24;FALSE;lnorm;1,35E-107;38,36159563;;;
488;4950;5511;0,407275729;7,62E-07;5,86E-06;FALSE;weibull;8,47E-71;38,35166073;;;
