"";"initialIndex";"finalIndex";"cv";"shapiro";"ad";"normality";"bestDistFit";"runs";"IQR"
"1";"302";"551";"0,205581751726615";"3,16900755662279e-07";"3,26284721922058e-06";"FALSE";"lnorm";"1,26263082058767e-19";"5,0922937393189"
"2";"304";"552";"0,210362197695724";"1,01296246488514e-07";"5,82672422729996e-07";"FALSE";"lnorm";"2,02639728871937e-18";"5,1535034179688"
"3";"306";"553";"0,21396103295125";"2,85893318165859e-08";"6,3193127760039e-08";"FALSE";"lnorm";"4,28778496282034e-20";"5,14664888381955"
"4";"308";"554";"0,217623358902894";"1,70664153961358e-08";"1,70851860957428e-08";"FALSE";"lnorm";"7,06836092044872e-21";"5,1458044052124"
"5";"310";"555";"0,224546741251589";"9,52494620671532e-10";"3,41120049887208e-10";"FALSE";"lnorm";"8,61585669407324e-23";"5,13943719863893"
"6";"312";"556";"0,243234675495871";"1,39983977365148e-13";"9,45592341972483e-15";"FALSE";"lnorm";"2,21041874564854e-21";"5,1512241363526"
"7";"314";"557";"0,244688979986353";"2,22984699107172e-13";"8,25414252760622e-15";"FALSE";"lnorm";"4,45900609180034e-21";"5,27403497695925"
"8";"316";"558";"0,246547378666372";"3,82072710835025e-13";"1,31929584442586e-14";"FALSE";"lnorm";"1,34108414631867e-22";"5,32365894317625"
"9";"318";"559";"0,247385123838704";"3,31390573410738e-13";"5,51677818727745e-15";"FALSE";"lnorm";"1,014263212922e-21";"5,31090116500855"
"10";"320";"560";"0,247883328841747";"3,11571008852822e-13";"3,40821493238545e-15";"FALSE";"lnorm";"6,3065585036122e-21";"5,2887344360352"
"11";"322";"561";"0,248677886802087";"4,65414953061533e-13";"8,83175268612318e-15";"FALSE";"lnorm";"2,48795504256318e-21";"5,33932590484618"
"12";"324";"562";"0,248879690446258";"7,44075210627218e-13";"2,33295437957171e-14";"FALSE";"lnorm";"4,45282367490022e-20";"5,3534564971924"
"13";"326";"563";"0,247976800543956";"1,00959330729154e-12";"4,87756554494128e-14";"FALSE";"lnorm";"4,53082187217765e-22";"5,27618169784547"
"14";"328";"564";"0,247050814252086";"1,22862785075777e-12";"8,67273582316807e-14";"FALSE";"lnorm";"5,408719586779e-22";"5,3376789093017"
"15";"330";"565";"0,245505428267472";"1,17948533133684e-12";"6,54257467542061e-14";"FALSE";"lnorm";"7,77573660838713e-22";"5,31817054748535"
"16";"1372";"1621";"0,433017588678031";"0,00707537156404768";"0,0248259433765238";"FALSE";"norm";"2,02972011108766e-35";"10,4986422061921"
"17";"1374";"1622";"0,432666553242564";"0,0080739768954278";"0,0272862031395732";"FALSE";"norm";"7,71633372939495e-34";"10,5233144760132"
"18";"1376";"1623";"0,431434421949342";"0,0097880244384668";"0,0319800844901134";"FALSE";"weibull";"6,33630112831144e-31";"10,3515648841858"
"19";"1378";"1624";"0,431924491575239";"0,00863590785477646";"0,0272304300256924";"FALSE";"norm";"9,89056656892108e-31";"10,3473668098449"
"20";"1380";"1625";"0,433316700697545";"0,00751146904750589";"0,024535997199101";"FALSE";"norm";"1,48234138878554e-30";"10,1833763122558"
"21";"1382";"1626";"0,436541918512393";"0,00688673740584263";"0,0258333549166183";"FALSE";"norm";"1,32814591351431e-31";"10,2418661117553"
"22";"1384";"1627";"0,43599625905196";"0,00597968195889976";"0,0219667922814338";"FALSE";"norm";"4,74430216265034e-34";"10,1161804199218"
"23";"1386";"1628";"0,43002581706887";"0,009902874891763";"0,0297192353949131";"FALSE";"weibull";"3,06709514559162e-35";"9,9501209259033"
"24";"1388";"1629";"0,422865215720271";"0,0148829556511909";"0,0346307631460336";"FALSE";"weibull";"2,07631606824393e-36";"9,87817764282227"
"25";"1390";"1630";"0,416634827983211";"0,021415370357567";"0,0392957102001942";"FALSE";"weibull";"1,32381853552852e-37";"9,809121131897"
"26";"1392";"1631";"0,409984147737643";"0,0298042783834836";"0,0420698168878878";"FALSE";"weibull";"5,84738410414747e-36";"9,69155240058897"
"27";"1394";"1632";"0,403337035558109";"0,0436769576814421";"0,0447369340257176";"FALSE";"weibull";"3,76752325797655e-37";"9,7487907409668"
"28";"1396";"1633";"0,397234031612736";"0,0537889786291349";"0,0422489765640036";"FALSE";"weibull";"2,12695633060209e-38";"9,9089901447296"
"29";"1398";"1634";"0,391837504174099";"0,0662139474309918";"0,0373965358263978";"FALSE";"weibull";"9,26907548329437e-43";"9,9407978057861"
"30";"1400";"1635";"0,387033735563977";"0,0616364316658558";"0,0259306530936082";"FALSE";"weibull";"1,41967295781546e-42";"9,94296717643732"
"31";"7924";"8173";"0,341976122543281";"6,80740064355746e-06";"0,00675459182861685";"FALSE";"gamma";"1,02348556669138e-10";"22,2378425598145"
"32";"7926";"8174";"0,340015961452732";"6,57355016145732e-06";"0,00593793065787902";"FALSE";"gamma";"1,4230257513037e-10";"22,2259597778321"
"33";"7928";"8175";"0,340212554061732";"7,17255554061796e-06";"0,00621825126119922";"FALSE";"gamma";"8,57465307701038e-11";"21,6244888305664"
"34";"7930";"8176";"0,340846878621209";"5,10318870745298e-06";"0,00458337302863993";"FALSE";"gamma";"1,20891885655192e-10";"21,6965408325195"
"35";"7932";"8177";"0,341542770980836";"4,65456654424553e-06";"0,00380863905139283";"FALSE";"gamma";"3,88576660587535e-10";"21,7699794769287"
"36";"7934";"8178";"0,337613170294805";"6,22178633267014e-06";"0,00813714476539835";"FALSE";"gamma";"5,57072816185102e-10";"21,5808792114258"
"37";"7936";"8179";"0,335289424428341";"5,80925756969975e-06";"0,00665559834811596";"FALSE";"gamma";"7,61623441514119e-10";"20,9273624420166"
"38";"7938";"8180";"0,335562198555096";"6,50451698450328e-06";"0,00724849425192442";"FALSE";"gamma";"4,62033834132868e-10";"21,1961936950683"
"39";"7940";"8181";"0,337474891792937";"4,78860511305934e-06";"0,00532752038470228";"FALSE";"gamma";"6,67117504521444e-10";"21,5766153335572"
"40";"7942";"8182";"0,342429557802467";"9,83692918678547e-06";"0,00518902256928445";"FALSE";"gamma";"9,10597234413054e-10";"21,288703918457"
"41";"7944";"8183";"0,335540123998752";"0,000115488970153884";"0,0417405078776672";"FALSE";"norm";"6,2137389032714e-09";"20,7055587768555"
"42";"7946";"8184";"0,337993547847034";"0,000123358439150571";"0,0466021565911615";"FALSE";"norm";"1,79185055703646e-08";"21,2344036102295"
"43";"7948";"8185";"0,340282438314602";"0,000146553111454427";"0,053232508142957";"FALSE";"norm";"2,40399751183705e-08";"21,5115118026733"
"44";"7950";"8186";"0,34494076488758";"0,000233755330077209";"0,0614997560137041";"FALSE";"norm";"1,52318483061836e-08";"21,4022369384766"
"45";"7952";"8187";"0,349689295921768";"0,00028294853499355";"0,0609697302853023";"FALSE";"norm";"9,79098442927074e-09";"21,5474309921265"
"46";"8420";"8669";"0,569488234346202";"4,30024055497099e-05";"2,61260911939249e-06";"FALSE";"weibull";"1,19572039162528e-24";"9,38557934761047"
"47";"8422";"8670";"0,571966752360699";"3,41991739815553e-05";"1,97929257819816e-06";"FALSE";"weibull";"1,91468184438929e-24";"9,38273191452024"
"48";"8424";"8671";"0,574921505449197";"2,47409819687211e-05";"1,05195250327251e-06";"FALSE";"weibull";"1,129545907182e-23";"9,53162431716919"
"49";"8426";"8672";"0,579266750894199";"1,72486782450414e-05";"5,88032149501543e-07";"FALSE";"weibull";"3,73201591085624e-25";"9,64762353897094"
"50";"8428";"8673";"0,583498966228407";"2,2397812706153e-05";"7,98973414340292e-07";"FALSE";"weibull";"1,18686865106028e-26";"9,69318795204162"
"51";"8430";"8674";"0,587705094481804";"2,15729035147243e-05";"9,32591629173593e-07";"FALSE";"weibull";"4,45245458675727e-27";"9,71416902542114"
"52";"8432";"8675";"0,59343636652089";"1,77353362148073e-05";"7,78451559583561e-07";"FALSE";"gamma";"1,65451732020543e-27";"9,81279766559603"
"53";"8434";"8676";"0,600363715354024";"1,28889503886442e-05";"5,30657413808516e-07";"FALSE";"gamma";"1,44354839047222e-28";"9,90644240379332"
"54";"8436";"8677";"0,609461112725473";"7,97483804320983e-06";"3,62280812553593e-07";"FALSE";"gamma";"1,1932507193965e-29";"9,9557591676712"
"55";"8438";"8678";"0,61236405183756";"4,70520152547999e-06";"2,76754466489204e-07";"FALSE";"gamma";"1,97437253239231e-29";"10,169063091278"
"56";"8440";"8679";"0,616360179207849";"3,40741434677917e-06";"4,9544653288147e-07";"FALSE";"gamma";"1,65536666870604e-30";"10,2688846588134"
"57";"8442";"8680";"0,616399636606407";"2,23023921883613e-06";"5,54264725715369e-07";"FALSE";"gamma";"1,2198119224675e-31";"10,25772356987"
"58";"8444";"8681";"0,613616481182055";"6,07277981685785e-07";"2,39904764554721e-07";"FALSE";"weibull";"2,03284572401554e-31";"10,3801158666611"
"59";"8446";"8682";"0,617195228306352";"4,24390667566324e-07";"2,04568188224635e-07";"FALSE";"weibull";"6,74688034531343e-34";"10,4093651771546"
"60";"8448";"8683";"0,621803406098607";"2,6934255385875e-07";"1,57025296324285e-07";"FALSE";"weibull";"4,40301016525829e-35";"10,4858831167221"
"61";"8801";"9050";"0,325410777688541";"5,25330453329662e-14";"1,43986249748092e-20";"FALSE";"lnorm";"1,30896328048197e-14";"10,6542830467224"
"62";"8803";"9051";"0,326359639555498";"7,12193882265896e-14";"2,95747655880031e-20";"FALSE";"lnorm";"2,2084650420551e-14";"10,8655796051026"
"63";"8805";"9052";"0,327753138805743";"9,86085248465187e-14";"1,05322362617784e-19";"FALSE";"lnorm";"2,91955705997617e-14";"10,9235854148865"
