time,hygrometer,moisture,air_humidity,tempC,tempF,error,annotation
21-08-16T19:58:30,950,8,62.00,26.50,79.70,0,None
21-08-16T20:00:30,951,8,63.00,26.30,79.34,0,None
21-08-16T20:02:30,952,7,63.00,26.10,78.98,0,None
21-08-16T20:04:30,952,7,64.00,26.00,78.80,0,None
21-08-16T20:06:30,952,7,64.00,26.30,79.34,0,None
21-08-16T20:08:30,953,7,65.00,26.50,79.70,0,None
21-08-16T20:10:30,953,7,66.00,26.60,79.88,0,None
21-08-16T20:12:30,952,7,69.00,26.70,80.06,0,None
21-08-16T20:14:30,952,7,71.00,26.80,80.24,0,None
21-08-16T20:16:30,952,7,73.00,26.90,80.42,0,None
21-08-16T20:18:30,952,7,74.00,26.90,80.42,0,None
21-08-16T20:20:30,952,7,77.00,27.00,80.60,0,None
21-08-16T20:22:30,952,7,77.00,27.00,80.60,0,None
21-08-16T20:24:30,953,7,78.00,27.00,80.60,0,None
21-08-16T20:26:30,953,7,79.00,27.10,80.78,0,None
21-08-16T20:28:30,953,7,79.00,27.10,80.78,0,None
21-08-16T20:30:30,954,7,79.00,27.10,80.78,0,None
21-08-16T20:32:30,955,7,79.00,27.10,80.78,0,None
21-08-16T20:34:30,955,7,79.00,27.10,80.78,0,None
21-08-16T20:36:30,955,7,79.00,27.20,80.96,0,None
21-08-16T20:38:30,955,7,79.00,27.20,80.96,0,None
21-08-16T20:40:30,955,7,79.00,27.20,80.96,0,None
21-08-16T20:42:30,956,7,79.00,27.20,80.96,0,None
21-08-16T20:44:30,956,7,80.00,27.20,80.96,0,None
21-08-16T20:46:30,957,7,80.00,27.30,81.14,0,None
21-08-16T20:48:30,956,7,80.00,27.30,81.14,0,None
21-08-16T20:50:30,956,7,80.00,27.30,81.14,0,None
21-08-16T20:52:30,957,7,80.00,27.30,81.14,0,None
21-08-16T20:54:30,956,7,80.00,27.30,81.14,0,None
21-08-16T20:56:30,957,7,80.00,27.30,81.14,0,None
21-08-16T20:58:30,957,7,80.00,27.40,81.32,0,None
21-08-16T21:00:30,958,7,80.00,27.40,81.32,0,None
21-08-16T21:02:30,959,7,80.00,27.40,81.32,0,None
21-08-16T21:04:30,958,7,80.00,27.40,81.32,0,None
21-08-16T21:06:30,958,7,80.00,27.40,81.32,0,None
21-08-16T21:08:30,959,7,80.00,27.40,81.32,0,None
21-08-16T21:10:30,959,7,80.00,27.40,81.32,0,None
21-08-16T21:12:31,958,7,82.00,27.50,81.50,0,None
21-08-16T21:14:31,959,7,82.00,27.50,81.50,0,None
21-08-16T21:16:31,959,7,82.00,27.50,81.50,0,None
21-08-16T21:18:31,959,7,82.00,27.50,81.50,0,None
21-08-16T21:20:31,959,7,82.00,27.50,81.50,0,None
21-08-16T21:22:31,959,7,82.00,27.50,81.50,0,None
21-08-16T21:24:31,959,7,82.00,27.50,81.50,0,None
21-08-16T21:26:31,959,7,82.00,27.50,81.50,0,None
21-08-16T21:28:31,959,7,82.00,27.50,81.50,0,None
21-08-16T21:30:31,959,7,82.00,27.50,81.50,0,None
21-08-16T21:32:31,959,7,82.00,27.50,81.50,0,None
21-08-16T21:34:31,959,7,82.00,27.50,81.50,0,None
21-08-16T21:36:31,959,7,82.00,27.50,81.50,0,None
21-08-16T21:38:31,959,7,82.00,27.50,81.50,0,None
21-08-16T21:40:31,959,7,82.00,27.50,81.50,0,None
21-08-16T21:42:31,959,7,82.00,27.50,81.50,0,None
21-08-16T21:44:31,959,7,82.00,27.60,81.68,0,None
21-08-16T21:46:31,959,7,82.00,27.60,81.68,0,None
21-08-16T21:48:31,959,7,82.00,27.60,81.68,0,None
21-08-16T21:50:31,959,7,83.00,27.60,81.68,0,None
21-08-16T21:52:31,959,7,82.00,27.60,81.68,0,None
21-08-16T21:54:31,959,7,83.00,27.60,81.68,0,None
21-08-16T21:56:31,959,7,83.00,27.60,81.68,0,None
21-08-16T21:58:31,959,7,83.00,27.70,81.86,0,None
21-08-16T22:00:31,960,7,83.00,27.70,81.86,0,None
21-08-16T22:02:31,960,7,83.00,27.70,81.86,0,None
21-08-16T22:04:31,959,7,83.00,27.70,81.86,0,None
21-08-16T22:06:31,959,7,83.00,27.70,81.86,0,None
21-08-16T22:08:31,959,7,83.00,27.70,81.86,0,None
21-08-16T22:10:31,959,7,83.00,27.70,81.86,0,None
21-08-16T22:12:31,959,7,82.00,27.70,81.86,0,None
21-08-16T22:14:31,959,7,83.00,27.70,81.86,0,None
21-08-16T22:16:31,959,7,83.00,27.70,81.86,0,None
21-08-16T22:18:31,959,7,83.00,27.70,81.86,0,None
21-08-16T22:20:31,960,7,83.00,27.70,81.86,0,None
21-08-16T22:22:31,959,7,82.00,27.70,81.86,0,None
21-08-16T22:24:31,959,7,83.00,27.70,81.86,0,None
21-08-16T22:26:32,959,7,82.00,27.70,81.86,0,None
21-08-16T22:28:32,959,7,83.00,27.70,81.86,0,None
21-08-16T22:30:32,959,7,82.00,27.70,81.86,0,None
