set_id,timestamp,mote_id,has_fault_type,light,temperature
40,'2004-02-29T00:00:18',19,0,0.46,18.91
40,'2004-02-29T00:01:55',19,0,0.46,18.91
40,'2004-02-29T00:02:19',19,0,0.46,18.901
40,'2004-02-29T00:03:22',19,0,0.46,18.901
40,'2004-02-29T00:03:51',19,0,0.46,18.891
40,'2004-02-29T00:04:18',19,0,0.46,18.891
40,'2004-02-29T00:05:55',19,0,0.46,18.861
40,'2004-02-29T00:06:48',19,0,0.46,18.852
40,'2004-02-29T00:07:50',19,0,0.46,18.832
40,'2004-02-29T00:09:19',19,0,0.46,18.822
40,'2004-02-29T00:09:53',19,0,0.46,18.803
40,'2004-02-29T00:11:18',19,0,0.46,18.822
40,'2004-02-29T00:11:48',19,0,0.46,18.812
40,'2004-02-29T00:12:18',19,0,0.46,18.822
40,'2004-02-29T00:13:19',19,0,0.46,18.803
40,'2004-02-29T00:14:19',19,0,0.46,18.773
40,'2004-02-29T00:14:50',19,0,0.46,18.773
40,'2004-02-29T00:15:48',19,0,0.46,18.754
40,'2004-02-29T00:16:53',19,0,0.46,18.734
40,'2004-02-29T00:17:49',19,0,0.46,18.744
40,'2004-02-29T00:18:18',19,0,0.46,18.724
40,'2004-02-29T00:20:22',19,0,0.46,18.714
40,'2004-02-29T00:20:53',19,0,0.46,18.724
40,'2004-02-29T00:21:48',19,0,0.46,18.714
40,'2004-02-29T00:22:19',19,0,0.46,18.705
40,'2004-02-29T00:23:49',19,0,0.46,18.714
40,'2004-02-29T00:24:26',19,0,0.46,18.705
40,'2004-02-29T00:26:49',19,0,0.46,18.695
40,'2004-02-29T00:28:50',19,0,0.46,18.685
40,'2004-02-29T00:29:49',19,0,0.46,18.675
40,'2004-02-29T00:32:24',19,0,0.46,18.685
40,'2004-02-29T00:32:51',19,0,0.46,18.675
40,'2004-02-29T00:37:22',19,0,0.46,18.626
40,'2004-02-29T00:37:48',19,0,0.46,18.616
40,'2004-02-29T00:38:20',19,0,0.46,18.607
40,'2004-02-29T00:39:22',19,0,0.46,18.607
40,'2004-02-29T00:41:22',19,0,0.46,18.597
40,'2004-02-29T00:41:49',19,0,0.46,18.597
40,'2004-02-29T00:43:52',19,0,0.46,18.567
40,'2004-02-29T00:44:25',19,0,0.46,18.567
40,'2004-02-29T00:46:19',19,0,0.46,18.558
40,'2004-02-29T00:47:19',19,0,0.46,18.538
40,'2004-02-29T00:48:53',19,0,0.46,18.518
40,'2004-02-29T00:50:51',19,0,0.46,18.509
40,'2004-02-29T00:51:51',19,0,0.46,18.499
40,'2004-02-29T00:53:19',19,0,0.46,18.479
40,'2004-02-29T00:53:52',19,0,0.46,18.469
40,'2004-02-29T00:55:21',19,0,0.46,18.44
40,'2004-02-29T00:55:54',19,0,0.46,18.42
40,'2004-02-29T00:56:18',19,0,0.46,18.42
40,'2004-02-29T01:00:19',19,0,0.46,18.322
40,'2004-02-29T01:01:21',19,0,0.46,18.322
40,'2004-02-29T01:02:48',19,0,0.46,18.303
40,'2004-02-29T01:04:54',19,0,0.46,18.283
40,'2004-02-29T01:05:19',19,0,0.46,18.293
40,'2004-02-29T01:05:55',19,0,0.46,18.303
40,'2004-02-29T01:06:24',19,0,0.46,18.283
40,'2004-02-29T01:07:50',19,0,0.46,18.264
40,'2004-02-29T01:08:54',19,0,0.46,18.254
40,'2004-02-29T01:09:50',19,0,0.46,18.244
40,'2004-02-29T01:11:52',19,0,0.46,18.224
40,'2004-02-29T01:13:19',19,0,0.46,18.205
40,'2004-02-29T01:15:49',19,0,0.46,18.185
40,'2004-02-29T01:16:18',19,0,0.46,18.175
40,'2004-02-29T01:16:51',19,0,0.46,18.185
40,'2004-02-29T01:17:50',19,0,0.46,18.156
40,'2004-02-29T01:18:51',19,0,0.46,18.166
40,'2004-02-29T01:20:23',19,0,0.46,18.146
40,'2004-02-29T01:24:48',19,0,0.46,18.136
40,'2004-02-29T01:25:19',19,0,0.46,18.136
40,'2004-02-29T01:26:19',19,0,0.46,18.146
40,'2004-02-29T01:27:20',19,0,0.46,18.146
40,'2004-02-29T01:29:18',19,0,0.46,18.126
40,'2004-02-29T01:31:24',19,0,0.46,18.107
40,'2004-02-29T01:31:53',19,0,0.46,18.087
40,'2004-02-29T01:32:48',19,0,0.46,18.107
40,'2004-02-29T01:33:18',19,0,0.46,18.087
40,'2004-02-29T01:35:18',19,0,0.46,18.068
40,'2004-02-29T01:36:48',19,0,0.46,18.048
40,'2004-02-29T01:38:19',19,0,0.46,18.038
40,'2004-02-29T01:39:49',19,0,0.46,18.028
40,'2004-02-29T01:41:54',19,0,0.46,18.009
40,'2004-02-29T01:45:53',19,0,0.46,17.989
40,'2004-02-29T01:46:54',19,0,0.46,17.97
40,'2004-02-29T01:47:51',19,0,0.46,17.97
40,'2004-02-29T01:48:21',19,0,0.46,17.979
40,'2004-02-29T01:49:25',19,0,0.46,17.95
40,'2004-02-29T01:50:18',19,0,0.46,17.95
40,'2004-02-29T01:52:18',19,0,0.46,17.94
40,'2004-02-29T01:53:18',19,0,0.46,17.93
40,'2004-02-29T01:53:52',19,0,0.46,17.93
40,'2004-02-29T01:55:48',19,0,0.46,17.93
40,'2004-02-29T01:56:49',19,0,0.46,17.911
40,'2004-02-29T01:57:21',19,0,0.46,17.891
40,'2004-02-29T01:57:48',19,0,0.46,17.901
40,'2004-02-29T01:58:19',19,0,0.46,17.881
40,'2004-02-29T02:00:19',19,0,0.46,17.852
40,'2004-02-29T02:01:24',19,0,0.46,17.842
40,'2004-02-29T02:02:49',19,0,0.46,17.832
40,'2004-02-29T02:03:26',19,0,0.46,17.842
40,'2004-02-29T02:05:49',19,0,0.46,17.813
40,'2004-02-29T02:06:23',19,0,0.46,17.813
40,'2004-02-29T02:07:22',19,0,0.46,17.793
40,'2004-02-29T02:08:50',19,0,0.46,17.783
40,'2004-02-29T02:11:20',19,0,0.46,17.774
40,'2004-02-29T02:11:48',19,0,0.46,17.774
40,'2004-02-29T02:12:51',19,0,0.46,17.754
40,'2004-02-29T02:13:18',19,0,0.46,17.754
40,'2004-02-29T02:14:49',19,0,0.46,17.725
40,'2004-02-29T02:17:50',19,0,0.46,17.705
40,'2004-02-29T02:19:20',19,0,0.46,17.705
40,'2004-02-29T02:21:54',19,0,0.46,17.695
40,'2004-02-29T02:23:48',19,0,0.46,17.676
40,'2004-02-29T02:24:19',19,0,0.46,17.656
40,'2004-02-29T02:24:50',19,0,0.46,17.656
40,'2004-02-29T02:25:48',19,0,0.46,17.627
40,'2004-02-29T02:26:18',19,0,0.46,17.636
40,'2004-02-29T02:28:20',19,0,0.46,17.607
40,'2004-02-29T02:29:19',19,0,0.46,17.597
40,'2004-02-29T02:29:48',19,0,0.46,17.587
40,'2004-02-29T02:30:51',19,0,0.46,17.578
40,'2004-02-29T02:33:23',19,0,0.46,17.548
40,'2004-02-29T02:34:18',19,0,0.46,17.558
40,'2004-02-29T02:34:54',19,0,0.46,17.529
40,'2004-02-29T02:35:19',19,0,0.46,17.519
40,'2004-02-29T02:35:49',19,0,0.46,17.529
40,'2004-02-29T02:36:49',19,0,0.46,17.509
40,'2004-02-29T02:37:23',19,0,0.46,17.519
40,'2004-02-29T02:38:19',19,0,0.46,17.499
40,'2004-02-29T02:40:19',19,0,0.46,17.46
40,'2004-02-29T02:41:23',19,0,0.46,17.46
40,'2004-02-29T02:42:48',19,0,0.46,17.44
40,'2004-02-29T02:43:22',19,0,0.46,17.421
40,'2004-02-29T02:43:49',19,0,0.46,17.44
40,'2004-02-29T02:45:52',19,0,0.46,17.431
40,'2004-02-29T02:47:22',19,0,0.46,17.421
40,'2004-02-29T02:47:53',19,0,0.46,17.411
40,'2004-02-29T02:48:23',19,0,0.46,17.401
40,'2004-02-29T02:49:18',19,0,0.46,17.382
40,'2004-02-29T02:49:48',19,0,0.46,17.372
40,'2004-02-29T02:50:18',19,0,0.46,17.382
40,'2004-02-29T02:51:19',19,0,0.46,17.382
40,'2004-02-29T02:53:52',19,0,0.46,17.362
40,'2004-02-29T02:54:21',19,0,0.46,17.352
40,'2004-02-29T02:54:49',19,0,0.46,17.362
40,'2004-02-29T02:55:48',19,0,0.46,17.342
40,'2004-02-29T02:56:22',19,0,0.46,17.323
40,'2004-02-29T02:56:48',19,0,0.46,17.313
40,'2004-02-29T02:57:23',19,0,0.46,17.323
40,'2004-02-29T02:57:48',19,0,0.46,17.313
40,'2004-02-29T02:58:19',19,0,0.46,17.323
40,'2004-02-29T02:58:49',19,0,0.46,17.313
40,'2004-02-29T02:59:20',19,0,0.46,17.323
40,'2004-02-29T02:59:54',19,0,0.46,17.313
40,'2004-02-29T03:00:18',19,0,0.46,17.313
40,'2004-02-29T03:00:48',19,0,0.46,17.313
40,'2004-02-29T03:02:21',19,0,0.46,17.303
40,'2004-02-29T03:03:23',19,0,0.46,17.293
40,'2004-02-29T03:03:49',19,0,0.46,17.284
40,'2004-02-29T03:04:53',19,0,0.46,17.264
40,'2004-02-29T03:05:18',19,0,0.46,17.274
