timestamp,mote_id,has_fault_type,temperature
'2015-08-10T18:26:28','santander173',0,25.93
'2015-08-10T18:31:26','santander173',0,25.54
'2015-08-10T21:06:39','santander173',0,21.8
'2015-08-10T21:35:07','santander173',0,21.09
'2015-08-10T21:40:06','santander173',0,20.96
'2015-08-10T21:45:03','santander173',0,21.09
'2015-08-10T21:50:01','santander173',0,21.22
'2015-08-10T21:54:59','santander173',0,20.96
'2015-08-10T21:59:57','santander173',0,21.03
'2015-08-10T22:04:55','santander173',0,20.96
'2015-08-10T22:09:52','santander173',0,21.03
'2015-08-10T22:14:50','santander173',0,20.96
'2015-08-10T22:19:47','santander173',0,20.96
'2015-08-10T22:24:37','santander173',0,20.64
'2015-08-10T22:29:35','santander173',0,20.7
'2015-08-10T22:34:40','santander173',0,20.9
'2015-08-10T22:41:14','santander173',0,20.51
'2015-08-10T22:44:54','santander173',0,20.77
'2015-08-11T00:58:58','santander173',0,19.29
'2015-08-11T01:20:08','santander173',0,18.77
'2015-08-11T02:04:27','santander173',0,18.77
'2015-08-11T02:48:55','santander173',0,19.09
'2015-08-11T02:53:37','santander173',0,18.58
'2015-08-11T03:02:07','santander173',0,18.06
'2015-08-11T03:08:33','santander173',0,18
'2015-08-11T03:12:31','santander173',0,17.87
'2015-08-11T03:17:28','santander173',0,18.19
'2015-08-11T03:42:17','santander173',0,17.87
'2015-08-11T03:48:26','santander173',0,17.93
'2015-08-11T03:53:03','santander173',0,17.87
'2015-08-11T04:02:29','santander173',0,18.51
'2015-08-11T04:09:55','santander173',0,17.67
'2015-08-11T04:12:08','santander173',0,18.12
'2015-08-11T04:43:12','santander173',0,17.8
'2015-08-11T04:46:48','santander173',0,18.12
'2015-08-11T05:41:23','santander173',0,17.87
'2015-08-11T06:02:13','santander173',0,18.06
'2015-08-11T06:21:19','santander173',0,17.74
'2015-08-11T07:21:10','santander173',0,18
'2015-08-11T07:25:45','santander173',0,18.06
'2015-08-11T07:30:43','santander173',0,18.12
'2015-08-11T07:38:25','santander173',0,18.32
'2015-08-11T07:40:49','santander173',0,18.38
'2015-08-11T07:45:39','santander173',0,18.38
'2015-08-11T07:50:37','santander173',0,18.38
'2015-08-11T07:55:35','santander173',0,18.32
'2015-08-11T08:00:35','santander173',0,18.38
'2015-08-11T08:30:46','santander173',0,18.77
'2015-08-11T08:35:42','santander173',0,18.83
'2015-08-11T09:00:46','santander173',0,19.35
'2015-08-11T09:10:58','santander173',0,20.32
'2015-08-11T09:18:07','santander173',0,20.38
'2015-08-11T09:22:04','santander173',0,20.25
'2015-08-11T09:31:23','santander173',0,20.7
'2015-08-11T09:40:10','santander173',0,20.7
'2015-08-11T09:42:20','santander173',0,20.96
'2015-08-11T09:51:36','santander173',0,21.35
'2015-08-11T10:11:28','santander173',0,21.22
'2015-08-11T10:41:57','santander173',0,21.93
'2015-08-11T10:47:13','santander173',0,21.8
'2015-08-11T11:03:33','santander173',0,21.41
'2015-08-11T11:07:09','santander173',0,21.67
'2015-08-11T11:12:07','santander173',0,22
'2015-08-11T11:28:25','santander173',0,22.32
'2015-08-11T12:07:09','santander173',0,24.32
'2015-08-11T12:12:07','santander173',0,24.25
'2015-08-11T12:22:20','santander173',0,24.25
'2015-08-11T12:29:16','santander173',0,23.93
'2015-08-11T12:32:12','santander173',0,24.25
'2015-08-11T12:37:16','santander173',0,24.58
'2015-08-11T12:42:01','santander173',0,24.45
'2015-08-11T13:27:15','santander173',0,26.19
'2015-08-11T14:17:33','santander173',0,24.96
'2015-08-11T15:59:33','santander173',0,27.16
'2015-08-11T17:46:36','santander173',0,24.51
'2015-08-11T18:35:07','santander173',0,24.45
