timestamp,mote_id,has_fault_type,temperature
'2015-08-10T18:04:30','santander661',0,23.41
'2015-08-10T18:09:28','santander661',0,23.35
'2015-08-10T18:14:26','santander661',0,23.41
'2015-08-10T18:19:23','santander661',0,23.35
'2015-08-10T18:24:21','santander661',0,23.22
'2015-08-10T18:29:19','santander661',0,23.41
'2015-08-10T18:34:26','santander661',0,23.35
'2015-08-10T18:39:15','santander661',0,23.93
'2015-08-10T18:44:13','santander661',0,23.61
'2015-08-10T18:49:10','santander661',0,23.41
'2015-08-10T18:54:08','santander661',0,22.77
'2015-08-10T18:59:05','santander661',0,22.77
'2015-08-10T19:04:04','santander661',0,22.77
'2015-08-10T19:09:01','santander661',0,22.58
'2015-08-10T19:13:59','santander661',0,22.58
'2015-08-10T19:18:57','santander661',0,22.45
'2015-08-10T19:23:54','santander661',0,22.38
'2015-08-10T19:28:52','santander661',0,22.25
'2015-08-10T19:33:50','santander661',0,22.12
'2015-08-10T19:38:48','santander661',0,22.06
'2015-08-10T19:43:45','santander661',0,22.19
'2015-08-10T19:48:43','santander661',0,22.06
'2015-08-10T19:53:42','santander661',0,22.06
'2015-08-10T19:58:40','santander661',0,22
'2015-08-10T20:03:38','santander661',0,21.8
'2015-08-10T20:08:36','santander661',0,21.74
'2015-08-10T20:13:34','santander661',0,21.74
'2015-08-10T20:18:32','santander661',0,21.67
'2015-08-10T20:23:31','santander661',0,21.48
'2015-08-10T20:28:29','santander661',0,21.41
'2015-08-10T20:33:26','santander661',0,21.29
'2015-08-10T20:38:24','santander661',0,21.35
'2015-08-10T20:43:21','santander661',0,21.09
'2015-08-10T20:48:19','santander661',0,21.03
'2015-08-10T20:53:17','santander661',0,21.09
'2015-08-10T20:58:15','santander661',0,21.09
'2015-08-10T21:03:13','santander661',0,21.03
'2015-08-10T21:08:11','santander661',0,20.77
'2015-08-10T21:13:08','santander661',0,20.83
'2015-08-10T21:18:06','santander661',0,20.77
'2015-08-10T21:23:04','santander661',0,20.77
'2015-08-10T21:28:01','santander661',0,20.7
'2015-08-10T21:32:59','santander661',0,20.64
'2015-08-10T21:37:57','santander661',0,20.58
'2015-08-10T21:42:55','santander661',0,20.58
'2015-08-10T21:47:53','santander661',0,20.25
'2015-08-10T21:52:51','santander661',0,20.7
'2015-08-10T21:57:48','santander661',0,20.9
'2015-08-10T22:02:46','santander661',0,20.64
'2015-08-10T22:07:44','santander661',0,21.03
'2015-08-10T22:12:41','santander661',0,20.38
'2015-08-10T22:17:39','santander661',0,20.32
'2015-08-10T22:22:37','santander661',0,20.58
'2015-08-10T22:27:35','santander661',0,21.35
'2015-08-10T22:32:33','santander661',0,20.64
'2015-08-10T22:37:30','santander661',0,20.51
'2015-08-10T22:42:28','santander661',0,20.45
'2015-08-10T22:47:26','santander661',0,20
'2015-08-10T22:52:23','santander661',0,19.93
'2015-08-10T22:57:21','santander661',0,19.74
'2015-08-10T23:02:19','santander661',0,19.8
'2015-08-10T23:07:17','santander661',0,20.77
'2015-08-10T23:12:15','santander661',0,20.38
'2015-08-10T23:17:12','santander661',0,19.35
'2015-08-10T23:22:10','santander661',0,20.9
'2015-08-10T23:27:08','santander661',0,19.74
'2015-08-10T23:32:05','santander661',0,19.93
'2015-08-10T23:37:03','santander661',0,20.06
'2015-08-10T23:42:01','santander661',0,20.32
'2015-08-10T23:46:59','santander661',0,21.16
'2015-08-10T23:51:56','santander661',0,19.29
'2015-08-10T23:56:54','santander661',0,20.64
'2015-08-11T00:01:54','santander661',0,20.51
'2015-08-11T00:06:50','santander661',0,19.87
'2015-08-11T00:11:48','santander661',0,20.06
'2015-08-11T00:16:45','santander661',0,22.38
'2015-08-11T00:21:43','santander661',0,19.93
'2015-08-11T00:26:41','santander661',0,19.35
'2015-08-11T00:31:38','santander661',0,19.54
'2015-08-11T00:36:37','santander661',0,20.83
'2015-08-11T00:41:35','santander661',0,19.41
'2015-08-11T00:46:32','santander661',0,19.61
'2015-08-11T00:51:30','santander661',0,18.06
'2015-08-11T00:56:28','santander661',0,20.51
