timestamp,mote_id,has_fault_type,temperature
'2015-08-10T18:26:09','santander16',0,31.22
'2015-08-10T18:31:08','santander16',0,31.35
'2015-08-10T18:42:17','santander16',0,31.16
'2015-08-10T21:06:39','santander16',0,22.38
'2015-08-10T21:35:02','santander16',0,21.8
'2015-08-10T21:39:42','santander16',0,21.54
'2015-08-10T21:44:40','santander16',0,21.54
'2015-08-10T21:49:37','santander16',0,21.48
'2015-08-10T21:54:35','santander16',0,21.61
'2015-08-10T21:59:33','santander16',0,21.41
'2015-08-10T22:04:31','santander16',0,21.61
'2015-08-10T22:09:28','santander16',0,21.67
'2015-08-10T22:14:26','santander16',0,21.29
'2015-08-10T22:19:24','santander16',0,21.22
'2015-08-10T22:24:22','santander16',0,21.48
'2015-08-10T22:29:20','santander16',0,21.41
'2015-08-10T22:34:24','santander16',0,21.22
'2015-08-10T22:41:14','santander16',0,21.22
'2015-08-10T22:44:21','santander16',0,21.35
'2015-08-11T00:58:58','santander16',0,19.87
'2015-08-11T01:20:08','santander16',0,19.67
'2015-08-11T01:57:46','santander16',0,19.22
'2015-08-11T02:48:55','santander16',0,19.54
'2015-08-11T02:53:37','santander16',0,19.29
'2015-08-11T03:02:07','santander16',0,19.16
'2015-08-11T03:08:33','santander16',0,18.77
'2015-08-11T03:12:17','santander16',0,18.45
'2015-08-11T03:17:15','santander16',0,19.03
'2015-08-11T03:42:05','santander16',0,18.58
'2015-08-11T03:48:26','santander16',0,18.51
'2015-08-11T03:52:04','santander16',0,18.51
'2015-08-11T04:02:29','santander16',0,18.25
'2015-08-11T04:09:55','santander16',0,18.58
'2015-08-11T04:11:57','santander16',0,18.45
'2015-08-11T04:43:12','santander16',0,18.38
'2015-08-11T04:46:35','santander16',0,18.77
'2015-08-11T06:21:19','santander16',0,18.12
'2015-08-11T07:21:07','santander16',0,18.58
'2015-08-11T07:25:33','santander16',0,18.38
'2015-08-11T07:30:29','santander16',0,18.83
'2015-08-11T07:38:25','santander16',0,18.77
'2015-08-11T07:40:25','santander16',0,18.96
'2015-08-11T07:45:22','santander16',0,18.83
'2015-08-11T07:50:20','santander16',0,19.09
'2015-08-11T07:55:27','santander16',0,19.09
'2015-08-11T08:00:16','santander16',0,19.09
'2015-08-11T08:11:07','santander16',0,19.41
'2015-08-11T08:30:15','santander16',0,19.03
'2015-08-11T08:35:02','santander16',0,19.67
'2015-08-11T08:39:59','santander16',0,19.74
'2015-08-11T08:59:51','santander16',0,20.06
'2015-08-11T09:05:07','santander16',0,20.32
'2015-08-11T09:10:05','santander16',0,20.64
'2015-08-11T09:14:50','santander16',0,20.32
'2015-08-11T09:22:04','santander16',0,20.32
'2015-08-11T09:25:42','santander16',0,20.45
'2015-08-11T09:29:45','santander16',0,20.64
'2015-08-11T09:40:10','santander16',0,20.45
'2015-08-11T09:44:31','santander16',0,20.7
'2015-08-11T09:49:28','santander16',0,20.96
'2015-08-11T09:59:01','santander16',0,20.7
'2015-08-11T10:34:56','santander16',0,21.48
'2015-08-11T10:40:08','santander16',0,21.29
'2015-08-11T10:44:03','santander16',0,21.41
'2015-08-11T10:49:00','santander16',0,21.41
'2015-08-11T10:53:59','santander16',0,21.41
'2015-08-11T11:03:54','santander16',0,21.29
'2015-08-11T11:08:51','santander16',0,21.67
'2015-08-11T11:13:54','santander16',0,21.61
'2015-08-11T11:28:47','santander16',0,21.61
'2015-08-11T12:08:34','santander16',0,22.58
'2015-08-11T12:22:20','santander16',0,23.22
'2015-08-11T12:29:16','santander16',0,23.16
'2015-08-11T12:31:54','santander16',0,22.83
'2015-08-11T12:36:51','santander16',0,22.96
'2015-08-11T12:41:50','santander16',0,23.22
'2015-08-11T13:26:34','santander16',0,23.41
'2015-08-11T14:21:05','santander16',0,24.83
'2015-08-11T17:46:36','santander16',0,23.41
'2015-08-11T18:34:34','santander16',0,23.67
'2015-08-11T18:40:09','santander16',0,24.25
'2015-08-11T18:52:20','santander16',0,25.16
'2015-08-11T19:01:03','santander16',0,24.19
'2015-08-11T19:35:39','santander16',0,22.38
'2015-08-11T20:13:26','santander16',0,22.12
'2015-08-11T20:18:26','santander16',0,22.32
'2015-08-11T20:23:22','santander16',0,22.32
'2015-08-11T20:28:19','santander16',0,22.06
'2015-08-11T20:33:17','santander16',0,21.93
'2015-08-11T20:38:15','santander16',0,22.06
'2015-08-11T20:43:13','santander16',0,22
'2015-08-11T20:48:10','santander16',0,21.93
'2015-08-11T20:53:08','santander16',0,21.61
'2015-08-11T20:58:06','santander16',0,21.61
'2015-08-11T21:03:04','santander16',0,21.8
'2015-08-11T21:08:01','santander16',0,21.93
'2015-08-11T21:12:59','santander16',0,21.8
'2015-08-11T21:17:57','santander16',0,21.67
'2015-08-11T21:22:55','santander16',0,21.8
'2015-08-11T21:27:52','santander16',0,21.67
'2015-08-11T21:33:07','santander16',0,21.61
'2015-08-11T21:37:48','santander16',0,21.61
'2015-08-11T21:42:51','santander16',0,21.67
'2015-08-11T21:47:44','santander16',0,21.8
'2015-08-11T21:52:42','santander16',0,21.67
'2015-08-11T21:57:39','santander16',0,21.74
'2015-08-11T22:02:37','santander16',0,21.48
'2015-08-11T22:07:35','santander16',0,21.67
'2015-08-11T22:12:33','santander16',0,21.61
'2015-08-11T22:17:31','santander16',0,21.48
'2015-08-11T22:22:28','santander16',0,21.35
'2015-08-11T22:27:26','santander16',0,21.48
'2015-08-11T22:32:24','santander16',0,21.29
'2015-08-11T22:37:22','santander16',0,21.35
'2015-08-11T22:42:20','santander16',0,21.35
'2015-08-11T22:47:18','santander16',0,21.35
'2015-08-11T22:52:15','santander16',0,21.22
'2015-08-11T22:57:13','santander16',0,21.09
'2015-08-11T23:02:11','santander16',0,21.03
'2015-08-11T23:07:09','santander16',0,21.16
'2015-08-11T23:12:06','santander16',0,21.09
'2015-08-11T23:17:09','santander16',0,20.96
'2015-08-11T23:22:02','santander16',0,20.9
'2015-08-11T23:26:59','santander16',0,21.03
'2015-08-11T23:31:57','santander16',0,21.16
'2015-08-11T23:40:05','santander16',0,21.09
'2015-08-11T23:43:54','santander16',0,21.03
'2015-08-11T23:46:50','santander16',0,21.03
'2015-08-11T23:51:48','santander16',0,20.9
'2015-08-11T23:56:46','santander16',0,20.83
'2015-08-12T00:01:44','santander16',0,21.16
'2015-08-12T00:16:47','santander16',0,20.96
'2015-08-12T00:21:39','santander16',0,20.96
'2015-08-12T00:26:37','santander16',0,20.83
'2015-08-12T00:31:34','santander16',0,20.77
'2015-08-12T00:36:32','santander16',0,20.7
'2015-08-12T00:41:30','santander16',0,20.96
'2015-08-12T00:46:28','santander16',0,20.83
'2015-08-12T00:51:25','santander16',0,20.58
'2015-08-12T00:56:23','santander16',0,20.9
'2015-08-12T01:01:21','santander16',0,21.09
'2015-08-12T01:06:19','santander16',0,20.96
'2015-08-12T01:11:16','santander16',0,20.77
'2015-08-12T01:16:14','santander16',0,21.09
'2015-08-12T01:29:29','santander16',0,21.03
'2015-08-12T01:31:08','santander16',0,20.83
'2015-08-12T01:36:05','santander16',0,20.77
'2015-08-12T01:41:03','santander16',0,21.03
'2015-08-12T01:46:01','santander16',0,20.96
'2015-08-12T01:51:19','santander16',0,20.64
'2015-08-12T01:55:57','santander16',0,20.7
'2015-08-12T02:01:31','santander16',0,20.7
'2015-08-12T02:07:00','santander16',0,20.7
'2015-08-12T02:10:50','santander16',0,20.77
'2015-08-12T03:30:32','santander16',0,20.12
'2015-08-12T04:13:18','santander16',0,18.96
'2015-08-12T04:14:54','santander16',0,18.96
'2015-08-12T04:19:52','santander16',0,18.58
'2015-08-12T04:24:50','santander16',0,18.7
'2015-08-12T04:31:06','santander16',0,18.96
'2015-08-12T04:34:45','santander16',0,18.58
'2015-08-12T04:39:44','santander16',0,18.77
'2015-08-12T04:44:42','santander16',0,18.77
'2015-08-12T04:52:48','santander16',0,18.77
'2015-08-12T05:49:12','santander16',0,18.25
'2015-08-12T05:59:54','santander16',0,18.12
'2015-08-12T06:04:05','santander16',0,18
'2015-08-12T06:10:00','santander16',0,18.38
'2015-08-12T06:14:01','santander16',0,17.93
'2015-08-12T06:30:50','santander16',0,18
'2015-08-12T06:40:23','santander16',0,18.06
'2015-08-12T06:43:50','santander16',0,17.93
'2015-08-12T06:48:47','santander16',0,18
'2015-08-12T06:53:45','santander16',0,18.19
'2015-08-12T06:58:44','santander16',0,18
'2015-08-12T07:03:41','santander16',0,17.93
'2015-08-12T07:15:33','santander16',0,18.19
'2015-08-12T07:47:06','santander16',0,18.32
'2015-08-12T08:02:30','santander16',0,18.7
'2015-08-12T08:09:03','santander16',0,18.58
'2015-08-12T08:20:28','santander16',0,18.96
'2015-08-12T08:22:04','santander16',0,19.09
'2015-08-12T08:26:49','santander16',0,19.16
'2015-08-12T08:36:16','santander16',0,19.09
'2015-08-12T08:36:44','santander16',0,19.8
'2015-08-12T08:41:42','santander16',0,20.25
'2015-08-12T08:46:39','santander16',0,19.74
'2015-08-12T08:52:46','santander16',0,19.93
'2015-08-12T09:12:07','santander16',0,19.74
'2015-08-12T09:16:27','santander16',0,20.25
'2015-08-12T09:21:29','santander16',0,20.06
'2015-08-12T09:26:22','santander16',0,20.38
'2015-08-12T09:31:20','santander16',0,20.06
'2015-08-12T09:36:17','santander16',0,20.12
'2015-08-12T09:41:15','santander16',0,20.32
'2015-08-12T09:46:13','santander16',0,20.58
'2015-08-12T09:51:10','santander16',0,20.58
'2015-08-12T09:56:08','santander16',0,20.77
'2015-08-12T10:01:06','santander16',0,21.03
'2015-08-12T10:18:14','santander16',0,22.96
'2015-08-12T10:20:57','santander16',0,22.58
'2015-08-12T10:25:55','santander16',0,22.51
'2015-08-12T10:30:53','santander16',0,22.12
'2015-08-12T10:35:51','santander16',0,22.12
'2015-08-12T10:40:48','santander16',0,22.12
'2015-08-12T10:45:47','santander16',0,22.45
'2015-08-12T10:50:45','santander16',0,22.45
'2015-08-12T10:55:49','santander16',0,23.09
'2015-08-12T11:30:27','santander16',0,22.9
'2015-08-12T11:35:24','santander16',0,23.29
'2015-08-12T11:40:23','santander16',0,22.77
'2015-08-12T11:46:46','santander16',0,23.67
'2015-08-12T12:01:11','santander16',0,24.19
'2015-08-12T12:10:55','santander16',0,23.8
'2015-08-12T12:15:06','santander16',0,23.93
'2015-08-12T12:26:06','santander16',0,23.87
'2015-08-12T12:30:02','santander16',0,23.61
'2015-08-12T12:34:57','santander16',0,24.25
'2015-08-12T12:40:00','santander16',0,24.12
'2015-08-12T12:44:53','santander16',0,23.67
'2015-08-12T13:36:13','santander16',0,24
'2015-08-12T13:46:36','santander16',0,23.67
'2015-08-12T14:19:11','santander16',0,24.38
'2015-08-12T14:24:27','santander16',0,24.19
'2015-08-12T14:29:06','santander16',0,24.19
'2015-08-12T14:48:57','santander16',0,23.29
'2015-08-12T14:53:56','santander16',0,24.45
'2015-08-12T14:58:55','santander16',0,23.29
'2015-08-12T16:18:17','santander16',0,23.22
'2015-08-12T16:23:15','santander16',0,23.61
'2015-08-12T16:28:13','santander16',0,23.16
'2015-08-12T16:33:11','santander16',0,23.22
'2015-08-12T16:38:08','santander16',0,22.9
'2015-08-12T16:43:06','santander16',0,22.83
'2015-08-12T16:48:04','santander16',0,23.22
'2015-08-12T16:53:02','santander16',0,23.54
'2015-08-12T16:58:00','santander16',0,23.61
'2015-08-12T17:02:57','santander16',0,23.8
'2015-08-12T17:07:55','santander16',0,24.77
'2015-08-12T17:12:53','santander16',0,24.96
'2015-08-12T17:17:51','santander16',0,23.54
'2015-08-12T17:22:48','santander16',0,23.29
'2015-08-12T17:27:50','santander16',0,23.54
'2015-08-12T17:32:44','santander16',0,24.83
'2015-08-12T17:37:42','santander16',0,23.61
'2015-08-12T17:42:40','santander16',0,23.48
'2015-08-12T17:47:37','santander16',0,23.22
'2015-08-12T17:52:36','santander16',0,23.29
'2015-08-12T18:03:54','santander16',0,24.51
'2015-08-12T18:07:29','santander16',0,23.54
'2015-08-12T18:28:00','santander16',0,22.96
'2015-08-12T18:40:08','santander16',0,22.96
'2015-08-12T19:46:44','santander16',0,22.12
'2015-08-12T19:51:43','santander16',0,21.74
'2015-08-12T20:14:50','santander16',0,21.74
'2015-08-12T20:31:24','santander16',0,21.41
'2015-08-12T20:32:50','santander16',0,21.16
'2015-08-12T22:20:40','santander16',0,21.29
'2015-08-12T23:20:12','santander16',0,20.77
'2015-08-12T23:29:36','santander16',0,20.7
'2015-08-12T23:31:46','santander16',0,20.7
'2015-08-13T00:34:39','santander16',0,19.54
'2015-08-13T00:45:41','santander16',0,19.87
'2015-08-13T00:55:14','santander16',0,20
'2015-08-13T00:55:35','santander16',0,19.67
'2015-08-13T01:02:05','santander16',0,19.61
'2015-08-13T01:40:19','santander16',0,19.8
'2015-08-13T01:44:25','santander16',0,19.8
'2015-08-13T02:49:35','santander16',0,20
'2015-08-13T03:12:20','santander16',0,20.06
'2015-08-13T03:17:50','santander16',0,20.38
'2015-08-13T06:30:46','santander16',0,19.93
'2015-08-13T08:40:00','santander16',0,17.16
'2015-08-13T09:31:45','santander16',0,17.61
'2015-08-13T09:35:19','santander16',0,17.41
'2015-08-13T09:42:48','santander16',0,17.74
'2015-08-13T11:07:20','santander16',0,21.29
'2015-08-13T11:11:43','santander16',0,21.35
'2015-08-13T11:13:42','santander16',0,21.09
'2015-08-13T13:24:30','santander16',0,22.96
'2015-08-13T14:00:45','santander16',0,23.87
'2015-08-13T14:02:38','santander16',0,23.8
'2015-08-13T14:42:52','santander16',0,21.03
'2015-08-13T14:47:09','santander16',0,19.09
'2015-08-13T18:32:11','santander16',0,20.32
'2015-08-13T19:41:46','santander16',0,19.35
'2015-08-14T01:37:58','santander16',0,17.74
'2015-08-14T01:55:58','santander16',0,17.8
'2015-08-14T03:22:03','santander16',0,17.220
'2015-08-14T04:20:02','santander16',0,16.510
'2015-08-14T04:25:35','santander16',0,16.580
