timestamp,mote_id,has_fault_type,temperature
'2007-09-26T02:02:00','29',0,-0.490
'2007-09-26T02:04:00','29',0,-0.860
'2007-09-26T02:06:00','29',0,-0.620
'2007-09-26T02:08:00','29',0,-0.390
'2007-09-26T02:10:00','29',0,-0.930
'2007-09-26T02:12:00','29',0,-0.290
'2007-09-26T02:14:00','29',0,-0.400
'2007-09-26T02:16:00','29',0,-0.280
'2007-09-26T02:18:00','29',0,-0.520
'2007-09-26T02:20:00','29',0,-1.000
'2007-09-26T02:22:00','29',0,-0.820
'2007-09-26T02:24:00','29',0,-0.880
'2007-09-26T02:26:00','29',0,-0.690
'2007-09-26T02:28:00','29',0,-0.860
'2007-09-26T02:30:00','29',0,-1.100
'2007-09-26T02:32:00','29',0,-0.860
'2007-09-26T02:34:00','29',0,-0.860
'2007-09-26T02:36:00','29',0,-0.860
'2007-09-26T02:38:00','29',0,0.200
'2007-09-26T02:40:00','29',0,-0.580
'2007-09-26T02:42:00','29',0,-0.520
'2007-09-26T02:44:00','29',0,-0.560
'2007-09-26T02:46:00','29',0,-0.660
'2007-09-26T02:48:00','29',0,-0.580
'2007-09-26T02:50:00','29',0,-0.590
'2007-09-26T02:52:00','29',0,-0.720
'2007-09-26T02:54:00','29',0,-0.970
'2007-09-26T02:56:00','29',0,-0.930
'2007-09-26T02:58:00','29',0,-0.740
'2007-09-26T03:00:00','29',0,-0.700
'2007-09-26T03:02:00','29',0,-0.780
'2007-09-26T03:04:00','29',0,-0.880
'2007-09-26T03:06:00','29',0,-1.260
'2007-09-26T03:08:00','29',0,-0.680
'2007-09-26T03:10:00','29',0,-0.900
'2007-09-26T03:12:00','29',0,-1.060
'2007-09-26T03:14:00','29',0,-1.020
'2007-09-26T03:16:00','29',0,-0.910
'2007-09-26T03:18:00','29',0,-0.940
'2007-09-26T03:20:00','29',0,-0.600
'2007-09-26T03:22:00','29',0,-0.740
'2007-09-26T03:24:00','29',0,-0.760
'2007-09-26T03:26:00','29',0,-0.940
'2007-09-26T03:28:00','29',0,-0.370
'2007-09-26T03:30:00','29',0,-1.180
'2007-09-26T03:32:00','29',0,-0.920
'2007-09-26T03:34:00','29',0,-0.650
'2007-09-26T03:36:00','29',0,-0.610
'2007-09-26T03:38:00','29',0,-1.080
'2007-09-26T03:40:00','29',0,-0.710
'2007-09-26T03:42:00','29',0,-1.190
'2007-09-26T03:44:00','29',0,-1.270
'2007-09-26T03:46:00','29',0,-1.040
'2007-09-26T03:48:00','29',0,-1.460
'2007-09-26T03:50:00','29',0,-1.240
'2007-09-26T03:52:00','29',0,-1.120
'2007-09-26T03:54:00','29',0,-0.940
'2007-09-26T03:56:00','29',0,-1.040
'2007-09-26T03:58:00','29',0,-1.360
'2007-09-26T04:00:00','29',0,-1.820
'2007-09-26T04:02:00','29',0,-1.420
'2007-09-26T04:04:00','29',0,-1.480
'2007-09-26T04:06:00','29',0,-1.770
'2007-09-26T04:08:00','29',0,-1.820
'2007-09-26T04:10:00','29',0,-1.660
'2007-09-26T04:12:00','29',0,-1.530
'2007-09-26T04:14:00','29',0,-1.800
'2007-09-26T04:16:00','29',0,-1.700
'2007-09-26T04:18:00','29',0,-1.320
'2007-09-26T04:20:00','29',0,-1.490
'2007-09-26T04:22:00','29',0,-1.220
'2007-09-26T04:24:00','29',0,-1.520
'2007-09-26T04:26:00','29',0,-1.400
'2007-09-26T04:28:00','29',0,-1.750
'2007-09-26T04:30:00','29',0,-1.520
'2007-09-26T04:32:00','29',0,-1.580
'2007-09-26T04:34:00','29',0,-1.410
'2007-09-26T04:36:00','29',0,-1.530
'2007-09-26T04:38:00','29',0,-1.480
'2007-09-26T04:40:00','29',0,-1.520
'2007-09-26T04:42:00','29',0,-1.660
'2007-09-26T04:44:00','29',0,-1.520
'2007-09-26T04:46:00','29',0,-1.440
'2007-09-26T04:48:00','29',0,-1.380
'2007-09-26T04:50:00','29',0,-1.100
'2007-09-26T04:52:00','29',0,-1.370
'2007-09-26T04:54:00','29',0,-1.320
'2007-09-26T04:56:00','29',0,-1.600
'2007-09-26T04:58:00','29',0,-1.950
'2007-09-26T05:00:00','29',0,-1.460
'2007-09-26T05:02:00','29',0,-1.920
'2007-09-26T05:04:00','29',0,-1.760
'2007-09-26T05:06:00','29',0,-1.920
'2007-09-26T05:08:00','29',0,-1.620
'2007-09-26T05:10:00','29',0,-2.040
'2007-09-26T05:12:00','29',0,-2.080
'2007-09-26T05:14:00','29',0,-1.690
'2007-09-26T05:16:00','29',0,-1.820
'2007-09-26T05:18:00','29',0,-1.860
'2007-09-26T05:20:00','29',0,-1.800
'2007-09-26T05:22:00','29',0,-1.960
'2007-09-26T05:24:00','29',0,-1.980
'2007-09-26T05:26:00','29',0,-1.780
'2007-09-26T05:28:00','29',0,-2.040
'2007-09-26T05:30:00','29',0,-1.880
'2007-09-26T05:32:00','29',0,-1.860
'2007-09-26T05:34:00','29',0,-2.110
'2007-09-26T05:36:00','29',0,-1.630
'2007-09-26T05:38:00','29',0,-1.640
'2007-09-26T05:40:00','29',0,-1.960
'2007-09-26T05:42:00','29',0,-2.050
'2007-09-26T05:44:00','29',0,-1.980
'2007-09-26T05:46:00','29',0,-2.130
'2007-09-26T05:48:00','29',0,-2.080
'2007-09-26T05:50:00','29',0,-2.150
'2007-09-26T05:52:00','29',0,-1.950
'2007-09-26T05:54:00','29',0,-2.040
'2007-09-26T05:56:00','29',0,-1.970
'2007-09-26T05:58:00','29',0,-1.920
'2007-09-26T06:00:00','29',0,-2.130
'2007-09-26T06:02:00','29',0,-1.950
'2007-09-26T06:04:00','29',0,-1.860
'2007-09-26T06:06:00','29',0,-1.710
'2007-09-26T06:08:00','29',0,-1.800
'2007-09-26T06:10:00','29',0,-1.840
'2007-09-26T06:12:00','29',0,-2.100
'2007-09-26T06:14:00','29',0,-1.960
'2007-09-26T06:16:00','29',0,-2.040
'2007-09-26T06:18:00','29',0,-2.390
'2007-09-26T06:20:00','29',0,-2.260
'2007-09-26T06:22:00','29',0,-2.100
'2007-09-26T06:24:00','29',0,-2.040
