timestamp,mote_id,has_fault_type,temperature
'2007-09-20T20:50:00','17',0,3.460
'2007-09-20T20:52:00','17',0,3.360
'2007-09-20T20:54:00','17',0,3.340
'2007-09-20T20:56:00','17',0,3.130
'2007-09-20T20:58:00','17',0,2.980
'2007-09-20T21:00:00','17',0,2.940
'2007-09-20T21:02:00','17',0,3.360
'2007-09-20T21:04:00','17',0,3.320
'2007-09-20T21:06:00','17',0,3.410
'2007-09-20T21:08:00','17',0,3.560
'2007-09-20T21:10:00','17',0,3.800
'2007-09-20T21:12:00','17',0,4.010
'2007-09-20T21:14:00','17',0,3.650
'2007-09-20T21:16:00','17',0,3.870
'2007-09-20T21:18:00','17',0,3.830
'2007-09-20T21:20:00','17',0,4.100
'2007-09-20T21:22:00','17',0,4.060
'2007-09-20T21:24:00','17',0,3.920
'2007-09-20T21:26:00','17',0,3.740
'2007-09-20T21:28:00','17',0,3.760
'2007-09-20T21:30:00','17',0,3.800
'2007-09-20T21:32:00','17',0,3.730
'2007-09-20T21:34:00','17',0,3.820
'2007-09-20T21:36:00','17',0,3.880
'2007-09-20T21:38:00','17',0,3.700
'2007-09-20T21:40:00','17',0,3.610
'2007-09-20T21:42:00','17',0,3.500
'2007-09-20T21:44:00','17',0,3.430
'2007-09-20T21:46:00','17',0,3.220
'2007-09-20T21:48:00','17',0,3.340
'2007-09-20T21:50:00','17',0,3.400
'2007-09-20T21:52:00','17',0,3.610
'2007-09-20T21:54:00','17',0,3.500
'2007-09-20T21:56:00','17',0,3.990
'2007-09-20T21:58:00','17',0,3.850
'2007-09-20T22:00:00','17',0,3.920
'2007-09-20T22:02:00','17',0,3.810
'2007-09-20T22:04:00','17',0,3.670
'2007-09-20T22:06:00','17',0,3.860
'2007-09-20T22:08:00','17',0,3.860
'2007-09-20T22:10:00','17',0,3.700
'2007-09-20T22:12:00','17',0,3.720
'2007-09-20T22:14:00','17',0,3.660
'2007-09-20T22:16:00','17',0,3.780
'2007-09-20T22:18:00','17',0,3.950
'2007-09-20T22:20:00','17',0,4.040
'2007-09-20T22:22:00','17',0,3.840
'2007-09-20T22:24:00','17',0,3.780
'2007-09-20T22:26:00','17',0,3.820
'2007-09-20T22:28:00','17',0,3.830
'2007-09-20T22:30:00','17',0,4.120
'2007-09-20T22:32:00','17',0,4.060
'2007-09-20T22:34:00','17',0,3.890
'2007-09-20T22:36:00','17',0,3.730
'2007-09-20T22:38:00','17',0,4.040
'2007-09-20T22:40:00','17',0,4.100
'2007-09-20T22:42:00','17',0,3.960
'2007-09-20T22:44:00','17',0,4.200
'2007-09-20T22:46:00','17',0,4.300
'2007-09-20T22:48:00','17',0,4.300
'2007-09-20T22:50:00','17',0,4.420
'2007-09-20T22:52:00','17',0,4.460
'2007-09-20T22:54:00','17',0,4.500
'2007-09-20T22:56:00','17',0,4.360
'2007-09-20T22:58:00','17',0,4.340
'2007-09-20T23:00:00','17',0,4.350
'2007-09-20T23:02:00','17',0,4.330
'2007-09-20T23:04:00','17',0,4.190
'2007-09-20T23:06:00','17',0,4.080
'2007-09-20T23:08:00','17',0,4.100
'2007-09-20T23:10:00','17',0,4.040
'2007-09-20T23:12:00','17',0,4.160
'2007-09-20T23:14:00','17',0,4.080
'2007-09-20T23:16:00','17',0,4.180
'2007-09-20T23:18:00','17',0,4.140
'2007-09-20T23:20:00','17',0,4.080
'2007-09-20T23:22:00','17',0,4.080
'2007-09-20T23:24:00','17',0,3.740
'2007-09-20T23:26:00','17',0,4.080
'2007-09-20T23:28:00','17',0,4.150
'2007-09-20T23:30:00','17',0,4.160
'2007-09-20T23:32:00','17',0,3.900
'2007-09-20T23:34:00','17',0,3.920
'2007-09-20T23:36:00','17',0,3.980
