set_id,timestamp,mote_id,has_fault_type,temperature
49,'2007-09-26T02:02:05',29,0,-0.49
49,'2007-09-26T02:04:05',29,0,-0.86
49,'2007-09-26T02:06:05',29,0,-0.62
49,'2007-09-26T02:08:05',29,0,-0.39
49,'2007-09-26T02:10:05',29,0,-0.93
49,'2007-09-26T02:12:05',29,0,-0.29
49,'2007-09-26T02:14:05',29,0,-0.4
49,'2007-09-26T02:16:05',29,0,-0.28
49,'2007-09-26T02:18:05',29,0,-0.52
49,'2007-09-26T02:20:05',29,0,-1
49,'2007-09-26T02:22:05',29,0,-0.82
49,'2007-09-26T02:24:05',29,0,-0.88
49,'2007-09-26T02:26:05',29,0,-0.69
49,'2007-09-26T02:28:05',29,0,-0.86
49,'2007-09-26T02:30:05',29,0,-1.1
49,'2007-09-26T02:32:05',29,0,-0.86
49,'2007-09-26T02:34:05',29,0,-0.86
49,'2007-09-26T02:36:05',29,0,-0.86
49,'2007-09-26T02:38:05',29,0,0.2
49,'2007-09-26T02:40:05',29,0,-0.58
49,'2007-09-26T02:42:05',29,0,-0.52
49,'2007-09-26T02:44:05',29,0,-0.56
49,'2007-09-26T02:46:05',29,0,-0.66
49,'2007-09-26T02:48:05',29,0,-0.58
49,'2007-09-26T02:50:05',29,0,-0.59
49,'2007-09-26T02:52:05',29,0,-0.72
49,'2007-09-26T02:54:05',29,0,-0.97
49,'2007-09-26T02:56:05',29,0,-0.93
49,'2007-09-26T02:58:05',29,0,-0.74
49,'2007-09-26T03:00:05',29,0,-0.7
49,'2007-09-26T03:02:05',29,0,-0.78
49,'2007-09-26T03:04:05',29,0,-0.88
49,'2007-09-26T03:06:05',29,0,-1.26
49,'2007-09-26T03:08:05',29,0,-0.68
49,'2007-09-26T03:10:05',29,0,-0.9
49,'2007-09-26T03:12:05',29,0,-1.06
49,'2007-09-26T03:14:05',29,0,-1.02
49,'2007-09-26T03:16:05',29,0,-0.91
49,'2007-09-26T03:18:05',29,0,-0.94
49,'2007-09-26T03:20:05',29,0,-0.6
49,'2007-09-26T03:22:05',29,0,-0.74
49,'2007-09-26T03:24:05',29,0,-0.76
49,'2007-09-26T03:26:05',29,0,-0.94
49,'2007-09-26T03:28:05',29,0,-0.37
49,'2007-09-26T03:30:05',29,0,-1.18
49,'2007-09-26T03:32:05',29,0,-0.92
49,'2007-09-26T03:34:05',29,0,-0.65
49,'2007-09-26T03:36:05',29,0,-0.61
49,'2007-09-26T03:38:05',29,0,-1.08
49,'2007-09-26T03:40:05',29,0,-0.71
49,'2007-09-26T03:42:05',29,0,-1.19
49,'2007-09-26T03:44:05',29,0,-1.27
49,'2007-09-26T03:46:05',29,0,-1.04
49,'2007-09-26T03:48:05',29,0,-1.46
49,'2007-09-26T03:50:05',29,0,-1.24
49,'2007-09-26T03:52:05',29,0,-1.12
49,'2007-09-26T03:54:05',29,0,-0.94
49,'2007-09-26T03:56:05',29,0,-1.04
49,'2007-09-26T03:58:05',29,0,-1.36
49,'2007-09-26T04:00:05',29,0,-1.82
49,'2007-09-26T04:02:05',29,0,-1.42
49,'2007-09-26T04:04:05',29,0,-1.48
49,'2007-09-26T04:06:05',29,0,-1.77
49,'2007-09-26T04:08:05',29,0,-1.82
49,'2007-09-26T04:10:05',29,0,-1.66
49,'2007-09-26T04:12:05',29,0,-1.53
49,'2007-09-26T04:14:05',29,0,-1.8
49,'2007-09-26T04:16:05',29,0,-1.7
49,'2007-09-26T04:18:05',29,0,-1.32
49,'2007-09-26T04:20:05',29,0,-1.49
49,'2007-09-26T04:22:05',29,0,-1.22
49,'2007-09-26T04:24:05',29,0,-1.52
49,'2007-09-26T04:26:05',29,0,-1.4
49,'2007-09-26T04:28:05',29,0,-1.75
49,'2007-09-26T04:30:05',29,0,-1.52
49,'2007-09-26T04:32:05',29,0,-1.58
49,'2007-09-26T04:34:05',29,0,-1.41
49,'2007-09-26T04:36:05',29,0,-1.53
49,'2007-09-26T04:38:05',29,0,-1.48
49,'2007-09-26T04:40:05',29,0,-1.52
49,'2007-09-26T04:42:05',29,0,-1.66
49,'2007-09-26T04:44:05',29,0,-1.52
49,'2007-09-26T04:46:05',29,0,-1.44
49,'2007-09-26T04:48:05',29,0,-1.38
49,'2007-09-26T04:50:05',29,0,-1.1
49,'2007-09-26T04:52:05',29,0,-1.37
49,'2007-09-26T04:54:05',29,0,-1.32
49,'2007-09-26T04:56:05',29,0,-1.6
49,'2007-09-26T04:58:05',29,0,-1.95
49,'2007-09-26T05:00:05',29,0,-1.46
49,'2007-09-26T05:02:05',29,0,-1.92
49,'2007-09-26T05:04:05',29,0,-1.76
49,'2007-09-26T05:06:05',29,0,-1.92
49,'2007-09-26T05:08:05',29,0,-1.62
49,'2007-09-26T05:10:05',29,0,-2.04
49,'2007-09-26T05:12:05',29,0,-2.08
49,'2007-09-26T05:14:05',29,0,-1.69
49,'2007-09-26T05:16:05',29,0,-1.82
49,'2007-09-26T05:18:05',29,0,-1.86
49,'2007-09-26T05:20:05',29,0,-1.8
49,'2007-09-26T05:22:05',29,0,-1.96
49,'2007-09-26T05:24:05',29,0,-1.98
49,'2007-09-26T05:26:05',29,0,-1.78
49,'2007-09-26T05:28:05',29,0,-2.04
49,'2007-09-26T05:30:05',29,0,-1.88
49,'2007-09-26T05:32:05',29,0,-1.86
49,'2007-09-26T05:34:05',29,0,-2.11
49,'2007-09-26T05:36:05',29,0,-1.63
49,'2007-09-26T05:38:05',29,0,-1.64
49,'2007-09-26T05:40:05',29,0,-1.96
49,'2007-09-26T05:42:05',29,0,-2.05
49,'2007-09-26T05:44:05',29,0,-1.98
49,'2007-09-26T05:46:05',29,0,-2.13
49,'2007-09-26T05:48:05',29,0,-2.08
49,'2007-09-26T05:50:05',29,0,-2.15
49,'2007-09-26T05:52:05',29,0,-1.95
49,'2007-09-26T05:54:05',29,0,-2.04
49,'2007-09-26T05:56:05',29,0,-1.97
49,'2007-09-26T05:58:05',29,0,-1.92
49,'2007-09-26T06:00:05',29,0,-2.13
49,'2007-09-26T06:02:05',29,0,-1.95
49,'2007-09-26T06:04:05',29,0,-1.86
49,'2007-09-26T06:06:05',29,0,-1.71
49,'2007-09-26T06:08:05',29,0,-1.8
49,'2007-09-26T06:10:05',29,0,-1.84
49,'2007-09-26T06:12:05',29,0,-2.1
49,'2007-09-26T06:14:05',29,0,-1.96
49,'2007-09-26T06:16:05',29,0,-2.04
49,'2007-09-26T06:18:05',29,0,-2.39
49,'2007-09-26T06:20:05',29,0,-2.26
49,'2007-09-26T06:22:05',29,0,-2.1
49,'2007-09-26T06:24:04',29,0,-2.04
49,'2007-09-26T06:26:04',29,0,-2.25
49,'2007-09-26T06:28:05',29,0,-1.89
49,'2007-09-26T06:30:05',29,0,-1.84
49,'2007-09-26T06:32:04',29,0,-2.1
49,'2007-09-26T06:34:04',29,0,-1.92
49,'2007-09-26T06:36:04',29,0,-2.18
49,'2007-09-26T06:38:05',29,0,-2.04
49,'2007-09-26T06:40:05',29,0,-1.88
49,'2007-09-26T06:42:05',29,0,-2.22
49,'2007-09-26T06:44:04',29,0,-1.9
49,'2007-09-26T06:46:04',29,0,-2.02
49,'2007-09-26T06:48:05',29,0,-2.01
49,'2007-09-26T06:50:05',29,0,-2.34
49,'2007-09-26T06:52:05',29,0,-2.02
49,'2007-09-26T06:54:04',29,0,-2.2
49,'2007-09-26T06:56:04',29,0,-1.96
49,'2007-09-26T06:58:05',29,0,-2.03
49,'2007-09-26T07:00:05',29,0,-2.18
49,'2007-09-26T07:04:04',29,0,-2
49,'2007-09-26T07:06:04',29,0,-2.12
49,'2007-09-26T07:08:05',29,0,-2
49,'2007-09-26T07:10:05',29,0,-1.94
49,'2007-09-26T07:12:04',29,0,-2.22
49,'2007-09-26T07:14:04',29,0,-2.45
49,'2007-09-26T07:16:05',29,0,-2.21
49,'2007-09-26T07:18:05',29,0,-2.22
49,'2007-09-26T07:20:05',29,0,-2.38
49,'2007-09-26T07:22:05',29,0,-1.92
49,'2007-09-26T07:24:04',29,0,-1.87
49,'2007-09-26T07:26:04',29,0,-2.05
49,'2007-09-26T07:28:04',29,0,-2.18
49,'2007-09-26T07:30:04',29,0,-2.14
49,'2007-09-26T07:32:04',29,0,-2
49,'2007-09-26T07:34:04',29,0,-1.94
49,'2007-09-26T07:36:04',29,0,-2.18
49,'2007-09-26T07:38:04',29,0,-2.22
49,'2007-09-26T07:40:04',29,0,-1.92
49,'2007-09-26T07:42:04',29,0,-2.1
49,'2007-09-26T07:44:04',29,0,-2.2
49,'2007-09-26T07:46:04',29,0,-2.24
49,'2007-09-26T07:48:04',29,0,-2.4
49,'2007-09-26T07:50:04',29,0,-2.26
49,'2007-09-26T07:52:04',29,0,-2.04
