set_id,timestamp,mote_id,has_fault_type,temperature
43,'2007-09-15T00:06:13',20,0,6.14
43,'2007-09-15T00:08:13',20,0,6.04
43,'2007-09-15T00:10:13',20,0,6.06
43,'2007-09-15T00:12:13',20,0,5.96
43,'2007-09-15T00:14:13',20,0,5.86
43,'2007-09-15T00:16:13',20,0,5.82
43,'2007-09-15T00:18:13',20,0,5.78
43,'2007-09-15T00:20:13',20,0,5.74
43,'2007-09-15T00:22:13',20,0,5.66
43,'2007-09-15T00:24:13',20,0,5.76
43,'2007-09-15T00:26:13',20,0,5.76
43,'2007-09-15T00:28:13',20,0,5.79
43,'2007-09-15T00:30:13',20,0,5.92
43,'2007-09-15T00:32:13',20,0,5.82
43,'2007-09-15T00:34:13',20,0,5.7
43,'2007-09-15T00:36:13',20,0,5.8
43,'2007-09-15T00:38:13',20,0,5.78
43,'2007-09-15T00:40:13',20,0,5.84
43,'2007-09-15T00:42:13',20,0,5.85
43,'2007-09-15T00:44:13',20,0,5.75
43,'2007-09-15T00:46:13',20,0,5.8
43,'2007-09-15T00:48:13',20,0,5.78
43,'2007-09-15T00:50:13',20,0,5.84
43,'2007-09-15T00:52:13',20,0,5.8
43,'2007-09-15T00:54:13',20,0,5.76
43,'2007-09-15T00:56:13',20,0,5.76
43,'2007-09-15T00:58:13',20,0,5.7
43,'2007-09-15T01:00:13',20,0,5.72
43,'2007-09-15T01:02:13',20,0,5.73
43,'2007-09-15T01:04:13',20,0,5.67
43,'2007-09-15T01:06:13',20,0,5.75
43,'2007-09-15T01:08:13',20,0,5.62
43,'2007-09-15T01:10:13',20,0,5.64
43,'2007-09-15T01:12:13',20,0,5.56
43,'2007-09-15T01:14:13',20,0,5.52
43,'2007-09-15T01:16:13',20,0,5.47
43,'2007-09-15T01:18:13',20,0,5.44
43,'2007-09-15T01:20:13',20,0,5.14
43,'2007-09-15T01:22:13',20,0,5.02
43,'2007-09-15T01:24:13',20,0,5.08
43,'2007-09-15T01:26:13',20,0,5.11
43,'2007-09-15T01:28:13',20,0,5.24
43,'2007-09-15T01:30:13',20,0,5.28
43,'2007-09-15T01:32:13',20,0,5.38
43,'2007-09-15T01:34:13',20,0,5.44
43,'2007-09-15T01:36:13',20,0,5.44
43,'2007-09-15T01:38:13',20,8,1.5828
43,'2007-09-15T01:40:13',20,8,0.26787
43,'2007-09-15T01:42:13',20,8,0.30409
43,'2007-09-15T01:44:13',20,8,-0.47934
43,'2007-09-15T01:46:13',20,8,-0.33893
43,'2007-09-15T01:48:13',20,8,0.023052
43,'2007-09-15T01:50:13',20,8,-0.82261
43,'2007-09-15T01:52:13',20,8,1.3354
43,'2007-09-15T01:54:13',20,8,1.3376
43,'2007-09-15T01:56:13',20,8,0.030049
43,'2007-09-15T01:58:13',20,8,0.39154
43,'2007-09-15T02:00:13',20,8,0.88249
43,'2007-09-15T02:02:13',20,8,1.9213
43,'2007-09-15T02:04:13',20,8,0.74869
43,'2007-09-15T02:06:13',20,8,0.42842
43,'2007-09-15T02:08:12',20,8,-1.2198
43,'2007-09-15T02:10:12',20,8,-1.5768
43,'2007-09-15T02:12:13',20,8,1.2345
43,'2007-09-15T02:14:13',20,8,-0.14012
43,'2007-09-15T02:16:13',20,8,-0.95169
43,'2007-09-15T02:18:12',20,8,-1.3565
43,'2007-09-15T02:20:12',20,8,-0.67268
43,'2007-09-15T02:22:12',20,8,1.0354
43,'2007-09-15T02:24:12',20,8,-0.20196
43,'2007-09-15T02:26:12',20,8,0.60074
43,'2007-09-15T02:28:13',20,8,-0.45533
43,'2007-09-15T02:30:13',20,8,1.1443
43,'2007-09-15T02:32:13',20,8,0.24418
43,'2007-09-15T02:34:13',20,8,1.8243
43,'2007-09-15T02:36:13',20,8,-0.59512
43,'2007-09-15T02:38:13',20,8,-0.11868
43,'2007-09-15T02:40:13',20,8,-0.21271
43,'2007-09-15T02:42:13',20,8,-0.054508
43,'2007-09-15T02:44:13',20,8,-1.0022
43,'2007-09-15T02:46:13',20,8,0.8892
43,'2007-09-15T02:48:13',20,8,0.20126
43,'2007-09-15T02:50:13',20,8,-2.3116
43,'2007-09-15T02:52:13',20,8,0.83853
43,'2007-09-15T02:54:13',20,8,-0.27787
43,'2007-09-15T02:56:13',20,8,0.62304
43,'2007-09-15T02:58:13',20,8,-1.3149
43,'2007-09-15T03:00:13',20,8,-1.9201
43,'2007-09-15T03:02:13',20,8,0.29423
43,'2007-09-15T03:04:13',20,8,-0.14922
43,'2007-09-15T03:06:13',20,8,-0.64753
43,'2007-09-15T03:08:11',20,8,-0.48003
43,'2007-09-15T03:10:11',20,8,0.7689
43,'2007-09-15T03:12:11',20,8,-0.50332
43,'2007-09-15T03:14:12',20,8,-0.019888
43,'2007-09-15T03:16:13',20,8,0.26822
43,'2007-09-15T03:18:11',20,8,-0.72593
43,'2007-09-15T03:20:12',20,8,-1.338
43,'2007-09-15T03:22:11',20,8,0.36137
43,'2007-09-15T03:24:12',20,8,-1.2733
43,'2007-09-15T03:26:11',20,8,-0.47253
43,'2007-09-15T03:28:12',20,8,-0.27558
43,'2007-09-15T03:30:12',20,8,0.39523
43,'2007-09-15T03:32:11',20,8,0.24814
