set_id,timestamp,mote_id,has_fault_type,light,temperature
1,'2007-09-15T00:56:12',2,32,-1,5.39
1,'2007-09-15T00:58:12',2,32,-1,5.3469
1,'2007-09-15T01:00:12',2,32,-1,5.1737
1,'2007-09-15T01:02:12',2,32,-1,5.5606
1,'2007-09-15T01:04:12',2,32,-1,5.3274
1,'2007-09-15T01:06:12',2,32,-1,5.2343
1,'2007-09-15T01:08:12',2,32,-1,5.0511
1,'2007-09-15T01:10:12',2,32,-1,5.028
1,'2007-09-15T01:12:12',2,32,-1,5.0548
1,'2007-09-15T01:14:12',2,32,-1,5.1017
1,'2007-09-15T01:16:12',2,32,-1,5.1885
1,'2007-09-15T01:18:12',2,32,-1,5.1154
1,'2007-09-15T01:20:12',2,32,-1,5.4622
1,'2007-09-15T01:22:12',2,32,-1,5.5791
1,'2007-09-15T01:24:12',2,32,-1,5.3159
1,'2007-09-15T01:26:12',2,32,-1,5.2928
1,'2007-09-15T01:28:12',2,32,-1,5.5796
1,'2007-09-15T01:30:12',2,32,-1,5.7165
1,'2007-09-15T01:32:12',2,32,-1,6.2033
1,'2007-09-15T01:34:12',2,32,-1,6.1902
1,'2007-09-15T01:36:12',2,32,-1,6.127
1,'2007-09-15T01:38:12',2,32,-1,6.1639
1,'2007-09-15T01:40:12',2,32,-1,5.9907
1,'2007-09-15T01:42:12',2,32,-1,6.1176
1,'2007-09-15T01:44:12',2,32,-1,6.1144
1,'2007-09-15T01:46:12',2,32,-1,5.8713
1,'2007-09-15T01:48:12',2,32,-1,6.0181
1,'2007-09-15T01:50:12',2,32,-1,6.005
1,'2007-09-15T01:52:12',2,32,-1,6.1218
1,'2007-09-15T01:54:12',2,32,-1,6.0287
1,'2007-09-15T01:56:12',2,32,-1,5.8256
1,'2007-09-15T01:58:12',2,32,-1,5.7524
1,'2007-09-15T02:00:12',2,32,-1,6.0793
1,'2007-09-15T02:02:12',2,32,-1,5.9861
1,'2007-09-15T02:04:12',2,32,-1,6.123
1,'2007-09-15T02:06:12',2,32,-1,6.0198
1,'2007-09-15T02:08:12',2,32,-1,6.0467
1,'2007-09-15T02:10:12',2,32,-1,5.9135
1,'2007-09-15T02:12:12',2,32,-1,5.9304
1,'2007-09-15T02:14:12',2,32,-1,5.9872
1,'2007-09-15T02:16:12',2,32,-1,5.8941
1,'2007-09-15T02:18:12',2,32,-1,5.8409
1,'2007-09-15T02:20:12',2,32,-1,5.8478
1,'2007-09-15T02:22:12',2,32,-1,5.7746
1,'2007-09-15T02:24:12',2,32,-1,5.8015
1,'2007-09-15T02:26:12',2,32,-1,5.7883
1,'2007-09-15T02:28:12',2,32,-1,5.8552
1,'2007-09-15T02:30:12',2,32,-1,5.962
1,'2007-09-15T02:32:12',2,32,-1,5.9689
1,'2007-09-15T02:34:12',2,32,-1,5.8957
1,'2007-09-15T02:36:12',2,32,-1,5.9226
1,'2007-09-15T02:38:12',2,32,-1,5.9394
1,'2007-09-15T02:40:12',2,32,-1,6.0163
1,'2007-09-15T02:42:12',2,32,-1,5.9531
1,'2007-09-15T02:44:12',2,32,-1,5.78
1,'2007-09-15T02:46:12',2,32,-1,5.8568
1,'2007-09-15T02:48:12',2,32,-1,5.8837
1,'2007-09-15T02:50:12',2,32,-1,6.0105
1,'2007-09-15T02:52:12',2,32,-1,6.0374
1,'2007-09-15T02:54:12',2,32,-1,6.0443
1,'2007-09-15T02:56:12',2,32,-1,5.8111
1,'2007-09-15T02:58:12',2,32,-1,5.838
1,'2007-09-15T03:00:12',2,32,-1,5.8148
1,'2007-09-15T03:02:12',2,32,-1,5.8317
1,'2007-09-15T03:04:12',2,32,-1,5.7785
1,'2007-09-15T03:06:12',2,32,-1,5.8154
1,'2007-09-15T03:08:12',2,32,-1,5.7922
1,'2007-09-15T03:10:12',2,32,-1,5.7491
1,'2007-09-15T03:12:12',2,32,-1,5.6759
1,'2007-09-15T03:14:12',2,32,-1,5.6428
1,'2007-09-15T03:16:12',2,32,-1,5.6996
1,'2007-09-15T03:18:12',2,32,-1,5.3765
1,'2007-09-15T03:20:12',2,32,-1,5.4333
1,'2007-09-15T03:22:12',2,32,-1,5.3202
1,'2007-09-15T03:24:12',2,32,-1,5.257
1,'2007-09-15T03:26:12',2,32,-1,5.0139
1,'2007-09-15T03:28:12',2,32,-1,5.1707
1,'2007-09-15T03:30:12',2,32,-1,5.1876
1,'2007-09-15T03:32:12',2,32,-1,5.4244
1,'2007-09-15T03:34:12',2,32,-1,5.5213
1,'2007-09-15T03:36:12',2,32,-1,5.6281
1,'2007-09-15T03:38:12',2,32,-1,5.615
1,'2007-09-15T03:40:12',2,32,-1,5.6718
1,'2007-09-15T03:42:12',2,32,-1,5.6687
1,'2007-09-15T03:44:12',2,32,-1,5.7155
1,'2007-09-15T03:46:12',2,32,-1,5.6724
1,'2007-09-15T03:48:12',2,32,-1,5.6792
1,'2007-09-15T03:50:12',2,32,-1,5.7761
1,'2007-09-15T03:52:12',2,32,-1,5.7929
1,'2007-09-15T03:54:12',2,32,-1,5.7298
1,'2007-09-15T03:56:12',2,32,-1,5.7267
1,'2007-09-15T03:58:12',2,32,-1,5.8935
1,'2007-09-15T04:00:12',2,32,-1,5.8904
1,'2007-09-15T04:02:12',2,32,-1,5.9572
1,'2007-09-15T04:04:12',2,32,-1,6.1041
1,'2007-09-15T04:06:12',2,32,-1,5.9209
1,'2007-09-15T04:08:11',2,32,-1,6.1978
1,'2007-09-15T04:10:11',2,32,-1,6.0846
1,'2007-09-15T04:12:12',2,32,-1,6.1315
1,'2007-09-15T04:14:12',2,32,-1,6.1683
1,'2007-09-15T04:16:12',2,32,-1,6.1452
1,'2007-09-15T04:18:11',2,32,-1,6.112
1,'2007-09-15T04:20:11',2,32,-1,6.0789
1,'2007-09-15T04:22:11',2,32,-1,6.1057
1,'2007-09-15T04:24:11',2,32,-1,6.0126
1,'2007-09-15T04:26:11',2,32,-1,6.0294
1,'2007-09-15T04:28:12',2,32,-1,6.1963
1,'2007-09-15T04:30:12',2,32,-1,6.1031
1,'2007-09-15T04:32:12',2,32,-1,5.98
1,'2007-09-15T04:34:12',2,32,-1,5.9968
1,'2007-09-15T04:36:12',2,32,-1,6.0537
1,'2007-09-15T04:38:12',2,32,-1,5.9605
1,'2007-09-15T04:40:12',2,32,-1,6.0074
1,'2007-09-15T04:42:12',2,32,-1,5.9542
1,'2007-09-15T04:44:12',2,32,-1,5.9411
1,'2007-09-15T04:46:12',2,32,-1,5.9379
1,'2007-09-15T04:48:12',2,32,-1,5.9748
1,'2007-09-15T04:50:12',2,32,-1,5.9216
1,'2007-09-15T04:52:12',2,32,-1,5.9385
1,'2007-09-15T04:54:12',2,32,-1,5.9154
1,'2007-09-15T04:56:12',2,32,-1,5.9622
1,'2007-09-15T04:58:12',2,32,-1,5.9491
1,'2007-09-15T05:00:12',2,32,-1,6.0859
1,'2007-09-15T05:02:12',2,32,-1,6.0028
1,'2007-09-15T05:04:12',2,32,-1,5.9296
1,'2007-09-15T05:06:12',2,32,-1,5.8765
1,'2007-09-15T05:08:11',2,32,-1,5.8833
1,'2007-09-15T05:10:11',2,32,-1,6.0202
1,'2007-09-15T05:12:12',2,32,-1,6.017
1,'2007-09-15T05:14:12',2,32,-1,6.0039
1,'2007-09-15T05:16:12',2,32,-1,6.0907
1,'2007-09-15T05:18:11',2,32,-1,6.1776
1,'2007-09-15T05:20:11',2,32,-1,6.0244
1,'2007-09-15T05:22:11',2,32,-1,6.0313
1,'2007-09-15T05:24:11',2,32,-1,6.0581
1,'2007-09-15T05:26:11',2,32,-1,5.995
1,'2007-09-15T05:28:12',2,32,-1,6.1318
1,'2007-09-15T05:30:12',2,32,-1,6.0987
1,'2007-09-15T05:32:12',2,32,-1,6.0255
1,'2007-09-15T05:34:11',2,32,-1,5.9724
1,'2007-09-15T05:36:11',2,32,-1,5.9792
1,'2007-09-15T05:38:12',2,32,-1,5.9861
1,'2007-09-15T05:40:12',2,32,-1,6.0329
1,'2007-09-15T05:42:12',2,32,-1,5.8198
1,'2007-09-15T05:44:11',2,32,-1,5.9866
1,'2007-09-15T05:46:12',2,32,-1,5.9735
1,'2007-09-15T05:48:12',2,32,-1,6.0003
1,'2007-09-15T05:50:12',2,32,-1,5.9672
1,'2007-09-15T05:52:12',2,32,-1,5.9941
1,'2007-09-15T05:54:11',2,32,-1,6.1209
1,'2007-09-15T05:56:11',2,32,-1,6.0678
1,'2007-09-15T05:58:11',2,32,-1,6.1246
1,'2007-09-15T06:00:11',2,32,-1,5.9615
1,'2007-09-15T06:02:11',2,32,-1,6.0383
1,'2007-09-15T06:04:11',2,32,-1,6.0552
1,'2007-09-15T06:06:11',2,32,-1,6.142
1,'2007-09-15T06:08:11',2,32,-1,6.0389
1,'2007-09-15T06:10:11',2,32,-1,6.0957
1,'2007-09-15T06:12:11',2,32,-1,6.0726
1,'2007-09-15T06:14:11',2,32,-1,6.1294
1,'2007-09-15T06:16:11',2,32,-1,6.0863
1,'2007-09-15T06:18:11',2,32,-1,5.9831
1,'2007-09-15T06:20:11',2,32,-1,6.05
1,'2007-09-15T06:22:11',2,32,-1,6.0968
1,'2007-09-15T06:24:11',2,32,-1,6.1437
1,'2007-09-15T06:26:11',2,32,-1,6.0405
1,'2007-09-15T06:28:11',2,32,-1,5.9374
1,'2007-09-15T06:30:11',2,32,-1,6.0942
1,'2007-09-15T06:32:11',2,32,-1,5.9011
1,'2007-09-15T06:34:11',2,32,-1,6.1879
1,'2007-09-15T06:36:11',2,32,-1,6.1048
1,'2007-09-15T06:38:11',2,32,-1,6.1416
1,'2007-09-15T06:40:11',2,32,-1,6.1885
1,'2007-09-15T06:42:11',2,32,-1,6.1253
1,'2007-09-15T06:44:11',2,32,-1,6.1322
