time;I
20:54:46:797;1341.00
20:54:46:973;1345.00
20:54:47:166;1354.00
20:54:47:358;1359.00
20:54:47:551;1358.00
20:54:47:744;1365.00
20:54:47:936;1389.00
20:54:48:129;1387.00
20:54:48:323;1370.00
20:54:48:516;1368.00
20:54:48:709;1366.00
20:54:48:901;1354.00
20:54:49:095;1315.00
20:54:49:286;1290.00
20:54:49:478;1274.00
20:54:49:670;1244.00
20:54:49:863;1224.00
20:54:50:053;1219.00
20:54:50:245;1187.00
20:54:50:435;1192.00
20:54:50:628;1159.00
20:54:50:820;1148.00
20:54:51:010;1192.00
20:54:51:203;1237.00
20:54:51:396;1350.00
20:54:51:588;1353.00
20:54:51:778;1366.00
20:54:51:972;1380.00
20:54:52:164;1383.00
20:54:52:357;1407.00
20:54:52:548;1428.00
20:54:52:740;1424.00
20:54:52:934;1425.00
20:54:53:130;1432.00
20:54:53:319;1435.00
20:54:53:509;1432.00
20:54:53:703;1414.00
20:54:53:897;1402.00
20:54:54:086;1398.00
20:54:54:281;1376.00
20:54:54:475;1355.00
20:54:54:664;1343.00
20:54:54:859;1344.00
20:54:55:053;1361.00
20:54:55:247;1365.00
20:54:55:441;1356.00
20:54:55:633;1367.00
20:54:55:824;1390.00
20:54:56:018;1381.00
20:54:56:209;1366.00
20:54:56:401;1382.00
20:54:56:595;1410.00
20:54:56:788;1458.00
20:54:56:982;1483.00
20:54:57:175;1486.00
20:54:57:368;1488.00
20:54:57:560;1489.00
20:54:57:751;1487.00
20:54:57:945;1488.00
20:54:58:136;1489.00
20:54:58:329;1488.00
20:54:58:520;1487.00
20:54:58:712;1487.00
20:54:58:908;1488.00
20:54:59:097;1488.00
20:54:59:289;1488.00
20:54:59:480;1488.00
20:54:59:674;1488.00
20:54:59:862;1487.00
20:55:00:054;1488.00
20:55:00:249;1486.00
20:55:00:439;1486.00
20:55:00:631;1487.00
20:55:00:825;1486.00
20:55:01:019;1487.00
20:55:01:213;1484.00
20:55:01:405;1482.00
20:55:01:597;1461.00
20:55:01:793;1446.00
20:55:01:981;1473.00
20:55:02:177;1475.00
20:55:02:369;1477.00
20:55:02:560;1479.00
20:55:02:751;1475.00
20:55:02:943;1473.00
20:55:03:138;1472.00
20:55:03:333;1478.00
20:55:03:520;1477.00
20:55:03:713;1475.00
20:55:03:907;1472.00
20:55:04:099;1469.00
20:55:04:300;1468.00
20:55:04:501;1471.00
20:55:04:677;1473.00
20:55:04:873;1475.00
20:55:05:063;1476.00
20:55:05:259;1476.00
20:55:05:450;1478.00
20:55:05:647;1480.00
20:55:05:845;1483.00
20:55:06:033;1483.00
20:55:06:227;1482.00
20:55:06:435;1482.00
20:55:06:633;1483.00
20:55:06:811;1483.00
20:55:07:000;1482.00
