time;I
22:02:56:636;0.00
22:02:56:826;0.00
22:02:57:020;0.00
22:02:57:212;0.00
22:02:57:411;0.00
22:02:57:606;0.00
22:02:57:791;0.00
22:02:57:986;0.00
22:02:58:177;0.00
22:02:58:366;0.00
22:02:58:556;0.00
22:02:58:751;0.00
22:02:58:943;0.00
22:02:59:131;0.00
22:02:59:330;0.00
22:02:59:516;0.00
22:02:59:707;0.00
22:02:59:896;0.00
22:03:00:086;0.00
22:03:00:275;0.00
22:03:00:467;0.00
22:03:00:659;0.00
22:03:00:853;0.00
22:03:01:047;0.00
22:03:01:239;0.00
22:03:01:437;0.00
22:03:01:621;0.00
22:03:01:811;0.00
22:03:02:004;0.00
22:03:02:199;0.00
22:03:02:392;0.00
22:03:02:591;0.00
22:03:02:772;0.00
22:03:02:964;0.00
22:03:03:154;0.00
22:03:03:361;0.00
22:03:03:558;0.00
22:03:03:733;0.00
22:03:03:928;0.00
22:03:04:119;0.00
22:03:04:313;0.00
22:03:04:502;0.00
22:03:04:692;0.00
22:03:04:882;0.00
22:03:05:081;0.00
22:03:05:270;0.00
22:03:05:462;0.00
22:03:05:673;0.00
22:03:05:843;0.00
22:03:06:034;0.00
22:03:06:227;0.00
22:03:06:420;0.00
22:03:06:610;0.00
22:03:06:806;0.00
22:03:06:994;0.00
22:03:07:193;0.00
22:03:07:389;0.00
22:03:07:578;0.00
22:03:07:775;0.00
22:03:07:956;0.00
22:03:08:149;0.00
22:03:08:342;0.00
22:03:08:533;0.00
22:03:08:726;0.00
22:03:08:916;0.00
22:03:09:106;0.00
22:03:09:299;0.00
22:03:09:490;0.00
22:03:09:678;0.00
22:03:09:895;0.00
22:03:10:070;0.00
22:03:10:258;0.00
22:03:10:451;0.00
22:03:10:643;0.00
22:03:10:839;0.00
22:03:11:030;0.00
22:03:11:229;0.00
22:03:11:424;0.00
22:03:11:622;0.00
22:03:11:822;0.00
22:03:11:996;0.00
22:03:12:186;0.00
22:03:12:376;0.00
22:03:12:572;0.00
22:03:12:763;0.00
22:03:12:954;0.00
22:03:13:146;0.00
22:03:13:344;0.00
22:03:13:531;0.00
22:03:13:723;0.00
22:03:13:929;0.00
22:03:14:111;0.00
22:03:14:302;0.00
22:03:14:495;0.00
22:03:14:682;0.00
22:03:14:874;0.00
22:03:15:068;0.00
22:03:15:261;0.00
22:03:15:452;0.00
22:03:15:649;0.00
22:03:15:846;0.00
22:03:16:040;0.00
22:03:16:227;0.00
22:03:16:415;0.00
22:03:16:605;0.00
22:03:16:793;0.00
22:03:16:986;0.00
22:03:17:185;0.00
22:03:17:373;0.00
22:03:17:569;0.00
22:03:17:753;0.00
22:03:17:949;0.00
22:03:18:138;0.00
22:03:18:331;0.00
22:03:18:525;0.00
22:03:18:714;0.00
22:03:18:911;0.00
22:03:19:103;0.00
22:03:19:297;0.00
22:03:19:491;0.00
22:03:19:679;0.00
22:03:19:879;0.00
22:03:20:073;0.00
22:03:20:260;0.00
22:03:20:451;0.00
22:03:20:642;0.00
22:03:20:832;0.00
22:03:21:025;0.00
22:03:21:221;0.00
22:03:21:414;0.00
22:03:21:608;0.00
22:03:21:794;0.00
22:03:21:997;0.00
22:03:22:184;0.00
22:03:22:391;0.00
22:03:22:567;0.00
22:03:22:763;0.00
22:03:22:953;0.00
22:03:23:147;0.00
22:03:23:335;0.00
22:03:23:530;0.00
22:03:23:724;0.00
22:03:23:914;0.00
22:03:24:109;0.00
22:03:24:301;0.00
22:03:24:506;0.00
22:03:24:705;0.00
22:03:24:880;0.00
22:03:25:075;0.00
22:03:25:265;0.00
22:03:25:460;0.00
22:03:25:653;0.00
22:03:25:844;0.00
22:03:26:039;0.00
22:03:26:232;0.00
22:03:26:430;0.00
22:03:26:620;0.00
22:03:26:807;0.00
22:03:27:000;0.00
22:03:27:192;1.00
22:03:27:386;1.00
22:03:27:570;1.00
22:03:27:761;0.00
22:03:27:953;0.00
22:03:28:147;0.00
22:03:28:336;0.00
22:03:28:529;1.00
22:03:28:741;0.00
22:03:28:913;0.00
22:03:29:103;0.00
22:03:29:293;0.00
22:03:29:485;0.00
22:03:29:675;0.00
22:03:29:867;0.00
22:03:30:061;0.00
22:03:30:254;0.00
22:03:30:451;1.00
22:03:30:646;0.00
22:03:30:853;1.00
22:03:31:026;1.00
22:03:31:219;1.00
22:03:31:410;1.00
22:03:31:603;1.00
22:03:31:797;1.00
22:03:31:989;1.00
22:03:32:179;1.00
22:03:32:372;0.00
22:03:32:568;0.00
22:03:32:762;0.00
22:03:32:960;0.00
22:03:33:139;0.00
22:03:33:332;0.00
22:03:33:525;0.00
22:03:33:713;0.00
22:03:33:906;0.00
22:03:34:100;0.00
22:03:34:299;0.00
22:03:34:486;0.00
22:03:34:678;0.00
22:03:34:873;0.00
22:03:35:081;0.00
22:03:35:251;0.00
22:03:35:443;0.00
22:03:35:636;0.00
22:03:35:827;0.00
22:03:36:019;0.00
22:03:36:214;0.00
22:03:36:407;0.00
22:03:36:600;0.00
22:03:36:790;0.00
22:03:36:986;0.00
22:03:37:189;0.00
22:03:37:388;0.00
22:03:37:562;0.00
22:03:37:756;0.00
22:03:37:946;0.00
22:03:38:140;0.00
22:03:38:332;0.00
22:03:38:523;0.00
22:03:38:717;0.00
22:03:38:912;0.00
22:03:39:103;0.00
22:03:39:294;0.00
22:03:39:486;0.00
22:03:39:693;0.00
22:03:39:874;0.00
22:03:40:065;0.00
22:03:40:258;0.00
22:03:40:453;0.00
22:03:40:645;0.00
